mode,travel_bounds,trips,full_distance_km,gpc_distance_km,full_co2e_tons,gpc_co2e_tons,year,lga
AUTOMOBILE,IN-BOUNDARY,32465903,109420549,109420549,32989.4522,32989.4522,2023,Banyule
AUTOMOBILE,IN-BOUNDARY,32433477,111312573,111312573,33559.8829,33559.8829,2022,Banyule
AUTOMOBILE,IN-BOUNDARY,30796987,104006839,104006839,31357.2604,31357.2604,2021,Banyule
AUTOMOBILE,IN-BOUNDARY,26809789,88757698,88757698,26759.7619,26759.7619,2020,Banyule
AUTOMOBILE,IN-BOUNDARY,30945342,125267456,125267456,37767.1725,37767.1725,2019,Banyule
AUTOMOBILE,IN-BOUNDARY,27435971,131951611,131951611,39782.3974,39782.3974,2018,Banyule
AUTOMOBILE,INBOUND,36034697,541822809,270911404.5,163355.4011,81677.7005,2023,Banyule
AUTOMOBILE,INBOUND,36190125,543045186,271522593,163723.9383,81861.9692,2022,Banyule
AUTOMOBILE,INBOUND,32821342,473854951,236927475.5,142863.6157,71431.8079,2021,Banyule
AUTOMOBILE,INBOUND,28118574,381658977,190829488.5,115067.2401,57533.6201,2020,Banyule
AUTOMOBILE,INBOUND,35150779,551618874,275809437,166308.8392,83154.4196,2019,Banyule
AUTOMOBILE,INBOUND,32341793,531655807,265827903.5,160290.1431,80145.0716,2018,Banyule
AUTOMOBILE,OUTBOUND,35944088,533739941,266869970.5,160918.4787,80459.2393,2023,Banyule
AUTOMOBILE,OUTBOUND,36169211,536284904,268142452,161685.7654,80842.8827,2022,Banyule
AUTOMOBILE,OUTBOUND,32738360,466900735,233450367.5,140766.9732,70383.4866,2021,Banyule
AUTOMOBILE,OUTBOUND,27990597,376740442,188370221,113584.3397,56792.1699,2020,Banyule
AUTOMOBILE,OUTBOUND,35140972,546468984,273234492,164756.187,82378.0935,2019,Banyule
AUTOMOBILE,OUTBOUND,32323949,527479654,263739827,159031.0651,79515.5325,2018,Banyule
AUTOMOBILE,TOTAL,104444688,1184983299,647201924,357263.3319,195126.3921,2023,Banyule
AUTOMOBILE,TOTAL,104792813,1190642663,650977618,358969.5866,196264.7347,2022,Banyule
AUTOMOBILE,TOTAL,96356689,1044762525,574384682,314987.8493,173172.5548,2021,Banyule
AUTOMOBILE,TOTAL,82918960,847157117,467957407.5,255411.3417,141085.5518,2020,Banyule
AUTOMOBILE,TOTAL,101237093,1223355314,674311385,368832.1987,203299.6856,2019,Banyule
AUTOMOBILE,TOTAL,92101713,1191087072,661519341.5,359103.6056,199443.0015,2018,Banyule
BUS,IN-BOUNDARY,667149,2377965,2377965,1807.5431,1807.5431,2023,Banyule
BUS,IN-BOUNDARY,466885,1668517,1668517,1268.2762,1268.2762,2022,Banyule
BUS,IN-BOUNDARY,308648,1107285,1107285,841.6715,841.6715,2021,Banyule
BUS,IN-BOUNDARY,335825,1173491,1173491,891.9961,891.9961,2020,Banyule
BUS,IN-BOUNDARY,403785,1414599,1414599,1075.2676,1075.2676,2019,Banyule
BUS,IN-BOUNDARY,391673,1301684,1301684,989.438,989.438,2018,Banyule
BUS,INBOUND,755699,6677515,3338757.5,5075.725,2537.8625,2023,Banyule
BUS,INBOUND,605545,5381020,2690510,4090.2308,2045.1154,2022,Banyule
BUS,INBOUND,462974,4148512,2074256,3153.3746,1576.6873,2021,Banyule
BUS,INBOUND,511357,4564108,2282054,3469.2782,1734.6391,2020,Banyule
BUS,INBOUND,617298,6392039,3196019.5,4858.7285,2429.3642,2019,Banyule
BUS,INBOUND,569755,5483998,2741999,4168.5069,2084.2534,2018,Banyule
BUS,OUTBOUND,781715,7037577,3518788.5,5349.416,2674.708,2023,Banyule
BUS,OUTBOUND,629846,5694291,2847145.5,4328.355,2164.1775,2022,Banyule
BUS,OUTBOUND,478407,4374173,2187086.5,3324.9044,1662.4522,2021,Banyule
BUS,OUTBOUND,531852,4844288,2422144,3682.2491,1841.1246,2020,Banyule
BUS,OUTBOUND,651300,6830938,3415469,5192.3452,2596.1726,2019,Banyule
BUS,OUTBOUND,599346,5675319,2837659.5,4313.9339,2156.967,2018,Banyule
BUS,TOTAL,2204563,16093057,9235511,12232.6841,7020.1136,2023,Banyule
BUS,TOTAL,1702276,12743828,7206172.5,9686.862,5477.5691,2022,Banyule
BUS,TOTAL,1250029,9629970,5368627.5,7319.9505,4080.811,2021,Banyule
BUS,TOTAL,1379034,10581887,5877689,8043.5234,4467.7598,2020,Banyule
BUS,TOTAL,1672383,14637576,8026087.5,11126.3412,6100.8044,2019,Banyule
BUS,TOTAL,1560774,12461001,6881342.5,9471.8788,5230.6584,2018,Banyule
CYCLING,IN-BOUNDARY,873873,3055573,3055573,0,0,2023,Banyule
CYCLING,IN-BOUNDARY,830842,3129327,3129327,0,0,2022,Banyule
CYCLING,IN-BOUNDARY,931960,4026103,4026103,0,0,2021,Banyule
CYCLING,IN-BOUNDARY,1000153,4137315,4137315,0,0,2020,Banyule
CYCLING,IN-BOUNDARY,807937,2203721,2203721,0,0,2019,Banyule
CYCLING,IN-BOUNDARY,748583,2085214,2085214,0,0,2018,Banyule
CYCLING,INBOUND,426495,3893677,1946838.5,0,0,2023,Banyule
CYCLING,INBOUND,408075,3637595,1818797.5,0,0,2022,Banyule
CYCLING,INBOUND,429684,3742371,1871185.5,0,0,2021,Banyule
CYCLING,INBOUND,445487,3620062,1810031,0,0,2020,Banyule
CYCLING,INBOUND,447660,3976512,1988256,0,0,2019,Banyule
CYCLING,INBOUND,427989,3850696,1925348,0,0,2018,Banyule
CYCLING,OUTBOUND,433270,4018006,2009003,0,0,2023,Banyule
CYCLING,OUTBOUND,414427,3719131,1859565.5,0,0,2022,Banyule
CYCLING,OUTBOUND,435035,3769816,1884908,0,0,2021,Banyule
CYCLING,OUTBOUND,451315,3696978,1848489,0,0,2020,Banyule
CYCLING,OUTBOUND,455519,4126805,2063402.5,0,0,2019,Banyule
CYCLING,OUTBOUND,433231,3923734,1961867,0,0,2018,Banyule
CYCLING,TOTAL,1733638,10967256,7011414.5,0,0,2023,Banyule
CYCLING,TOTAL,1653344,10486053,6807690,0,0,2022,Banyule
CYCLING,TOTAL,1796679,11538290,7782196.5,0,0,2021,Banyule
CYCLING,TOTAL,1896955,11454355,7795835,0,0,2020,Banyule
CYCLING,TOTAL,1711116,10307038,6255379.5,0,0,2019,Banyule
CYCLING,TOTAL,1609803,9859644,5972429,0,0,2018,Banyule
MOTORCYCLE,INBOUND,338503,4918590,2459295,925.8522,462.9261,2020,Banyule
MOTORCYCLE,INBOUND,380890,6692062,3346031,1259.6823,629.8411,2019,Banyule
MOTORCYCLE,OUTBOUND,344614,4890708,2445354,920.6039,460.3019,2020,Banyule
MOTORCYCLE,OUTBOUND,395292,6678569,3339284.5,1257.1424,628.5712,2019,Banyule
MOTORCYCLE,TOTAL,683117,9809298,4904649,1846.4561,923.228,2020,Banyule
MOTORCYCLE,TOTAL,776182,13370631,6685315.5,2516.8247,1258.4123,2019,Banyule
ON FOOT,IN-BOUNDARY,14613974,14448806,14448806,0,0,2023,Banyule
ON FOOT,IN-BOUNDARY,14143259,14698666,14698666,0,0,2022,Banyule
ON FOOT,IN-BOUNDARY,14973183,16418607,16418607,0,0,2021,Banyule
ON FOOT,IN-BOUNDARY,14025165,16093863,16093863,0,0,2020,Banyule
ON FOOT,IN-BOUNDARY,16276414,12747482,12747482,0,0,2019,Banyule
ON FOOT,IN-BOUNDARY,15347805,12146061,12146061,0,0,2018,Banyule
ON FOOT,INBOUND,585809,1151717,575858.5,0,0,2023,Banyule
ON FOOT,INBOUND,572418,1117500,558750,0,0,2022,Banyule
ON FOOT,INBOUND,689839,1438954,719477,0,0,2021,Banyule
ON FOOT,INBOUND,747417,1573751,786875.5,0,0,2020,Banyule
ON FOOT,INBOUND,932959,2261540,1130770,0,0,2019,Banyule
ON FOOT,INBOUND,949460,2056925,1028462.5,0,0,2018,Banyule
ON FOOT,OUTBOUND,598789,1203499,601749.5,0,0,2023,Banyule
ON FOOT,OUTBOUND,585397,1180772,590386,0,0,2022,Banyule
ON FOOT,OUTBOUND,703572,1490792,745396,0,0,2021,Banyule
ON FOOT,OUTBOUND,759581,1637038,818519,0,0,2020,Banyule
ON FOOT,OUTBOUND,994299,2389356,1194678,0,0,2019,Banyule
ON FOOT,OUTBOUND,988365,2206845,1103422.5,0,0,2018,Banyule
ON FOOT,TOTAL,15798572,16804022,15626414,0,0,2023,Banyule
ON FOOT,TOTAL,15301074,16996938,15847802,0,0,2022,Banyule
ON FOOT,TOTAL,16366594,19348353,17883480,0,0,2021,Banyule
ON FOOT,TOTAL,15532163,19304652,17699257.5,0,0,2020,Banyule
ON FOOT,TOTAL,18203672,17398378,15072930,0,0,2019,Banyule
ON FOOT,TOTAL,17285630,16409831,14277946,0,0,2018,Banyule
RAIL,IN-BOUNDARY,564020,4282087,4282087,0,0,2019,Banyule
RAIL,IN-BOUNDARY,517752,3426947,3426947,0,0,2018,Banyule
RAIL,INBOUND,2477182,36058081,18029040.5,0,0,2023,Banyule
RAIL,INBOUND,2123359,32062190,16031095,0,0,2022,Banyule
RAIL,INBOUND,1426025,21622784,10811392,0,0,2021,Banyule
RAIL,INBOUND,1444905,22279528,11139764,0,0,2020,Banyule
RAIL,INBOUND,4036824,70816455,35408227.5,0,0,2019,Banyule
RAIL,INBOUND,3186184,53925071,26962535.5,0,0,2018,Banyule
RAIL,OUTBOUND,2568847,36247231,18123615.5,0,0,2023,Banyule
RAIL,OUTBOUND,2226091,32484002,16242001,0,0,2022,Banyule
RAIL,OUTBOUND,1495104,21914567,10957283.5,0,0,2021,Banyule
RAIL,OUTBOUND,1520653,22808335,11404167.5,0,0,2020,Banyule
RAIL,OUTBOUND,4343432,73352793,36676396.5,0,0,2019,Banyule
RAIL,OUTBOUND,3388378,54639754,27319877,0,0,2018,Banyule
RAIL,TOTAL,5046029,72305312,36152656,0,0,2023,Banyule
RAIL,TOTAL,4349450,64546192,32273096,0,0,2022,Banyule
RAIL,TOTAL,2921129,43537351,21768675.5,0,0,2021,Banyule
RAIL,TOTAL,2965558,45087863,22543931.5,0,0,2020,Banyule
RAIL,TOTAL,8944276,148451335,76366711,0,0,2019,Banyule
RAIL,TOTAL,7092314,111991772,57709359.5,0,0,2018,Banyule
TRAM,INBOUND,287729,2901349,1450674.5,0,0,2018,Banyule
TRAM,OUTBOUND,340968,3447803,1723901.5,0,0,2018,Banyule
TRAM,TOTAL,628697,6349152,3174576,0,0,2018,Banyule
