mode,travel_bounds,trips,full_distance_km,gpc_distance_km,full_co2e_tons,gpc_co2e_tons,year,lga
AUTOMOBILE,IN-BOUNDARY,26763544,85798234,85798234,25867.5063,25867.5063,2023,Bayside
AUTOMOBILE,IN-BOUNDARY,26508131,86256254,86256254,26005.5958,26005.5958,2022,Bayside
AUTOMOBILE,IN-BOUNDARY,25752102,84057141,84057141,25342.5802,25342.5802,2021,Bayside
AUTOMOBILE,IN-BOUNDARY,22287548,71752487,71752487,21632.8218,21632.8218,2020,Bayside
AUTOMOBILE,IN-BOUNDARY,24502118,95218669,95218669,28707.6948,28707.6948,2019,Bayside
AUTOMOBILE,IN-BOUNDARY,22465541,101680492,101680492,30655.8875,30655.8875,2018,Bayside
AUTOMOBILE,INBOUND,34898989,500755660,250377830,150973.9721,75486.9861,2023,Bayside
AUTOMOBILE,INBOUND,34291355,493180428,246590214,148690.0981,74345.049,2022,Bayside
AUTOMOBILE,INBOUND,31061456,426837110,213418555,128688.099,64344.0495,2021,Bayside
AUTOMOBILE,INBOUND,26329393,345234256,172617128,104085.4674,52042.7337,2020,Bayside
AUTOMOBILE,INBOUND,31419979,478459657,239229828.5,144251.8991,72125.9495,2019,Bayside
AUTOMOBILE,INBOUND,29098747,462497584,231248792,139439.47,69719.735,2018,Bayside
AUTOMOBILE,OUTBOUND,34856955,496914840,248457420,149815.9945,74907.9973,2023,Bayside
AUTOMOBILE,OUTBOUND,34207040,488666154,244333077,147329.0793,73664.5396,2022,Bayside
AUTOMOBILE,OUTBOUND,31065470,424318163,212159081.5,127928.6559,63964.328,2021,Bayside
AUTOMOBILE,OUTBOUND,26364484,345915770,172957885,104290.9387,52145.4693,2020,Bayside
AUTOMOBILE,OUTBOUND,31480483,482053257,241026628.5,145335.3418,72667.6709,2019,Bayside
AUTOMOBILE,OUTBOUND,29096828,464490494,232245247,140040.317,70020.1585,2018,Bayside
AUTOMOBILE,TOTAL,96519488,1083468734,584633484,326657.473,176262.4896,2023,Bayside
AUTOMOBILE,TOTAL,95006526,1068102836,577179545,322024.7731,174015.1845,2022,Bayside
AUTOMOBILE,TOTAL,87879028,935212414,509634777.5,281959.3351,153650.9576,2021,Bayside
AUTOMOBILE,TOTAL,74981425,762902513,417327500,230009.2279,125821.0249,2020,Bayside
AUTOMOBILE,TOTAL,87402580,1055731583,575475126,318294.9357,173501.3153,2019,Bayside
AUTOMOBILE,TOTAL,80661116,1028668570,565174531,310135.6745,170395.781,2018,Bayside
BUS,IN-BOUNDARY,445675,1604654,1604654,1219.7326,1219.7326,2023,Bayside
BUS,IN-BOUNDARY,370342,1410786,1410786,1072.3693,1072.3693,2019,Bayside
BUS,IN-BOUNDARY,284980,1079354,1079354,820.441,820.441,2018,Bayside
BUS,INBOUND,705471,6041379,3020689.5,4592.1841,2296.0921,2023,Bayside
BUS,INBOUND,442176,4140135,2070067.5,3147.007,1573.5035,2022,Bayside
BUS,INBOUND,326581,3213384,1606692,2442.5634,1221.2817,2021,Bayside
BUS,INBOUND,544549,5817911,2908955.5,4422.3212,2211.1606,2019,Bayside
BUS,INBOUND,374168,3652602,1826301,2776.422,1388.211,2018,Bayside
BUS,OUTBOUND,669563,5810345,2905172.5,4416.5701,2208.2851,2023,Bayside
