mode,travel_bounds,trips,full_distance_km,gpc_distance_km,full_co2e_tons,gpc_co2e_tons,year,lga
AUTOMOBILE,IN-BOUNDARY,43189202,135769981,135769981,40933.6029,40933.6029,2023,Boroondara
AUTOMOBILE,IN-BOUNDARY,44087186,141752213,141752213,42737.1997,42737.1997,2022,Boroondara
AUTOMOBILE,IN-BOUNDARY,41681466,132829276,132829276,40047.003,40047.003,2021,Boroondara
AUTOMOBILE,IN-BOUNDARY,36387065,113773668,113773668,34301.884,34301.884,2020,Boroondara
AUTOMOBILE,IN-BOUNDARY,40701666,152789170,152789170,46064.7572,46064.7572,2019,Boroondara
AUTOMOBILE,IN-BOUNDARY,36112417,158249431,158249431,47710.9882,47710.9882,2018,Boroondara
AUTOMOBILE,INBOUND,52825147,778245773,389122886.5,234635.1026,117317.5513,2023,Boroondara
AUTOMOBILE,INBOUND,53289658,784004336,392002168,236371.2649,118185.6325,2022,Boroondara
AUTOMOBILE,INBOUND,46648417,662029877,331014938.5,199596.9056,99798.4528,2021,Boroondara
AUTOMOBILE,INBOUND,39106929,530856460,265428230,160049.1314,80024.5657,2020,Boroondara
AUTOMOBILE,INBOUND,49981324,789341251,394670625.5,237980.3037,118990.1518,2019,Boroondara
AUTOMOBILE,INBOUND,45661864,751844823,375922411.5,226675.4406,113337.7203,2018,Boroondara
AUTOMOBILE,OUTBOUND,52683245,765643068,382821534,230835.4842,115417.7421,2023,Boroondara
AUTOMOBILE,OUTBOUND,53196487,772965627,386482813.5,233043.1793,116521.5896,2022,Boroondara
AUTOMOBILE,OUTBOUND,46520960,652605951,326302975.5,196755.6646,98377.8323,2021,Boroondara
AUTOMOBILE,OUTBOUND,39011536,525933323,262966661.5,158564.8435,79282.4217,2020,Boroondara
AUTOMOBILE,OUTBOUND,49818048,782642003,391321001.5,235960.532,117980.266,2019,Boroondara
AUTOMOBILE,OUTBOUND,45612536,746435089,373217544.5,225044.4473,112522.2237,2018,Boroondara
AUTOMOBILE,TOTAL,148697594,1679658822,907714401.5,506404.1896,273668.8963,2023,Boroondara
AUTOMOBILE,TOTAL,150573331,1698722176,920237194.5,512151.6439,277444.4218,2022,Boroondara
AUTOMOBILE,TOTAL,134850843,1447465104,790147190,436399.5732,238223.2881,2021,Boroondara
AUTOMOBILE,TOTAL,114505530,1170563451,642168559.5,352915.8589,193608.8715,2020,Boroondara
AUTOMOBILE,TOTAL,140501038,1724772424,938780797,520005.5929,283035.1751,2019,Boroondara
AUTOMOBILE,TOTAL,127386817,1656529343,907389387,499430.8761,273570.9321,2018,Boroondara
BUS,INBOUND,1002144,8081192,4040596,6142.6905,3071.3453,2023,Boroondara
BUS,INBOUND,652781,5166390,2583195,3927.0859,1963.5429,2022,Boroondara
BUS,INBOUND,377794,2985089,1492544.5,2269.0313,1134.5157,2021,Boroondara
BUS,INBOUND,431754,3563450,1781725,2708.6562,1354.3281,2020,Boroondara
BUS,INBOUND,852914,8270713,4135356.5,6286.7496,3143.3748,2019,Boroondara
BUS,INBOUND,593322,5560635,2780317.5,4226.7601,2113.3801,2018,Boroondara
BUS,OUTBOUND,966592,7901085,3950542.5,6005.7873,3002.8936,2023,Boroondara
BUS,OUTBOUND,639789,5102258,2551129,3878.3377,1939.1689,2022,Boroondara
BUS,OUTBOUND,372142,2953062,1476531,2244.6869,1122.3435,2021,Boroondara
