mode,travel_bounds,trips,full_distance_km,gpc_distance_km,full_co2e_tons,gpc_co2e_tons,year,lga
AUTOMOBILE,IN-BOUNDARY,66629535,294328228,294328228,88737.6923,88737.6923,2023,Brimbank
AUTOMOBILE,IN-BOUNDARY,67604500,305630662,305630662,92145.2891,92145.2891,2022,Brimbank
AUTOMOBILE,IN-BOUNDARY,63051322,276464921,276464921,83352.043,83352.043,2021,Brimbank
AUTOMOBILE,IN-BOUNDARY,54837463,227896114,227896114,68708.922,68708.922,2020,Brimbank
AUTOMOBILE,IN-BOUNDARY,63280805,328703648,328703648,99101.6165,99101.6165,2019,Brimbank
AUTOMOBILE,IN-BOUNDARY,58217071,353783671,353783671,106663.06,106663.06,2018,Brimbank
AUTOMOBILE,INBOUND,58995701,1157120434,578560217,348862.8929,174431.4464,2023,Brimbank
AUTOMOBILE,INBOUND,59494068,1172980275,586490137.5,353644.5127,176822.2564,2022,Brimbank
AUTOMOBILE,INBOUND,52010241,986232630,493116315,297341.537,148670.7685,2021,Brimbank
AUTOMOBILE,INBOUND,42831784,775513118,387756559,233811.2282,116905.6141,2020,Brimbank
AUTOMOBILE,INBOUND,52251796,1075493055,537746527.5,324252.8672,162126.4336,2019,Brimbank
AUTOMOBILE,INBOUND,47800967,1021335098,510667549,307924.689,153962.3445,2018,Brimbank
AUTOMOBILE,OUTBOUND,58791019,1152073465,576036732.5,347341.2706,173670.6353,2023,Brimbank
AUTOMOBILE,OUTBOUND,59412912,1173489705,586744852.5,353798.1019,176899.051,2022,Brimbank
AUTOMOBILE,OUTBOUND,51823470,986374922,493187461,297384.4369,148692.2185,2021,Brimbank
AUTOMOBILE,OUTBOUND,42626169,773781390,386890695,233289.1255,116644.5628,2020,Brimbank
AUTOMOBILE,OUTBOUND,51836992,1069311384,534655692,322389.141,161194.5705,2019,Brimbank
AUTOMOBILE,OUTBOUND,47494705,1018167031,509083515.5,306969.5411,153484.7706,2018,Brimbank
AUTOMOBILE,TOTAL,184416255,2603522127,1448925178,784941.8558,436839.7741,2023,Brimbank
AUTOMOBILE,TOTAL,186511480,2652100642,1478865652,799587.9037,445866.5964,2022,Brimbank
AUTOMOBILE,TOTAL,166885033,2249072473,1262768697,678078.0169,380715.0299,2021,Brimbank
AUTOMOBILE,TOTAL,140295416,1777190622,1002543368,535809.2756,302259.0988,2020,Brimbank
AUTOMOBILE,TOTAL,167369593,2473508087,1401105868,745743.6248,422422.6207,2019,Brimbank
AUTOMOBILE,TOTAL,153512743,2393285800,1373534736,721557.2902,414110.1751,2018,Brimbank
BUS,IN-BOUNDARY,1549918,6504209,6504209,4943.9913,4943.9913,2023,Brimbank
BUS,IN-BOUNDARY,1294974,6331620,6331620,4812.8027,4812.8027,2022,Brimbank
BUS,IN-BOUNDARY,856659,4104340,4104340,3119.7985,3119.7985,2021,Brimbank
BUS,IN-BOUNDARY,948019,4466582,4466582,3395.1465,3395.1465,2020,Brimbank
BUS,IN-BOUNDARY,1124427,5149722,5149722,3914.4162,3914.4162,2019,Brimbank
BUS,IN-BOUNDARY,737526,3441962,3441962,2616.31,2616.31,2018,Brimbank
BUS,INBOUND,783479,8118770,4059385,6171.2544,3085.6272,2023,Brimbank
BUS,INBOUND,579972,6227330,3113665,4733.5295,2366.7648,2022,Brimbank
BUS,INBOUND,432125,4715646,2357823,3584.4655,1792.2328,2021,Brimbank
BUS,INBOUND,490855,5547604,2773802,4216.855,2108.4275,2020,Brimbank
BUS,INBOUND,587629,7128114,3564057,5418.2351,2709.1176,2019,Brimbank
BUS,INBOUND,358648,4040136,2020068,3070.995,1535.4975,2018,Brimbank
BUS,OUTBOUND,789817,8226166,4113083,6252.8884,3126.4442,2023,Brimbank
BUS,OUTBOUND,587381,6358766,3179383,4833.4369,2416.7185,2022,Brimbank
BUS,OUTBOUND,452766,4892058,2446029,3718.5601,1859.2801,2021,Brimbank
BUS,OUTBOUND,516388,5777022,2888511,4391.2406,2195.6203,2020,Brimbank
BUS,OUTBOUND,595861,7313760,3656880,5559.3487,2779.6744,2019,Brimbank
BUS,OUTBOUND,385991,4351607,2175803.5,3307.7519,1653.876,2018,Brimbank
BUS,TOTAL,3123214,22849145,14676677,17368.1342,11156.0627,2023,Brimbank
BUS,TOTAL,2462327,18917716,12624668,14379.7691,9596.2859,2022,Brimbank
BUS,TOTAL,1741550,13712044,8908192,10422.8241,6771.3113,2021,Brimbank
BUS,TOTAL,1955262,15791208,10128895,12003.2421,7699.1943,2020,Brimbank
BUS,TOTAL,2307917,19591596,12370659,14892,9403.2081,2019,Brimbank
BUS,TOTAL,1482165,11833705,7637833.5,8995.0569,5805.6834,2018,Brimbank
CYCLING,IN-BOUNDARY,1362199,3505492,3505492,0,0,2023,Brimbank
CYCLING,IN-BOUNDARY,1143054,3180929,3180929,0,0,2022,Brimbank
CYCLING,IN-BOUNDARY,1122355,3466126,3466126,0,0,2021,Brimbank
CYCLING,IN-BOUNDARY,1113213,3239414,3239414,0,0,2020,Brimbank
CYCLING,IN-BOUNDARY,935421,2139721,2139721,0,0,2019,Brimbank
CYCLING,IN-BOUNDARY,817407,2005485,2005485,0,0,2018,Brimbank
CYCLING,INBOUND,197195,1834989,917494.5,0,0,2022,Brimbank
CYCLING,INBOUND,194749,1791866,895933,0,0,2021,Brimbank
CYCLING,INBOUND,185254,1593555,796777.5,0,0,2020,Brimbank
CYCLING,INBOUND,205250,1932305,966152.5,0,0,2019,Brimbank
CYCLING,OUTBOUND,196644,1860309,930154.5,0,0,2022,Brimbank
CYCLING,OUTBOUND,196649,1855370,927685,0,0,2021,Brimbank
CYCLING,OUTBOUND,185307,1651775,825887.5,0,0,2020,Brimbank
CYCLING,OUTBOUND,203450,1953471,976735.5,0,0,2019,Brimbank
CYCLING,TOTAL,1362199,3505492,3505492,0,0,2023,Brimbank
CYCLING,TOTAL,1536893,6876227,5028578,0,0,2022,Brimbank
CYCLING,TOTAL,1513753,7113362,5289744,0,0,2021,Brimbank
CYCLING,TOTAL,1483774,6484744,4862079,0,0,2020,Brimbank
CYCLING,TOTAL,1344121,6025497,4082609,0,0,2019,Brimbank
CYCLING,TOTAL,817407,2005485,2005485,0,0,2018,Brimbank
MOTORCYCLE,INBOUND,457726,9924862,4962431,1868.2093,934.1047,2020,Brimbank
MOTORCYCLE,INBOUND,561992,14153003,7076501.5,2664.0947,1332.0473,2019,Brimbank
MOTORCYCLE,INBOUND,302243,8824452,4412226,1661.0729,830.5365,2018,Brimbank
MOTORCYCLE,OUTBOUND,453311,9800674,4900337,1844.8328,922.4164,2020,Brimbank
MOTORCYCLE,OUTBOUND,564486,14139666,7069833,2661.5842,1330.7921,2019,Brimbank
MOTORCYCLE,OUTBOUND,304756,8820275,4410137.5,1660.2869,830.1435,2018,Brimbank
MOTORCYCLE,TOTAL,911037,19725536,9862768,3713.0421,1856.521,2020,Brimbank
MOTORCYCLE,TOTAL,1126478,28292669,14146334.5,5325.6789,2662.8394,2019,Brimbank
MOTORCYCLE,TOTAL,606999,17644727,8822363.5,3321.3598,1660.6799,2018,Brimbank
ON FOOT,IN-BOUNDARY,14387843,14114939,14114939,0,0,2023,Brimbank
ON FOOT,IN-BOUNDARY,13116243,13699848,13699848,0,0,2022,Brimbank
ON FOOT,IN-BOUNDARY,13118015,15176805,15176805,0,0,2021,Brimbank
ON FOOT,IN-BOUNDARY,13160241,15378191,15378191,0,0,2020,Brimbank
ON FOOT,IN-BOUNDARY,18276073,14653254,14653254,0,0,2019,Brimbank
ON FOOT,IN-BOUNDARY,17501208,13854179,13854179,0,0,2018,Brimbank
ON FOOT,INBOUND,279858,741194,370597,0,0,2022,Brimbank
ON FOOT,INBOUND,297781,805615,402807.5,0,0,2021,Brimbank
ON FOOT,INBOUND,334323,997436,498718,0,0,2020,Brimbank
ON FOOT,INBOUND,613462,2282228,1141114,0,0,2019,Brimbank
ON FOOT,INBOUND,611620,1821810,910905,0,0,2018,Brimbank
ON FOOT,OUTBOUND,270667,755532,377766,0,0,2022,Brimbank
ON FOOT,OUTBOUND,294083,840593,420296.5,0,0,2021,Brimbank
ON FOOT,OUTBOUND,331235,1024313,512156.5,0,0,2020,Brimbank
ON FOOT,OUTBOUND,654248,2546236,1273118,0,0,2019,Brimbank
ON FOOT,OUTBOUND,677665,2088701,1044350.5,0,0,2018,Brimbank
ON FOOT,TOTAL,14387843,14114939,14114939,0,0,2023,Brimbank
ON FOOT,TOTAL,13666768,15196574,14448211,0,0,2022,Brimbank
ON FOOT,TOTAL,13709879,16823013,15999909,0,0,2021,Brimbank
ON FOOT,TOTAL,13825799,17399940,16389065.5,0,0,2020,Brimbank
ON FOOT,TOTAL,19543783,19481718,17067486,0,0,2019,Brimbank
ON FOOT,TOTAL,18790493,17764690,15809434.5,0,0,2018,Brimbank
RAIL,IN-BOUNDARY,889060,7357212,7357212,0,0,2019,Brimbank
RAIL,IN-BOUNDARY,708476,5287176,5287176,0,0,2018,Brimbank
RAIL,INBOUND,4161669,77937559,38968779.5,0,0,2023,Brimbank
RAIL,INBOUND,3407101,62797135,31398567.5,0,0,2022,Brimbank
RAIL,INBOUND,2443667,46026076,23013038,0,0,2021,Brimbank
RAIL,INBOUND,2558785,48324322,24162161,0,0,2020,Brimbank
RAIL,INBOUND,5727698,119300751,59650375.5,0,0,2019,Brimbank
RAIL,INBOUND,5134412,103403037,51701518.5,0,0,2018,Brimbank
RAIL,OUTBOUND,4237748,78871248,39435624,0,0,2023,Brimbank
RAIL,OUTBOUND,3482187,64011400,32005700,0,0,2022,Brimbank
RAIL,OUTBOUND,2501418,46715905,23357952.5,0,0,2021,Brimbank
RAIL,OUTBOUND,2667703,50109052,25054526,0,0,2020,Brimbank
RAIL,OUTBOUND,6138259,124793242,62396621,0,0,2019,Brimbank
RAIL,OUTBOUND,5502144,107567999,53783999.5,0,0,2018,Brimbank
RAIL,TOTAL,8399417,156808807,78404403.5,0,0,2023,Brimbank
RAIL,TOTAL,6889288,126808535,63404267.5,0,0,2022,Brimbank
RAIL,TOTAL,4945085,92741981,46370990.5,0,0,2021,Brimbank
RAIL,TOTAL,5226488,98433374,49216687,0,0,2020,Brimbank
RAIL,TOTAL,12755017,251451205,129404208.5,0,0,2019,Brimbank
RAIL,TOTAL,11345032,216258212,110772694,0,0,2018,Brimbank
