mode,travel_bounds,trips,full_distance_km,gpc_distance_km,full_co2e_tons,gpc_co2e_tons,year,lga
AUTOMOBILE,IN-BOUNDARY,28352912,159240660,159240660,48009.8317,48009.8317,2023,Cardinia
AUTOMOBILE,IN-BOUNDARY,28139827,159411790,159411790,48061.4261,48061.4261,2022,Cardinia
AUTOMOBILE,IN-BOUNDARY,26526381,145227770,145227770,43785.0534,43785.0534,2021,Cardinia
AUTOMOBILE,IN-BOUNDARY,23713626,123889338,123889338,37351.6806,37351.6806,2020,Cardinia
AUTOMOBILE,IN-BOUNDARY,27220027,176625425,176625425,53251.2044,53251.2044,2019,Cardinia
AUTOMOBILE,IN-BOUNDARY,24159130,174860490,174860490,52719.0949,52719.0949,2018,Cardinia
AUTOMOBILE,INBOUND,15695072,520021654,260010827,156782.5209,78391.2604,2023,Cardinia
AUTOMOBILE,INBOUND,15461130,512490211,256245105.5,154511.8488,77255.9244,2022,Cardinia
AUTOMOBILE,INBOUND,13662909,438265849,219132924.5,132133.7757,66066.8879,2021,Cardinia
AUTOMOBILE,INBOUND,11949972,367898298,183949149,110918.5014,55459.2507,2020,Cardinia
AUTOMOBILE,INBOUND,15649977,540942211,270471105.5,163089.9076,81544.9538,2019,Cardinia
AUTOMOBILE,INBOUND,14540797,507704808,253852404,153069.1008,76534.5504,2018,Cardinia
AUTOMOBILE,OUTBOUND,15682139,527451655,263725827.5,159022.6089,79511.3044,2023,Cardinia
AUTOMOBILE,OUTBOUND,15422856,519102950,259551475,156505.5387,78252.7693,2022,Cardinia
AUTOMOBILE,OUTBOUND,13650288,444257077,222128538.5,133940.0848,66970.0424,2021,Cardinia
AUTOMOBILE,OUTBOUND,11870211,370053587,185026793.5,111568.3045,55784.1522,2020,Cardinia
AUTOMOBILE,OUTBOUND,15543050,543904263,271952131.5,163982.9434,81991.4717,2019,Cardinia
AUTOMOBILE,OUTBOUND,14450091,512705953,256352976.5,154576.9077,77288.4538,2018,Cardinia
AUTOMOBILE,TOTAL,59730123,1206713969,682977314.5,363814.9615,205912.3966,2023,Cardinia
AUTOMOBILE,TOTAL,59023813,1191004951,675208370.5,359078.8136,203570.1198,2022,Cardinia
AUTOMOBILE,TOTAL,53839578,1027750696,586489233,309858.9139,176821.9837,2021,Cardinia
AUTOMOBILE,TOTAL,47533809,861841223,492865280.5,259838.4865,148595.0835,2020,Cardinia
AUTOMOBILE,TOTAL,58413054,1261471899,719048662,380324.0553,216787.6299,2019,Cardinia
AUTOMOBILE,TOTAL,53150018,1195271251,685065870.5,360365.1034,206542.0992,2018,Cardinia
BUS,INBOUND,77278,2273413,1136706.5,1728.0709,864.0354,2023,Cardinia
BUS,OUTBOUND,75975,2249096,1124548,1709.587,854.7935,2023,Cardinia
BUS,TOTAL,153253,4522509,2261254.5,3437.6579,1718.8289,2023,Cardinia
CYCLING,IN-BOUNDARY,385216,1272446,1272446,0,0,2023,Cardinia
CYCLING,IN-BOUNDARY,374560,1275363,1275363,0,0,2022,Cardinia
CYCLING,IN-BOUNDARY,413579,1452084,1452084,0,0,2021,Cardinia
CYCLING,IN-BOUNDARY,395847,1378995,1378995,0,0,2020,Cardinia
CYCLING,IN-BOUNDARY,395521,1127727,1127727,0,0,2019,Cardinia
CYCLING,IN-BOUNDARY,296508,981501,981501,0,0,2018,Cardinia
CYCLING,TOTAL,385216,1272446,1272446,0,0,2023,Cardinia
CYCLING,TOTAL,374560,1275363,1275363,0,0,2022,Cardinia
CYCLING,TOTAL,413579,1452084,1452084,0,0,2021,Cardinia
CYCLING,TOTAL,395847,1378995,1378995,0,0,2020,Cardinia
CYCLING,TOTAL,395521,1127727,1127727,0,0,2019,Cardinia
CYCLING,TOTAL,296508,981501,981501,0,0,2018,Cardinia
MOTORCYCLE,IN-BOUNDARY,289201,2187585,2187585,411.781,411.781,2018,Cardinia
MOTORCYCLE,INBOUND,219631,9228421,4614210.5,1737.1145,868.5573,2019,Cardinia
MOTORCYCLE,INBOUND,140816,6375414,3187707,1200.0779,600.039,2018,Cardinia
MOTORCYCLE,OUTBOUND,118222,4710572,2355286,886.6959,443.348,2021,Cardinia
MOTORCYCLE,OUTBOUND,227573,9560197,4780098.5,1799.5665,899.7832,2019,Cardinia
MOTORCYCLE,OUTBOUND,152928,6739517,3369758.5,1268.615,634.3075,2018,Cardinia
MOTORCYCLE,TOTAL,118222,4710572,2355286,886.6959,443.348,2021,Cardinia
MOTORCYCLE,TOTAL,447204,18788618,9394309,3536.681,1768.3405,2019,Cardinia
MOTORCYCLE,TOTAL,582945,15302516,8745050.5,2880.4739,1646.1275,2018,Cardinia
ON FOOT,IN-BOUNDARY,4075185,4648652,4648652,0,0,2023,Cardinia
ON FOOT,IN-BOUNDARY,4020380,4790848,4790848,0,0,2022,Cardinia
ON FOOT,IN-BOUNDARY,4500439,5538360,5538360,0,0,2021,Cardinia
ON FOOT,IN-BOUNDARY,4499623,5629560,5629560,0,0,2020,Cardinia
ON FOOT,IN-BOUNDARY,4886579,4484116,4484116,0,0,2019,Cardinia
ON FOOT,IN-BOUNDARY,4514412,4129354,4129354,0,0,2018,Cardinia
ON FOOT,TOTAL,4075185,4648652,4648652,0,0,2023,Cardinia
ON FOOT,TOTAL,4020380,4790848,4790848,0,0,2022,Cardinia
ON FOOT,TOTAL,4500439,5538360,5538360,0,0,2021,Cardinia
ON FOOT,TOTAL,4499623,5629560,5629560,0,0,2020,Cardinia
ON FOOT,TOTAL,4886579,4484116,4484116,0,0,2019,Cardinia
ON FOOT,TOTAL,4514412,4129354,4129354,0,0,2018,Cardinia
RAIL,INBOUND,675754,28124044,14062022,0,0,2023,Cardinia
RAIL,INBOUND,557716,22860010,11430005,0,0,2022,Cardinia
RAIL,INBOUND,502452,19983863,9991931.5,0,0,2021,Cardinia
RAIL,INBOUND,457949,17598293,8799146.5,0,0,2020,Cardinia
RAIL,INBOUND,1055351,47839835,23919917.5,0,0,2019,Cardinia
RAIL,INBOUND,888160,38333295,19166647.5,0,0,2018,Cardinia
RAIL,OUTBOUND,728918,30613991,15306995.5,0,0,2023,Cardinia
RAIL,OUTBOUND,595080,24852222,12426111,0,0,2022,Cardinia
RAIL,OUTBOUND,526663,21300451,10650225.5,0,0,2021,Cardinia
RAIL,OUTBOUND,487685,19111648,9555824,0,0,2020,Cardinia
RAIL,OUTBOUND,1122023,51463075,25731537.5,0,0,2019,Cardinia
RAIL,OUTBOUND,940441,41478264,20739132,0,0,2018,Cardinia
RAIL,TOTAL,1404672,58738035,29369017.5,0,0,2023,Cardinia
RAIL,TOTAL,1152796,47712232,23856116,0,0,2022,Cardinia
