mode,travel_bounds,trips,full_distance_km,gpc_distance_km,full_co2e_tons,gpc_co2e_tons,year,lga
AUTOMOBILE,IN-BOUNDARY,97147375,518764522,518764522,156403.5052,156403.5052,2023,Casey
AUTOMOBILE,IN-BOUNDARY,98037510,525421718,525421718,158410.5985,158410.5985,2022,Casey
AUTOMOBILE,IN-BOUNDARY,92498592,478401028,478401028,144234.2229,144234.2229,2021,Casey
AUTOMOBILE,IN-BOUNDARY,79965511,387052246,387052246,116693.2691,116693.2691,2020,Casey
AUTOMOBILE,IN-BOUNDARY,93538638,563658875,563658875,169938.8067,169938.8067,2019,Casey
AUTOMOBILE,IN-BOUNDARY,84210981,576881027,576881027,173925.1997,173925.1997,2018,Casey
AUTOMOBILE,INBOUND,45296569,1111336438,555668219,335059.3709,167529.6855,2023,Casey
AUTOMOBILE,INBOUND,45452988,1114057583,557028791.5,335879.7752,167939.8876,2022,Casey
AUTOMOBILE,INBOUND,41083187,963681600,481840800,290542.5753,145271.2876,2021,Casey
AUTOMOBILE,INBOUND,35616182,795492174,397746087,239834.7596,119917.3798,2020,Casey
AUTOMOBILE,INBOUND,45818403,1176524551,588262275.5,354713.0846,177356.5423,2019,Casey
AUTOMOBILE,INBOUND,43026698,1136377011,568188505.5,342608.9423,171304.4712,2018,Casey
AUTOMOBILE,OUTBOUND,45352857,1114767042,557383521,336093.6716,168046.8358,2023,Casey
AUTOMOBILE,OUTBOUND,45519797,1117226031,558613015.5,336835.0378,168417.5189,2022,Casey
AUTOMOBILE,OUTBOUND,41102041,965836100,482918050,291192.1404,145596.0702,2021,Casey
AUTOMOBILE,OUTBOUND,35368745,788558590,394279295,237744.3374,118872.1687,2020,Casey
AUTOMOBILE,OUTBOUND,45370106,1163406926,581703463,350758.2218,175379.1109,2019,Casey
AUTOMOBILE,OUTBOUND,42753994,1128961205,564480602.5,340373.1338,170186.5669,2018,Casey
AUTOMOBILE,TOTAL,187796801,2744868002,1631816262,827556.5478,491980.0265,2023,Casey
AUTOMOBILE,TOTAL,189010295,2756705332,1641063525,831125.4115,494768.005,2022,Casey
AUTOMOBILE,TOTAL,174683820,2407918728,1443159878,725968.9386,435101.5807,2021,Casey
AUTOMOBILE,TOTAL,150950438,1971103010,1179077628,594272.3661,355482.8176,2020,Casey
AUTOMOBILE,TOTAL,184727147,2903590352,1733624614,875410.113,522674.4598,2019,Casey
AUTOMOBILE,TOTAL,169991673,2842219243,1709550135,856907.2758,515416.2377,2018,Casey
BUS,IN-BOUNDARY,1059975,5457574,5457574,4148.4212,4148.4212,2023,Casey
BUS,IN-BOUNDARY,823272,4300912,4300912,3269.2171,3269.2171,2022,Casey
BUS,IN-BOUNDARY,552155,3011932,3011932,2289.4353,2289.4353,2021,Casey
BUS,IN-BOUNDARY,642289,3605229,3605229,2740.4133,2740.4133,2020,Casey
BUS,IN-BOUNDARY,534883,2918881,2918881,2218.7052,2218.7052,2019,Casey
BUS,INBOUND,294891,3822993,1911496.5,2905.9405,1452.9702,2023,Casey
BUS,INBOUND,255281,3231002,1615501,2455.9552,1227.9776,2022,Casey
BUS,INBOUND,193402,2439834,1219917,1854.5711,927.2856,2021,Casey
BUS,INBOUND,245932,3507909,1753954.5,2666.4382,1333.2191,2020,Casey
BUS,INBOUND,240709,3735523,1867761.5,2839.4526,1419.7263,2019,Casey
BUS,OUTBOUND,304511,3950145,1975072.5,3002.5915,1501.2957,2023,Casey
BUS,OUTBOUND,257638,3245450,1622725,2466.9374,1233.4687,2022,Casey
BUS,OUTBOUND,189756,2395408,1197704,1820.8019,910.401,2021,Casey
BUS,OUTBOUND,243152,3596645,1798322.5,2733.8884,1366.9442,2020,Casey
BUS,OUTBOUND,231626,3762951,1881475.5,2860.3012,1430.1506,2019,Casey
BUS,TOTAL,1659377,13230712,9344143,10056.9532,7102.6872,2023,Casey
BUS,TOTAL,1336191,10777364,7539138,8192.1098,5730.6635,2022,Casey
BUS,TOTAL,935313,7847174,5429553,5964.8083,4127.1218,2021,Casey
BUS,TOTAL,1131373,10709783,7157506,8140.74,5440.5766,2020,Casey
BUS,TOTAL,1007218,10417355,6668118,7918.4591,5068.5821,2019,Casey
CYCLING,IN-BOUNDARY,1029682,3165946,3165946,0,0,2023,Casey
CYCLING,IN-BOUNDARY,943738,3021968,3021968,0,0,2022,Casey
CYCLING,IN-BOUNDARY,1131295,4024142,4024142,0,0,2021,Casey
CYCLING,IN-BOUNDARY,1196940,4073136,4073136,0,0,2020,Casey
CYCLING,IN-BOUNDARY,1119987,2818189,2818189,0,0,2019,Casey
CYCLING,IN-BOUNDARY,794411,2329098,2329098,0,0,2018,Casey
CYCLING,TOTAL,1029682,3165946,3165946,0,0,2023,Casey
CYCLING,TOTAL,943738,3021968,3021968,0,0,2022,Casey
CYCLING,TOTAL,1131295,4024142,4024142,0,0,2021,Casey
CYCLING,TOTAL,1196940,4073136,4073136,0,0,2020,Casey
CYCLING,TOTAL,1119987,2818189,2818189,0,0,2019,Casey
CYCLING,TOTAL,794411,2329098,2329098,0,0,2018,Casey
ON FOOT,IN-BOUNDARY,12498668,15301603,15301603,0,0,2023,Casey
ON FOOT,IN-BOUNDARY,12228043,15550655,15550655,0,0,2022,Casey
ON FOOT,IN-BOUNDARY,13709101,18874348,18874348,0,0,2021,Casey
ON FOOT,IN-BOUNDARY,13958868,19525518,19525518,0,0,2020,Casey
ON FOOT,IN-BOUNDARY,15673015,14486684,14486684,0,0,2019,Casey
