mode,travel_bounds,trips,full_distance_km,gpc_distance_km,full_co2e_tons,gpc_co2e_tons,year,lga
AUTOMOBILE,IN-BOUNDARY,32587420,102083280,102083280,30777.3222,30777.3222,2023,Glen Eira
AUTOMOBILE,IN-BOUNDARY,32703679,103771877,103771877,31286.4211,31286.4211,2022,Glen Eira
AUTOMOBILE,IN-BOUNDARY,31368802,97831566,97831566,29495.4632,29495.4632,2021,Glen Eira
AUTOMOBILE,IN-BOUNDARY,27819960,84427859,84427859,25454.3488,25454.3488,2020,Glen Eira
AUTOMOBILE,IN-BOUNDARY,30997536,115138899,115138899,34713.4907,34713.4907,2019,Glen Eira
AUTOMOBILE,IN-BOUNDARY,28088076,124137353,124137353,37426.4587,37426.4587,2018,Glen Eira
AUTOMOBILE,INBOUND,36335735,472729536,236364768,142524.3118,71262.1559,2023,Glen Eira
AUTOMOBILE,INBOUND,37058804,482948809,241474404.5,145605.3438,72802.6719,2022,Glen Eira
AUTOMOBILE,INBOUND,33731086,419474460,209737230,126468.3168,63234.1584,2021,Glen Eira
AUTOMOBILE,INBOUND,29171367,345932634,172966317,104296.023,52148.0115,2020,Glen Eira
AUTOMOBILE,INBOUND,36105626,498204005,249102002.5,150204.6678,75102.3339,2019,Glen Eira
AUTOMOBILE,INBOUND,33396463,484089556,242044778,145949.2837,72974.6419,2018,Glen Eira
AUTOMOBILE,OUTBOUND,36359889,473955885,236977942.5,142894.0465,71447.0233,2023,Glen Eira
AUTOMOBILE,OUTBOUND,37138851,484847525,242423762.5,146177.792,73088.896,2022,Glen Eira
AUTOMOBILE,OUTBOUND,33839298,421869599,210934799.5,127190.4327,63595.2164,2021,Glen Eira
AUTOMOBILE,OUTBOUND,29145430,346136369,173068184.5,104357.4476,52178.7238,2020,Glen Eira
AUTOMOBILE,OUTBOUND,35988510,500067571,250033785.5,150766.5186,75383.2593,2019,Glen Eira
AUTOMOBILE,OUTBOUND,33231466,485113767,242556883.5,146258.0755,73129.0377,2018,Glen Eira
AUTOMOBILE,TOTAL,105283044,1048768701,575425990.5,316195.6804,173486.5013,2023,Glen Eira
AUTOMOBILE,TOTAL,106901334,1071568211,587670044,323069.557,177177.9891,2022,Glen Eira
AUTOMOBILE,TOTAL,98939186,939175625,518503595.5,283154.2127,156324.8379,2021,Glen Eira
AUTOMOBILE,TOTAL,86136757,776496862,430462360.5,234107.8194,129781.0841,2020,Glen Eira
AUTOMOBILE,TOTAL,103091672,1113410475,614274687,335684.6771,185199.0839,2019,Glen Eira
AUTOMOBILE,TOTAL,94716005,1093340676,608739014.5,329633.8178,183530.1382,2018,Glen Eira
BUS,IN-BOUNDARY,593430,1714843,1714843,1303.4896,1303.4896,2023,Glen Eira
BUS,IN-BOUNDARY,409126,1185813,1185813,901.3624,901.3624,2022,Glen Eira
BUS,IN-BOUNDARY,236766,694799,694799,528.1319,528.1319,2021,Glen Eira
BUS,IN-BOUNDARY,268108,776474,776474,590.2148,590.2148,2020,Glen Eira
BUS,IN-BOUNDARY,513117,1584683,1584683,1204.5522,1204.5522,2019,Glen Eira
BUS,IN-BOUNDARY,382790,1154751,1154751,877.751,877.751,2018,Glen Eira
BUS,INBOUND,901460,6224984,3112492,4731.7463,2365.8731,2023,Glen Eira
BUS,INBOUND,682843,4896848,2448424,3722.2011,1861.1006,2022,Glen Eira
BUS,INBOUND,443910,3211344,1605672,2441.0127,1220.5064,2021,Glen Eira
BUS,INBOUND,531014,4185519,2092759.5,3181.5044,1590.7522,2020,Glen Eira
BUS,INBOUND,985242,8552213,4276106.5,6500.7239,3250.3619,2019,Glen Eira
BUS,INBOUND,797681,7116674,3558337,5409.5389,2704.7694,2018,Glen Eira
BUS,OUTBOUND,922946,6543682,3271841,4973.9956,2486.9978,2023,Glen Eira
BUS,OUTBOUND,692214,4962399,2481199.5,3772.0279,1886.0139,2022,Glen Eira
BUS,OUTBOUND,473070,3459021,1729510.5,2629.2774,1314.6387,2021,Glen Eira
BUS,OUTBOUND,545491,4312922,2156461,3278.3462,1639.1731,2020,Glen Eira
BUS,OUTBOUND,1043513,9062061,4531030.5,6888.2705,3444.1352,2019,Glen Eira
BUS,OUTBOUND,905913,8016884,4008442,6093.8081,3046.904,2018,Glen Eira
BUS,TOTAL,2417836,14483509,8099176,11009.2315,6156.3606,2023,Glen Eira
BUS,TOTAL,1784183,11045060,6115436.5,8395.5913,4648.4769,2022,Glen Eira
BUS,TOTAL,1153746,7365164,4029981.5,5598.422,3063.277,2021,Glen Eira
BUS,TOTAL,1344613,9274915,5025694.5,7050.0655,3820.1402,2020,Glen Eira
BUS,TOTAL,2541872,19198957,10391820,14593.5465,7899.0493,2019,Glen Eira
BUS,TOTAL,2086384,16288309,8721530,12381.098,6629.4245,2018,Glen Eira
CYCLING,IN-BOUNDARY,1445657,4277442,4277442,0,0,2023,Glen Eira
CYCLING,IN-BOUNDARY,1396160,4322343,4322343,0,0,2022,Glen Eira
CYCLING,IN-BOUNDARY,1610796,5592045,5592045,0,0,2021,Glen Eira
CYCLING,IN-BOUNDARY,1794884,6059571,6059571,0,0,2020,Glen Eira
CYCLING,IN-BOUNDARY,1498173,3309414,3309414,0,0,2019,Glen Eira
CYCLING,IN-BOUNDARY,1253621,2883873,2883873,0,0,2018,Glen Eira
CYCLING,INBOUND,690461,4879159,2439579.5,0,0,2023,Glen Eira
CYCLING,INBOUND,655798,4503048,2251524,0,0,2022,Glen Eira
CYCLING,INBOUND,707037,4808255,2404127.5,0,0,2021,Glen Eira
CYCLING,INBOUND,747505,4889631,2444815.5,0,0,2020,Glen Eira
CYCLING,INBOUND,779455,5469673,2734836.5,0,0,2019,Glen Eira
CYCLING,INBOUND,709159,4923029,2461514.5,0,0,2018,Glen Eira
CYCLING,OUTBOUND,695785,5214679,2607339.5,0,0,2023,Glen Eira
CYCLING,OUTBOUND,656566,4869288,2434644,0,0,2022,Glen Eira
CYCLING,OUTBOUND,716820,5278850,2639425,0,0,2021,Glen Eira
CYCLING,OUTBOUND,753505,5244824,2622412,0,0,2020,Glen Eira
CYCLING,OUTBOUND,785488,5624330,2812165,0,0,2019,Glen Eira
CYCLING,OUTBOUND,709911,5054558,2527279,0,0,2018,Glen Eira
CYCLING,TOTAL,2831903,14371280,9324361,0,0,2023,Glen Eira
CYCLING,TOTAL,2708524,13694679,9008511,0,0,2022,Glen Eira
CYCLING,TOTAL,3034653,15679150,10635597.5,0,0,2021,Glen Eira
CYCLING,TOTAL,3295894,16194026,11126798.5,0,0,2020,Glen Eira
CYCLING,TOTAL,3063116,14403417,8856415.5,0,0,2019,Glen Eira
CYCLING,TOTAL,2672691,12861460,7872666.5,0,0,2018,Glen Eira
MOTORCYCLE,INBOUND,404619,5333155,2666577.5,1003.888,501.944,2021,Glen Eira
MOTORCYCLE,INBOUND,680934,6972651,3486325.5,1312.499,656.2495,2020,Glen Eira
MOTORCYCLE,INBOUND,620519,7661756,3830878,1442.2129,721.1064,2019,Glen Eira
MOTORCYCLE,OUTBOUND,404056,5245185,2622592.5,987.3289,493.6645,2021,Glen Eira
MOTORCYCLE,OUTBOUND,681000,6999675,3499837.5,1317.5859,658.7929,2020,Glen Eira
MOTORCYCLE,OUTBOUND,626980,7638209,3819104.5,1437.7805,718.8903,2019,Glen Eira
MOTORCYCLE,TOTAL,808675,10578340,5289170,1991.2169,995.6085,2021,Glen Eira
MOTORCYCLE,TOTAL,1361934,13972326,6986163,2630.0849,1315.0424,2020,Glen Eira
MOTORCYCLE,TOTAL,1247499,15299965,7649982.5,2879.9934,1439.9967,2019,Glen Eira
ON FOOT,IN-BOUNDARY,24141435,21141787,21141787,0,0,2023,Glen Eira
ON FOOT,IN-BOUNDARY,23637977,21851874,21851874,0,0,2022,Glen Eira
ON FOOT,IN-BOUNDARY,24201547,23983344,23983344,0,0,2021,Glen Eira
ON FOOT,IN-BOUNDARY,23329157,24054657,24054657,0,0,2020,Glen Eira
ON FOOT,IN-BOUNDARY,26814666,19765954,19765954,0,0,2019,Glen Eira
ON FOOT,IN-BOUNDARY,24765376,18861268,18861268,0,0,2018,Glen Eira
ON FOOT,INBOUND,2352270,3271895,1635947.5,0,0,2023,Glen Eira
ON FOOT,INBOUND,2286146,3211805,1605902.5,0,0,2022,Glen Eira
ON FOOT,INBOUND,2187031,3389459,1694729.5,0,0,2021,Glen Eira
ON FOOT,INBOUND,2262406,3815785,1907892.5,0,0,2020,Glen Eira
ON FOOT,INBOUND,3305404,6034211,3017105.5,0,0,2019,Glen Eira
ON FOOT,INBOUND,3359443,5750025,2875012.5,0,0,2018,Glen Eira
ON FOOT,OUTBOUND,2328471,3388799,1694399.5,0,0,2023,Glen Eira
ON FOOT,OUTBOUND,2250901,3279061,1639530.5,0,0,2022,Glen Eira
ON FOOT,OUTBOUND,2158662,3403421,1701710.5,0,0,2021,Glen Eira
ON FOOT,OUTBOUND,2267262,3939664,1969832,0,0,2020,Glen Eira
ON FOOT,OUTBOUND,3374979,6242286,3121143,0,0,2019,Glen Eira
ON FOOT,OUTBOUND,3473456,6092025,3046012.5,0,0,2018,Glen Eira
ON FOOT,TOTAL,28822176,27802481,24472134,0,0,2023,Glen Eira
ON FOOT,TOTAL,28175024,28342740,25097307,0,0,2022,Glen Eira
ON FOOT,TOTAL,28547240,30776224,27379784,0,0,2021,Glen Eira
ON FOOT,TOTAL,27858825,31810106,27932381.5,0,0,2020,Glen Eira
ON FOOT,TOTAL,33495049,32042451,25904202.5,0,0,2019,Glen Eira
ON FOOT,TOTAL,31598275,30703318,24782293,0,0,2018,Glen Eira
RAIL,IN-BOUNDARY,1172575,5554599,5554599,0,0,2019,Glen Eira
RAIL,IN-BOUNDARY,1103127,4436383,4436383,0,0,2018,Glen Eira
RAIL,INBOUND,5185192,65835807,32917903.5,0,0,2023,Glen Eira
RAIL,INBOUND,4987795,63092072,31546036,0,0,2022,Glen Eira
RAIL,INBOUND,3235046,43831081,21915540.5,0,0,2021,Glen Eira
RAIL,INBOUND,3274900,45107176,22553588,0,0,2020,Glen Eira
RAIL,INBOUND,8905619,133189283,66594641.5,0,0,2019,Glen Eira
RAIL,INBOUND,9073328,120419089,60209544.5,0,0,2018,Glen Eira
RAIL,OUTBOUND,5257504,66283163,33141581.5,0,0,2023,Glen Eira
RAIL,OUTBOUND,5068282,63957903,31978951.5,0,0,2022,Glen Eira
RAIL,OUTBOUND,3265462,44046059,22023029.5,0,0,2021,Glen Eira
RAIL,OUTBOUND,3348218,45855434,22927717,0,0,2020,Glen Eira
RAIL,OUTBOUND,9141912,135355035,67677517.5,0,0,2019,Glen Eira
RAIL,OUTBOUND,9213538,118959909,59479954.5,0,0,2018,Glen Eira
RAIL,TOTAL,10442696,132118970,66059485,0,0,2023,Glen Eira
RAIL,TOTAL,10056077,127049975,63524987.5,0,0,2022,Glen Eira
RAIL,TOTAL,6500508,87877140,43938570,0,0,2021,Glen Eira
RAIL,TOTAL,6623118,90962610,45481305,0,0,2020,Glen Eira
RAIL,TOTAL,19220106,274098917,139826758,0,0,2019,Glen Eira
RAIL,TOTAL,19389993,243815381,124125882,0,0,2018,Glen Eira
TRAM,IN-BOUNDARY,937338,2885071,2885071,0,0,2023,Glen Eira
TRAM,IN-BOUNDARY,710060,2261297,2261297,0,0,2022,Glen Eira
TRAM,IN-BOUNDARY,634270,1988889,1988889,0,0,2021,Glen Eira
TRAM,IN-BOUNDARY,742830,2168292,2168292,0,0,2020,Glen Eira
TRAM,IN-BOUNDARY,1838788,5005900,5005900,0,0,2019,Glen Eira
TRAM,IN-BOUNDARY,1889222,4339124,4339124,0,0,2018,Glen Eira
TRAM,INBOUND,1536302,14064952,7032476,0,0,2023,Glen Eira
TRAM,INBOUND,1070422,9703691,4851845.5,0,0,2022,Glen Eira
TRAM,INBOUND,931594,7943769,3971884.5,0,0,2021,Glen Eira
TRAM,INBOUND,1242114,11086002,5543001,0,0,2020,Glen Eira
TRAM,INBOUND,2339701,21232527,10616263.5,0,0,2019,Glen Eira
TRAM,INBOUND,2351265,15640512,7820256,0,0,2018,Glen Eira
TRAM,OUTBOUND,1551206,14181774,7090887,0,0,2023,Glen Eira
TRAM,OUTBOUND,1066081,8892327,4446163.5,0,0,2022,Glen Eira
TRAM,OUTBOUND,933522,7879866,3939933,0,0,2021,Glen Eira
TRAM,OUTBOUND,1207426,11023021,5511510.5,0,0,2020,Glen Eira
TRAM,OUTBOUND,2439366,18855456,9427728,0,0,2019,Glen Eira
TRAM,OUTBOUND,2341246,15407674,7703837,0,0,2018,Glen Eira
TRAM,TOTAL,4024846,31131797,17008434,0,0,2023,Glen Eira
TRAM,TOTAL,2846563,20857315,11559306,0,0,2022,Glen Eira
TRAM,TOTAL,2499386,17812524,9900706.5,0,0,2021,Glen Eira
TRAM,TOTAL,3192370,24277315,13222803.5,0,0,2020,Glen Eira
TRAM,TOTAL,6617855,45093883,25049891.5,0,0,2019,Glen Eira
TRAM,TOTAL,6581733,35387310,19863217,0,0,2018,Glen Eira
