mode,travel_bounds,trips,full_distance_km,gpc_distance_km,full_co2e_tons,gpc_co2e_tons,year,lga
AUTOMOBILE,IN-BOUNDARY,52063624,203295966,203295966,61292.1669,61292.1669,2023,Monash
AUTOMOBILE,IN-BOUNDARY,51778357,204025213,204025213,61512.0293,61512.0293,2022,Monash
AUTOMOBILE,IN-BOUNDARY,48162946,183010740,183010740,55176.3276,55176.3276,2021,Monash
AUTOMOBILE,IN-BOUNDARY,41384180,151338581,151338581,45627.4158,45627.4158,2020,Monash
AUTOMOBILE,IN-BOUNDARY,52435654,239388642,239388642,72173.8306,72173.8306,2019,Monash
AUTOMOBILE,IN-BOUNDARY,47410102,254654196,254654196,76776.2846,76776.2846,2018,Monash
AUTOMOBILE,INBOUND,60523178,943890894,471945447,284575.8299,142287.915,2023,Monash
AUTOMOBILE,INBOUND,60422788,940055201,470027600.5,283419.3981,141709.699,2022,Monash
AUTOMOBILE,INBOUND,53629249,806512139,403256069.5,243157.1941,121578.597,2021,Monash
AUTOMOBILE,INBOUND,45931525,661011443,330505721.5,199289.8556,99644.9278,2020,Monash
AUTOMOBILE,INBOUND,61179555,1026729573,513364786.5,309551.0532,154775.5266,2019,Monash
AUTOMOBILE,INBOUND,57004256,995602535,497801267.5,300166.5189,150083.2594,2018,Monash
AUTOMOBILE,OUTBOUND,60576684,935451965,467725982.5,282031.5579,141015.7789,2023,Monash
AUTOMOBILE,OUTBOUND,60523541,934299775,467149887.5,281684.1815,140842.0907,2022,Monash
AUTOMOBILE,OUTBOUND,53643147,799136069,399568034.5,240933.3658,120466.6829,2021,Monash
AUTOMOBILE,OUTBOUND,46009921,654808895,327404447.5,197419.8352,98709.9176,2020,Monash
AUTOMOBILE,OUTBOUND,61010297,1015064645,507532322.5,306034.1673,153017.0837,2019,Monash
AUTOMOBILE,OUTBOUND,56866303,986219001,493109500.5,297337.4554,148668.7277,2018,Monash
AUTOMOBILE,TOTAL,173163486,2082638825,1142967396,627899.5547,344595.8608,2023,Monash
AUTOMOBILE,TOTAL,172724686,2078380189,1141202701,626615.6088,344063.8191,2022,Monash
AUTOMOBILE,TOTAL,155435342,1788658948,985834844,539266.8875,297221.6076,2021,Monash
AUTOMOBILE,TOTAL,133325626,1467158919,809248750,442337.1066,243982.2612,2020,Monash
AUTOMOBILE,TOTAL,174625506,2281182860,1260285751,687759.0511,379966.4408,2019,Monash
AUTOMOBILE,TOTAL,161280661,2236475732,1245564964,674280.2588,375528.2717,2018,Monash
BUS,IN-BOUNDARY,2322383,8594249,8594249,6532.6764,6532.6764,2023,Monash
BUS,IN-BOUNDARY,1804735,6917287,6917287,5257.9809,5257.9809,2022,Monash
BUS,IN-BOUNDARY,1091285,4363051,4363051,3316.4504,3316.4504,2021,Monash
BUS,IN-BOUNDARY,1126186,4401534,4401534,3345.7021,3345.7021,2020,Monash
BUS,IN-BOUNDARY,2059847,8358636,8358636,6353.5818,6353.5818,2019,Monash
BUS,IN-BOUNDARY,1382789,5464172,5464172,4153.4358,4153.4358,2018,Monash
BUS,INBOUND,1663986,14561515,7280757.5,11068.5256,5534.2628,2023,Monash
BUS,INBOUND,1288317,11506657,5753328.5,8746.4613,4373.2307,2022,Monash
BUS,INBOUND,907411,8315740,4157870,6320.9756,3160.4878,2021,Monash
BUS,INBOUND,990194,9303560,4651780,7071.8392,3535.9196,2020,Monash
BUS,INBOUND,1642844,16695955,8347977.5,12690.9601,6345.48,2019,Monash
BUS,INBOUND,1237767,12132835,6066417.5,9222.4329,4611.2164,2018,Monash
BUS,OUTBOUND,1704834,15270672,7635336,11607.5713,5803.7857,2023,Monash
BUS,OUTBOUND,1318689,11928796,5964398,9067.3384,4533.6692,2022,Monash
BUS,OUTBOUND,935142,8528504,4264252,6482.7022,3241.3511,2021,Monash
BUS,OUTBOUND,1039039,9769771,4884885.5,7426.2163,3713.1082,2020,Monash
BUS,OUTBOUND,1690853,17442895,8721447.5,13258.7255,6629.3627,2019,Monash
BUS,OUTBOUND,1245820,12506008,6253004,9506.0898,4753.0449,2018,Monash
BUS,TOTAL,5691203,38426436,23510342.5,29208.7733,17870.7248,2023,Monash
BUS,TOTAL,4411741,30352740,18635013.5,23071.7806,14164.8808,2022,Monash
BUS,TOTAL,2933838,21207295,12785173,16120.1281,9718.2892,2021,Monash
BUS,TOTAL,3155419,23474865,13938199.5,17843.7576,10594.7299,2020,Monash
BUS,TOTAL,5393544,42497486,25428061,32303.2673,19328.4245,2019,Monash
BUS,TOTAL,3866376,30103015,17783593.5,22881.9585,13517.6971,2018,Monash
CYCLING,IN-BOUNDARY,1307517,3924901,3924901,0,0,2023,Monash
CYCLING,IN-BOUNDARY,1221749,4020875,4020875,0,0,2022,Monash
CYCLING,IN-BOUNDARY,1341585,5042487,5042487,0,0,2021,Monash
CYCLING,IN-BOUNDARY,1395383,4910971,4910971,0,0,2020,Monash
CYCLING,IN-BOUNDARY,1332888,3107282,3107282,0,0,2019,Monash
CYCLING,IN-BOUNDARY,1186544,2912748,2912748,0,0,2018,Monash
CYCLING,INBOUND,423274,3805974,1902987,0,0,2022,Monash
CYCLING,INBOUND,459904,4034230,2017115,0,0,2021,Monash
CYCLING,INBOUND,456549,3807787,1903893.5,0,0,2020,Monash
CYCLING,INBOUND,482605,4596632,2298316,0,0,2019,Monash
