mode,travel_bounds,trips,full_distance_km,gpc_distance_km,full_co2e_tons,gpc_co2e_tons,year,lga
AUTOMOBILE,IN-BOUNDARY,65017808,319200847,319200847,96236.5953,96236.5953,2023,Whittlesea
AUTOMOBILE,IN-BOUNDARY,65464848,323325360,323325360,97480.1042,97480.1042,2022,Whittlesea
AUTOMOBILE,IN-BOUNDARY,61380053,292724337,292724337,88254.1316,88254.1316,2021,Whittlesea
AUTOMOBILE,IN-BOUNDARY,54524451,245166577,245166577,73915.8335,73915.8335,2020,Whittlesea
AUTOMOBILE,IN-BOUNDARY,62764870,344966526,344966526,104004.7489,104004.7489,2019,Whittlesea
AUTOMOBILE,IN-BOUNDARY,55948148,354156738,354156738,106775.5369,106775.5369,2018,Whittlesea
AUTOMOBILE,INBOUND,33403169,730364614,365182307,220199.3022,110099.6511,2023,Whittlesea
AUTOMOBILE,INBOUND,33722536,738400359,369200179.5,222622.0174,111311.0087,2022,Whittlesea
AUTOMOBILE,INBOUND,29897633,634971389,317485694.5,191438.98,95719.49,2021,Whittlesea
AUTOMOBILE,INBOUND,25843783,515993673,257996836.5,155568.1156,77784.0578,2020,Whittlesea
AUTOMOBILE,INBOUND,32681582,750516977,375258488.5,226275.0843,113137.5421,2019,Whittlesea
AUTOMOBILE,INBOUND,30322576,721933624,360966812,217657.4438,108828.7219,2018,Whittlesea
AUTOMOBILE,OUTBOUND,33411326,728643839,364321919.5,219680.5018,109840.2509,2023,Whittlesea
AUTOMOBILE,OUTBOUND,33727287,737363818,368681909,222309.5082,111154.7541,2022,Whittlesea
AUTOMOBILE,OUTBOUND,29899614,631913776,315956888,190517.1333,95258.5666,2021,Whittlesea
AUTOMOBILE,OUTBOUND,25745299,508288328,254144164,153245.0135,76622.5067,2020,Whittlesea
AUTOMOBILE,OUTBOUND,32376646,739155589,369577794.5,222849.7134,111424.8567,2019,Whittlesea
AUTOMOBILE,OUTBOUND,30130704,713927752,356963876,215243.7348,107621.8674,2018,Whittlesea
AUTOMOBILE,TOTAL,131832303,1778209300,1048705074,536116.3992,316176.4972,2023,Whittlesea
AUTOMOBILE,TOTAL,132914671,1799089537,1061207449,542411.6297,319945.867,2022,Whittlesea
AUTOMOBILE,TOTAL,121177300,1559609502,926166919.5,470210.2449,279232.1882,2021,Whittlesea
AUTOMOBILE,TOTAL,106113533,1269448578,757307577.5,382728.9626,228322.398,2020,Whittlesea
AUTOMOBILE,TOTAL,127823098,1834639092,1089802809,553129.5466,328567.1478,2019,Whittlesea
AUTOMOBILE,TOTAL,116401428,1790018114,1072087426,539676.7155,323226.1262,2018,Whittlesea
BUS,IN-BOUNDARY,1047357,5269760,5269760,4005.6597,4005.6597,2023,Whittlesea
BUS,IN-BOUNDARY,832723,4456648,4456648,3387.5955,3387.5955,2022,Whittlesea
BUS,IN-BOUNDARY,634108,3537599,3537599,2689.0063,2689.0063,2021,Whittlesea
BUS,IN-BOUNDARY,708493,3747649,3747649,2848.6699,2848.6699,2020,Whittlesea
BUS,IN-BOUNDARY,690152,3424295,3424295,2602.8814,2602.8814,2019,Whittlesea
BUS,IN-BOUNDARY,508729,2469048,2469048,1876.777,1876.777,2018,Whittlesea
BUS,INBOUND,349809,4714744,2357372,3583.7799,1791.8899,2023,Whittlesea
BUS,INBOUND,280681,3852195,1926097.5,2928.1376,1464.0688,2022,Whittlesea
BUS,INBOUND,202801,2789161,1394580.5,2120.1022,1060.0511,2021,Whittlesea
BUS,INBOUND,250404,3557788,1778894,2704.3524,1352.1762,2020,Whittlesea
BUS,INBOUND,274318,4273164,2136582,3248.1253,1624.0626,2019,Whittlesea
BUS,INBOUND,191494,2746929,1373464.5,2088.001,1044.0005,2018,Whittlesea
BUS,OUTBOUND,355268,4797068,2398534,3646.3562,1823.1781,2023,Whittlesea
