mode,travel_bounds,trips,full_distance_km,gpc_distance_km,full_co2e_tons,gpc_co2e_tons,year,lga
AUTOMOBILE,IN-BOUNDARY,39944644,130142443,130142443,39236.9436,39236.9436,2023,Darebin
AUTOMOBILE,IN-BOUNDARY,40795333,136316299,136316299,41098.3136,41098.3136,2022,Darebin
AUTOMOBILE,IN-BOUNDARY,38397060,127582888,127582888,38465.2574,38465.2574,2021,Darebin
AUTOMOBILE,IN-BOUNDARY,35113687,114000943,114000943,34370.4057,34370.4057,2020,Darebin
AUTOMOBILE,IN-BOUNDARY,39507662,154509356,154509356,46583.38,46583.38,2019,Darebin
AUTOMOBILE,IN-BOUNDARY,35236961,161096349,161096349,48569.3121,48569.3121,2018,Darebin
AUTOMOBILE,INBOUND,41437362,600055073,300027536.5,180911.9799,90455.9899,2023,Darebin
AUTOMOBILE,INBOUND,42407801,618547465,309273732.5,186487.2935,93243.6468,2022,Darebin
AUTOMOBILE,INBOUND,37859280,528920954,264460477,159465.5912,79732.7956,2021,Darebin
AUTOMOBILE,INBOUND,32816694,431094626,215547313,129971.7073,64985.8536,2020,Darebin
AUTOMOBILE,INBOUND,40572540,625758203,312879101.5,188661.2755,94330.6377,2019,Darebin
AUTOMOBILE,INBOUND,37114727,600263603,300131801.5,180974.8668,90487.4334,2018,Darebin
AUTOMOBILE,OUTBOUND,41289382,589936591,294968295.5,177861.3355,88930.6678,2023,Darebin
AUTOMOBILE,OUTBOUND,42261029,607036209,303518104.5,183016.7386,91508.3693,2022,Darebin
AUTOMOBILE,OUTBOUND,37811720,522169241,261084620.5,157430.0018,78715.0009,2021,Darebin
AUTOMOBILE,OUTBOUND,32744984,425235952,212617976,128205.3622,64102.6811,2020,Darebin
AUTOMOBILE,OUTBOUND,40269537,613124644,306562322,184852.3548,92426.1774,2019,Darebin
AUTOMOBILE,OUTBOUND,36857242,588969893,294484946.5,177569.8999,88784.95,2018,Darebin
AUTOMOBILE,TOTAL,122671388,1320134107,725138275,398010.2589,218623.6012,2023,Darebin
AUTOMOBILE,TOTAL,125464163,1361899973,749108136,410602.3456,225850.3296,2022,Darebin
AUTOMOBILE,TOTAL,114068060,1178673083,653127985.5,355360.8504,196913.0539,2021,Darebin
AUTOMOBILE,TOTAL,100675365,970331521,542166232,292547.4752,163458.9404,2020,Darebin
AUTOMOBILE,TOTAL,120349739,1393392203,773950779.5,420097.0103,233340.1951,2019,Darebin
AUTOMOBILE,TOTAL,109208930,1350329845,755713097,407114.0788,227841.6955,2018,Darebin
BUS,IN-BOUNDARY,1250133,4663561,4663561,3544.8746,3544.8746,2023,Darebin
BUS,IN-BOUNDARY,972415,3920585,3920585,2980.1223,2980.1223,2022,Darebin
BUS,IN-BOUNDARY,707121,2991706,2991706,2274.0611,2274.0611,2021,Darebin
BUS,IN-BOUNDARY,801542,3125494,3125494,2375.7563,2375.7563,2020,Darebin
BUS,IN-BOUNDARY,1064787,4086349,4086349,3106.1231,3106.1231,2019,Darebin
BUS,IN-BOUNDARY,892602,3233528,3233528,2457.875,2457.875,2018,Darebin
BUS,INBOUND,1038949,8376199,4188099.5,6366.9318,3183.4659,2023,Darebin
BUS,INBOUND,842780,7030241,3515120.5,5343.8397,2671.9199,2022,Darebin
BUS,INBOUND,605582,5043633,2521816.5,3833.7756,1916.8878,2021,Darebin
BUS,INBOUND,656458,5608988,2804494,4263.5143,2131.7571,2020,Darebin
BUS,INBOUND,1012770,9572381,4786190.5,7276.1759,3638.0879,2019,Darebin
BUS,INBOUND,790339,6971932,3485966,5299.5181,2649.759,2018,Darebin
BUS,OUTBOUND,1042217,8342286,4171143,6341.1538,3170.5769,2023,Darebin
BUS,OUTBOUND,850966,7025531,3512765.5,5340.2596,2670.1298,2022,Darebin
BUS,OUTBOUND,618822,5044465,2522232.5,3834.408,1917.204,2021,Darebin
BUS,OUTBOUND,666540,5517660,2758830,4194.0939,2097.0469,2020,Darebin
BUS,OUTBOUND,1051654,9977119,4988559.5,7583.8261,3791.913,2019,Darebin
BUS,OUTBOUND,815172,7247041,3623520.5,5508.6341,2754.3171,2018,Darebin
BUS,TOTAL,3331299,21382046,13022803.5,16252.9602,9898.9174,2023,Darebin
BUS,TOTAL,2666161,17976357,10948471,13664.2216,8322.1719,2022,Darebin
BUS,TOTAL,1931525,13079804,8035755,9942.2447,6108.1529,2021,Darebin
BUS,TOTAL,2124540,14252142,8688818,10833.3644,6604.5603,2020,Darebin
BUS,TOTAL,3129211,23635849,13861099,17966.1251,10536.1241,2019,Darebin
BUS,TOTAL,2498113,17452501,10343014.5,13266.0273,7861.9512,2018,Darebin
CYCLING,IN-BOUNDARY,2294665,6273022,6273022,0,0,2023,Darebin
CYCLING,IN-BOUNDARY,2142749,6117748,6117748,0,0,2022,Darebin
CYCLING,IN-BOUNDARY,2239723,7063933,7063933,0,0,2021,Darebin
CYCLING,IN-BOUNDARY,2394780,7646195,7646195,0,0,2020,Darebin
CYCLING,IN-BOUNDARY,2060857,4781098,4781098,0,0,2019,Darebin
CYCLING,IN-BOUNDARY,1788404,4279879,4279879,0,0,2018,Darebin
CYCLING,INBOUND,1292846,8831474,4415737,0,0,2023,Darebin
CYCLING,INBOUND,1216691,8176598,4088299,0,0,2022,Darebin
CYCLING,INBOUND,1213713,7869762,3934881,0,0,2021,Darebin
CYCLING,INBOUND,1192057,7622911,3811455.5,0,0,2020,Darebin
CYCLING,INBOUND,1516131,10173587,5086793.5,0,0,2019,Darebin
CYCLING,INBOUND,1440710,9605271,4802635.5,0,0,2018,Darebin
CYCLING,OUTBOUND,1295397,8907893,4453946.5,0,0,2023,Darebin
CYCLING,OUTBOUND,1218550,8285545,4142772.5,0,0,2022,Darebin
CYCLING,OUTBOUND,1227506,8064949,4032474.5,0,0,2021,Darebin
