mode,travel_bounds,trips,full_distance_km,gpc_distance_km,full_co2e_tons,gpc_co2e_tons,year,lga
AUTOMOBILE,IN-BOUNDARY,51114791,216404920,216404920,65244.4155,65244.4155,2023,Frankston
AUTOMOBILE,IN-BOUNDARY,51895608,224866545,224866545,67795.5303,67795.5303,2022,Frankston
AUTOMOBILE,IN-BOUNDARY,48983629,205686815,205686815,62012.9895,62012.9895,2021,Frankston
AUTOMOBILE,IN-BOUNDARY,43886822,174959567,174959567,52748.961,52748.961,2020,Frankston
AUTOMOBILE,IN-BOUNDARY,50334068,250014426,250014426,75377.4226,75377.4226,2019,Frankston
AUTOMOBILE,IN-BOUNDARY,45533761,261031859,261031859,78699.101,78699.101,2018,Frankston
AUTOMOBILE,INBOUND,29410366,698727928,349363964,210661.0852,105330.5426,2023,Frankston
AUTOMOBILE,INBOUND,29288085,696462932,348231466,209978.2063,104989.1032,2022,Frankston
AUTOMOBILE,INBOUND,26138778,597073524,298536762,180013.0658,90006.5329,2021,Frankston
AUTOMOBILE,INBOUND,22625823,496717345,248358672.5,149756.4513,74878.2256,2020,Frankston
AUTOMOBILE,INBOUND,28475490,714865490,357432745,215526.4357,107763.2179,2019,Frankston
AUTOMOBILE,INBOUND,26421460,684352228,342176114,206326.9415,103163.4707,2018,Frankston
AUTOMOBILE,OUTBOUND,29404075,696627335,348313667.5,210027.7726,105013.8863,2023,Frankston
AUTOMOBILE,OUTBOUND,29283571,693941126,346970563,209217.9013,104608.9506,2022,Frankston
AUTOMOBILE,OUTBOUND,26136150,595293172,297646586,179476.3034,89738.1517,2021,Frankston
AUTOMOBILE,OUTBOUND,22584911,494287856,247143928,149023.9791,74511.9895,2020,Frankston
AUTOMOBILE,OUTBOUND,28468582,713494411,356747205.5,215113.066,107556.533,2019,Frankston
AUTOMOBILE,OUTBOUND,26382205,682909753,341454876.5,205892.0463,102946.0232,2018,Frankston
AUTOMOBILE,TOTAL,109929232,1611760183,914082551.5,485933.2733,275588.8444,2023,Frankston
AUTOMOBILE,TOTAL,110467264,1615270603,920068574,486991.6378,277393.5841,2022,Frankston
AUTOMOBILE,TOTAL,101258557,1398053511,801870163,421502.3587,241757.6741,2021,Frankston
AUTOMOBILE,TOTAL,89097556,1165964768,670462167.5,351529.3914,202139.1762,2020,Frankston
AUTOMOBILE,TOTAL,107278140,1678374327,964194376.5,506016.9243,290697.1734,2019,Frankston
