mode,travel_bounds,trips,full_distance_km,gpc_distance_km,full_co2e_tons,gpc_co2e_tons,year,lga
AUTOMOBILE,IN-BOUNDARY,56739583,242312056,242312056,73055.2174,73055.2174,2023,Greater Dandenong
AUTOMOBILE,IN-BOUNDARY,57486514,249771666,249771666,75304.2323,75304.2323,2022,Greater Dandenong
AUTOMOBILE,IN-BOUNDARY,54105665,226331153,226331153,68237.0983,68237.0983,2021,Greater Dandenong
AUTOMOBILE,IN-BOUNDARY,46478096,185139931,185139931,55818.2623,55818.2623,2020,Greater Dandenong
AUTOMOBILE,IN-BOUNDARY,53355294,264937684,264937684,79876.6698,79876.6698,2019,Greater Dandenong
AUTOMOBILE,IN-BOUNDARY,48075692,286595817,286595817,86406.438,86406.438,2018,Greater Dandenong
AUTOMOBILE,INBOUND,53610216,987497152,493748576,297722.7806,148861.3903,2023,Greater Dandenong
AUTOMOBILE,INBOUND,54282552,1006577075,503288537.5,303475.2304,151737.6152,2022,Greater Dandenong
AUTOMOBILE,INBOUND,48217575,871711611,435855805.5,262814.3324,131407.1662,2021,Greater Dandenong
AUTOMOBILE,INBOUND,39697958,687011756,343505878,207128.7496,103564.3748,2020,Greater Dandenong
AUTOMOBILE,INBOUND,48248502,945028880,472514440,284918.9239,142459.462,2019,Greater Dandenong
AUTOMOBILE,INBOUND,45299125,920795271,460397635.5,277612.7032,138806.3516,2018,Greater Dandenong
AUTOMOBILE,OUTBOUND,53496103,973501198,486750599,293503.1084,146751.5542,2023,Greater Dandenong
AUTOMOBILE,OUTBOUND,54138461,990144938,495072469,298521.0677,149260.5339,2022,Greater Dandenong
AUTOMOBILE,OUTBOUND,48108292,858388592,429194296,258797.5448,129398.7724,2021,Greater Dandenong
AUTOMOBILE,OUTBOUND,39744730,678970931,339485465.5,204704.5028,102352.2514,2020,Greater Dandenong
AUTOMOBILE,OUTBOUND,48341545,937118943,468559471.5,282534.1389,141267.0694,2019,Greater Dandenong
AUTOMOBILE,OUTBOUND,45398298,916138878,458069439,276208.8365,138104.4182,2018,Greater Dandenong
AUTOMOBILE,TOTAL,163845902,2203310406,1222811231,664281.1064,368668.1619,2023,Greater Dandenong
AUTOMOBILE,TOTAL,165907527,2246493679,1248132673,677300.5304,376302.3813,2022,Greater Dandenong
AUTOMOBILE,TOTAL,150431532,1956431356,1091381255,589848.9755,329043.0369,2021,Greater Dandenong
AUTOMOBILE,TOTAL,125920784,1551122618,868131274.5,467651.5148,261734.8885,2020,Greater Dandenong
AUTOMOBILE,TOTAL,149945341,2147085507,1206011596,647329.7327,363603.2013,2019,Greater Dandenong
AUTOMOBILE,TOTAL,138773115,2123529966,1205062892,640227.9777,363317.2079,2018,Greater Dandenong
BUS,IN-BOUNDARY,1090979,4377373,4377373,3327.3368,3327.3368,2023,Greater Dandenong
BUS,IN-BOUNDARY,847218,3546237,3546237,2695.5722,2695.5722,2022,Greater Dandenong
BUS,IN-BOUNDARY,633330,2665992,2665992,2026.4787,2026.4787,2021,Greater Dandenong
BUS,IN-BOUNDARY,712858,3063748,3063748,2328.8218,2328.8218,2020,Greater Dandenong
BUS,IN-BOUNDARY,802065,3477916,3477916,2643.6399,2643.6399,2019,Greater Dandenong
BUS,IN-BOUNDARY,588148,2488468,2488468,1891.539,1891.539,2018,Greater Dandenong
BUS,INBOUND,815289,9975557,4987778.5,7582.6388,3791.3194,2023,Greater Dandenong
BUS,INBOUND,665679,8135528,4067764,6183.9925,3091.9963,2022,Greater Dandenong
BUS,INBOUND,495224,6264356,3132178,4761.6738,2380.8369,2021,Greater Dandenong
BUS,INBOUND,554073,7302965,3651482.5,5551.1432,2775.5716,2020,Greater Dandenong
BUS,INBOUND,617610,8904527,4452263.5,6768.5255,3384.2627,2019,Greater Dandenong
BUS,INBOUND,500845,7138993,3569496.5,5426.504,2713.252,2018,Greater Dandenong
BUS,OUTBOUND,816336,10052762,5026381,7641.324,3820.662,2023,Greater Dandenong
BUS,OUTBOUND,659717,8016803,4008401.5,6093.7471,3046.8735,2022,Greater Dandenong
BUS,OUTBOUND,521560,6515409,3257704.5,4952.5047,2476.2523,2021,Greater Dandenong
BUS,OUTBOUND,582109,7674583,3837291.5,5833.6182,2916.8091,2020,Greater Dandenong
BUS,OUTBOUND,655218,9222777,4611388.5,7010.4342,3505.2171,2019,Greater Dandenong
BUS,OUTBOUND,559667,7976919,3988459.5,6063.4298,3031.7149,2018,Greater Dandenong
BUS,TOTAL,2722604,24405692,14391532.5,18551.2995,10939.3182,2023,Greater Dandenong
BUS,TOTAL,2172614,19698568,11622402.5,14973.3118,8834.442,2022,Greater Dandenong
BUS,TOTAL,1650114,15445757,9055874.5,11740.6572,6883.568,2021,Greater Dandenong
BUS,TOTAL,1849040,18041296,10552522,13713.5831,8021.2024,2020,Greater Dandenong
BUS,TOTAL,2074893,21605220,12541568,16422.5996,9533.1198,2019,Greater Dandenong
BUS,TOTAL,1648660,17604380,10046424,13381.4728,7636.5059,2018,Greater Dandenong
CYCLING,IN-BOUNDARY,949635,2375178,2375178,0,0,2023,Greater Dandenong
CYCLING,IN-BOUNDARY,828758,2396898,2396898,0,0,2022,Greater Dandenong
CYCLING,IN-BOUNDARY,846854,2677742,2677742,0,0,2021,Greater Dandenong
CYCLING,IN-BOUNDARY,759274,2283770,2283770,0,0,2020,Greater Dandenong
CYCLING,IN-BOUNDARY,738607,1700444,1700444,0,0,2019,Greater Dandenong
CYCLING,IN-BOUNDARY,611516,1543967,1543967,0,0,2018,Greater Dandenong
CYCLING,INBOUND,167037,1680793,840396.5,0,0,2022,Greater Dandenong
CYCLING,INBOUND,167923,1716831,858415.5,0,0,2021,Greater Dandenong
CYCLING,INBOUND,150372,1479192,739596,0,0,2020,Greater Dandenong
CYCLING,INBOUND,158600,1568665,784332.5,0,0,2019,Greater Dandenong
CYCLING,OUTBOUND,168257,1676892,838446,0,0,2022,Greater Dandenong
CYCLING,OUTBOUND,169135,1715393,857696.5,0,0,2021,Greater Dandenong
CYCLING,OUTBOUND,150512,1479466,739733,0,0,2020,Greater Dandenong
CYCLING,OUTBOUND,161538,1589625,794812.5,0,0,2019,Greater Dandenong
CYCLING,TOTAL,949635,2375178,2375178,0,0,2023,Greater Dandenong
CYCLING,TOTAL,1164052,5754583,4075740.5,0,0,2022,Greater Dandenong
CYCLING,TOTAL,1183912,6109966,4393854,0,0,2021,Greater Dandenong
CYCLING,TOTAL,1060158,5242428,3763099,0,0,2020,Greater Dandenong
CYCLING,TOTAL,1058745,4858734,3279589,0,0,2019,Greater Dandenong
CYCLING,TOTAL,611516,1543967,1543967,0,0,2018,Greater Dandenong
MOTORCYCLE,INBOUND,406145,8350398,4175199,1571.8396,785.9198,2020,Greater Dandenong
MOTORCYCLE,OUTBOUND,397934,8049213,4024606.5,1515.146,757.573,2020,Greater Dandenong
MOTORCYCLE,TOTAL,804079,16399611,8199805.5,3086.9856,1543.4928,2020,Greater Dandenong
ON FOOT,IN-BOUNDARY,12746839,11355072,11355072,0,0,2023,Greater Dandenong
ON FOOT,IN-BOUNDARY,11994036,11261605,11261605,0,0,2022,Greater Dandenong
ON FOOT,IN-BOUNDARY,11838816,11777525,11777525,0,0,2021,Greater Dandenong
ON FOOT,IN-BOUNDARY,11418363,11584099,11584099,0,0,2020,Greater Dandenong
ON FOOT,IN-BOUNDARY,17594369,13048635,13048635,0,0,2019,Greater Dandenong
ON FOOT,IN-BOUNDARY,16865359,12433240,12433240,0,0,2018,Greater Dandenong
ON FOOT,INBOUND,276449,597460,298730,0,0,2022,Greater Dandenong
ON FOOT,INBOUND,270526,650235,325117.5,0,0,2021,Greater Dandenong
ON FOOT,INBOUND,297234,777249,388624.5,0,0,2020,Greater Dandenong
ON FOOT,INBOUND,567721,1840971,920485.5,0,0,2019,Greater Dandenong
ON FOOT,INBOUND,555928,1409838,704919,0,0,2018,Greater Dandenong
ON FOOT,OUTBOUND,277785,617948,308974,0,0,2022,Greater Dandenong
ON FOOT,OUTBOUND,277174,675954,337977,0,0,2021,Greater Dandenong
ON FOOT,OUTBOUND,307786,815013,407506.5,0,0,2020,Greater Dandenong
ON FOOT,OUTBOUND,544330,1798004,899002,0,0,2019,Greater Dandenong
ON FOOT,OUTBOUND,543825,1438208,719104,0,0,2018,Greater Dandenong
ON FOOT,TOTAL,12746839,11355072,11355072,0,0,2023,Greater Dandenong
ON FOOT,TOTAL,12548270,12477013,11869309,0,0,2022,Greater Dandenong
ON FOOT,TOTAL,12386516,13103714,12440619.5,0,0,2021,Greater Dandenong
ON FOOT,TOTAL,12023383,13176361,12380230,0,0,2020,Greater Dandenong
ON FOOT,TOTAL,18706420,16687610,14868122.5,0,0,2019,Greater Dandenong
ON FOOT,TOTAL,17965112,15281286,13857263,0,0,2018,Greater Dandenong
RAIL,IN-BOUNDARY,395586,2745327,2745327,0,0,2018,Greater Dandenong
RAIL,INBOUND,3065013,69178967,34589483.5,0,0,2023,Greater Dandenong
RAIL,INBOUND,2489566,56427599,28213799.5,0,0,2022,Greater Dandenong
RAIL,INBOUND,1870960,41895158,20947579,0,0,2021,Greater Dandenong
RAIL,INBOUND,1906501,42626389,21313194.5,0,0,2020,Greater Dandenong
RAIL,INBOUND,4111062,108612026,54306013,0,0,2019,Greater Dandenong
RAIL,INBOUND,3367974,80028124,40014062,0,0,2018,Greater Dandenong
RAIL,OUTBOUND,2977839,66011239,33005619.5,0,0,2023,Greater Dandenong
RAIL,OUTBOUND,2454269,54732781,27366390.5,0,0,2022,Greater Dandenong
RAIL,OUTBOUND,1861591,41212591,20606295.5,0,0,2021,Greater Dandenong
RAIL,OUTBOUND,1852131,41026250,20513125,0,0,2020,Greater Dandenong
RAIL,OUTBOUND,4038367,104708391,52354195.5,0,0,2019,Greater Dandenong
RAIL,OUTBOUND,3328553,79129691,39564845.5,0,0,2018,Greater Dandenong
RAIL,TOTAL,6042852,135190206,67595103,0,0,2023,Greater Dandenong
RAIL,TOTAL,4943835,111160380,55580190,0,0,2022,Greater Dandenong
RAIL,TOTAL,3732551,83107749,41553874.5,0,0,2021,Greater Dandenong
RAIL,TOTAL,3758632,83652639,41826319.5,0,0,2020,Greater Dandenong
RAIL,TOTAL,8149429,213320417,106660208.5,0,0,2019,Greater Dandenong
RAIL,TOTAL,7092113,161903142,82324234.5,0,0,2018,Greater Dandenong
