mode,travel_bounds,trips,full_distance_km,gpc_distance_km,full_co2e_tons,gpc_co2e_tons,year,lga
AUTOMOBILE,IN-BOUNDARY,30306709,119033422,119033422,35887.6593,35887.6593,2023,Hobsons Bay
AUTOMOBILE,IN-BOUNDARY,30632957,122777835,122777835,37016.571,37016.571,2022,Hobsons Bay
AUTOMOBILE,IN-BOUNDARY,28815424,113856847,113856847,34326.9619,34326.9619,2021,Hobsons Bay
AUTOMOBILE,IN-BOUNDARY,25274461,97217531,97217531,29310.3363,29310.3363,2020,Hobsons Bay
AUTOMOBILE,IN-BOUNDARY,28315805,133845323,133845323,40353.3333,40353.3333,2019,Hobsons Bay
AUTOMOBILE,IN-BOUNDARY,25164704,138494500,138494500,41755.0282,41755.0282,2018,Hobsons Bay
AUTOMOBILE,INBOUND,27711403,544699006,272349503,164222.5523,82111.2761,2023,Hobsons Bay
AUTOMOBILE,INBOUND,28201699,556332891,278166445.5,167730.079,83865.0395,2022,Hobsons Bay
AUTOMOBILE,INBOUND,25485002,489034917,244517458.5,147440.2585,73720.1292,2021,Hobsons Bay
AUTOMOBILE,INBOUND,21534767,393218731,196609365.5,118552.4168,59276.2084,2020,Hobsons Bay
AUTOMOBILE,INBOUND,26744374,548903037,274451518.5,165490.0352,82745.0176,2019,Hobsons Bay
AUTOMOBILE,INBOUND,24200763,518937086,259468543,156455.5464,78227.7732,2018,Hobsons Bay
AUTOMOBILE,OUTBOUND,27641297,544039381,272019690.5,164023.6804,82011.8402,2023,Hobsons Bay
AUTOMOBILE,OUTBOUND,28214731,560190259,280095129.5,168893.0457,84446.5228,2022,Hobsons Bay
AUTOMOBILE,OUTBOUND,25462499,491661304,245830652,148232.0939,74116.047,2021,Hobsons Bay
AUTOMOBILE,OUTBOUND,21516314,393570981,196785490.5,118658.6175,59329.3088,2020,Hobsons Bay
AUTOMOBILE,OUTBOUND,26674531,553294473,276647236.5,166814.0193,83407.0097,2019,Hobsons Bay
AUTOMOBILE,OUTBOUND,24076705,521960496,260980248,157367.0813,78683.5407,2018,Hobsons Bay
AUTOMOBILE,TOTAL,85659409,1207771809,663402615.5,364133.8921,200010.7757,2023,Hobsons Bay
AUTOMOBILE,TOTAL,87049387,1239300985,681039410,373639.6956,205328.1333,2022,Hobsons Bay
AUTOMOBILE,TOTAL,79762925,1094553068,604204957.5,329999.3142,182163.1381,2021,Hobsons Bay
AUTOMOBILE,TOTAL,68325542,884007243,490612387,266521.3707,147915.8535,2020,Hobsons Bay
AUTOMOBILE,TOTAL,81734710,1236042833,684944078,372657.3879,206505.3606,2019,Hobsons Bay
AUTOMOBILE,TOTAL,73442172,1179392082,658943291,355577.6559,198666.3421,2018,Hobsons Bay
BUS,IN-BOUNDARY,486845,1822338,1822338,1385.1989,1385.1989,2023,Hobsons Bay
BUS,IN-BOUNDARY,352233,1429279,1429279,1086.4262,1086.4262,2022,Hobsons Bay
BUS,IN-BOUNDARY,279464,1202791,1202791,914.2677,914.2677,2021,Hobsons Bay
BUS,IN-BOUNDARY,299456,1328575,1328575,1009.8789,1009.8789,2020,Hobsons Bay
BUS,IN-BOUNDARY,346184,1492580,1492580,1134.5427,1134.5427,2019,Hobsons Bay
BUS,IN-BOUNDARY,232843,1188491,1188491,903.398,903.398,2018,Hobsons Bay
BUS,INBOUND,393890,3872575,1936287.5,2943.6288,1471.8144,2023,Hobsons Bay
BUS,INBOUND,269119,2719013,1359506.5,2066.7812,1033.3906,2022,Hobsons Bay
BUS,INBOUND,228237,2369747,1184873.5,1801.2965,900.6482,2021,Hobsons Bay
BUS,INBOUND,276186,2978369,1489184.5,2263.9233,1131.9617,2020,Hobsons Bay
BUS,INBOUND,299947,3600122,1800061,2736.5314,1368.2657,2019,Hobsons Bay
BUS,INBOUND,197550,2370122,1185061,1801.581,900.7905,2018,Hobsons Bay
BUS,OUTBOUND,405141,4105510,2052755,3120.6878,1560.3439,2023,Hobsons Bay
BUS,OUTBOUND,268253,2792714,1396357,2122.8029,1061.4015,2022,Hobsons Bay
BUS,OUTBOUND,224201,2396350,1198175,1821.518,910.759,2021,Hobsons Bay
BUS,OUTBOUND,276060,3210400,1605200,2440.2952,1220.1476,2020,Hobsons Bay
BUS,OUTBOUND,308056,3791579,1895789.5,2882.062,1441.031,2019,Hobsons Bay
BUS,OUTBOUND,195220,2314216,1157108,1759.086,879.543,2018,Hobsons Bay
BUS,TOTAL,1285876,9800423,5811380.5,7449.5156,4417.3572,2023,Hobsons Bay
BUS,TOTAL,889605,6941006,4185142.5,5276.0103,3181.2182,2022,Hobsons Bay
BUS,TOTAL,731902,5968888,3585839.5,4537.0821,2725.6749,2021,Hobsons Bay
BUS,TOTAL,851702,7517344,4422959.5,5714.0974,3361.9881,2020,Hobsons Bay
BUS,TOTAL,954187,8884281,5188430.5,6753.136,3943.8393,2019,Hobsons Bay
BUS,TOTAL,625613,5872829,3530660,4464.065,2683.7315,2018,Hobsons Bay
CYCLING,IN-BOUNDARY,1135830,3969267,3969267,0,0,2023,Hobsons Bay
CYCLING,IN-BOUNDARY,1067779,4003103,4003103,0,0,2022,Hobsons Bay
CYCLING,IN-BOUNDARY,1204630,5105760,5105760,0,0,2021,Hobsons Bay
CYCLING,IN-BOUNDARY,1266425,5261642,5261642,0,0,2020,Hobsons Bay
CYCLING,IN-BOUNDARY,1016637,2814975,2814975,0,0,2019,Hobsons Bay
CYCLING,IN-BOUNDARY,888789,2576678,2576678,0,0,2018,Hobsons Bay
CYCLING,INBOUND,283485,3011532,1505766,0,0,2023,Hobsons Bay
CYCLING,INBOUND,257309,2950606,1475303,0,0,2022,Hobsons Bay
CYCLING,INBOUND,273387,3033865,1516932.5,0,0,2021,Hobsons Bay
CYCLING,INBOUND,264219,2805368,1402684,0,0,2020,Hobsons Bay
CYCLING,INBOUND,308509,2971334,1485667,0,0,2019,Hobsons Bay
CYCLING,INBOUND,294745,2794652,1397326,0,0,2018,Hobsons Bay
CYCLING,OUTBOUND,279610,2891973,1445986.5,0,0,2023,Hobsons Bay
CYCLING,OUTBOUND,252057,2781447,1390723.5,0,0,2022,Hobsons Bay
CYCLING,OUTBOUND,268433,2904584,1452292,0,0,2021,Hobsons Bay
CYCLING,OUTBOUND,256959,2628551,1314275.5,0,0,2020,Hobsons Bay
CYCLING,OUTBOUND,303405,2926131,1463065.5,0,0,2019,Hobsons Bay
CYCLING,OUTBOUND,287880,2754596,1377298,0,0,2018,Hobsons Bay
CYCLING,TOTAL,1698925,9872772,6921019.5,0,0,2023,Hobsons Bay
CYCLING,TOTAL,1577145,9735156,6869129.5,0,0,2022,Hobsons Bay
CYCLING,TOTAL,1746450,11044209,8074984.5,0,0,2021,Hobsons Bay
CYCLING,TOTAL,1787603,10695561,7978601.5,0,0,2020,Hobsons Bay
CYCLING,TOTAL,1628551,8712440,5763707.5,0,0,2019,Hobsons Bay
CYCLING,TOTAL,1471414,8125926,5351302,0,0,2018,Hobsons Bay
MOTORCYCLE,INBOUND,285345,5456952,2728476,1027.191,513.5955,2020,Hobsons Bay
MOTORCYCLE,INBOUND,366856,8597029,4298514.5,1618.2643,809.1321,2019,Hobsons Bay
MOTORCYCLE,INBOUND,208406,5412421,2706210.5,1018.809,509.4045,2018,Hobsons Bay
MOTORCYCLE,OUTBOUND,280759,5300134,2650067,997.6723,498.8361,2020,Hobsons Bay
MOTORCYCLE,OUTBOUND,365848,8781580,4390790,1653.0033,826.5016,2019,Hobsons Bay
MOTORCYCLE,OUTBOUND,214879,5843170,2921585,1099.891,549.9455,2018,Hobsons Bay
MOTORCYCLE,TOTAL,566104,10757086,5378543,2024.8632,1012.4316,2020,Hobsons Bay
MOTORCYCLE,TOTAL,732704,17378609,8689304.5,3271.2676,1635.6338,2019,Hobsons Bay
MOTORCYCLE,TOTAL,423285,11255591,5627795.5,2118.7,1059.35,2018,Hobsons Bay
ON FOOT,IN-BOUNDARY,11887511,12247714,12247714,0,0,2023,Hobsons Bay
ON FOOT,IN-BOUNDARY,11602880,12501725,12501725,0,0,2022,Hobsons Bay
ON FOOT,IN-BOUNDARY,11826527,13542034,13542034,0,0,2021,Hobsons Bay
ON FOOT,IN-BOUNDARY,11157171,13332095,13332095,0,0,2020,Hobsons Bay
ON FOOT,IN-BOUNDARY,12646625,10767888,10767888,0,0,2019,Hobsons Bay
ON FOOT,IN-BOUNDARY,11447617,9797754,9797754,0,0,2018,Hobsons Bay
ON FOOT,INBOUND,194672,571113,285556.5,0,0,2022,Hobsons Bay
ON FOOT,INBOUND,204178,626245,313122.5,0,0,2021,Hobsons Bay
ON FOOT,INBOUND,242417,752303,376151.5,0,0,2020,Hobsons Bay
ON FOOT,INBOUND,501939,1654403,827201.5,0,0,2019,Hobsons Bay
ON FOOT,INBOUND,476550,1431536,715768,0,0,2018,Hobsons Bay
ON FOOT,OUTBOUND,199729,599735,299867.5,0,0,2022,Hobsons Bay
ON FOOT,OUTBOUND,204056,631683,315841.5,0,0,2021,Hobsons Bay
ON FOOT,OUTBOUND,243987,792416,396208,0,0,2020,Hobsons Bay
ON FOOT,OUTBOUND,550083,1905656,952828,0,0,2019,Hobsons Bay
ON FOOT,OUTBOUND,512735,1630618,815309,0,0,2018,Hobsons Bay
ON FOOT,TOTAL,11887511,12247714,12247714,0,0,2023,Hobsons Bay
ON FOOT,TOTAL,11997281,13672573,13087149,0,0,2022,Hobsons Bay
ON FOOT,TOTAL,12234761,14799962,14170998,0,0,2021,Hobsons Bay
ON FOOT,TOTAL,11643575,14876814,14104454.5,0,0,2020,Hobsons Bay
