mode,travel_bounds,trips,full_distance_km,gpc_distance_km,full_co2e_tons,gpc_co2e_tons,year,lga
AUTOMOBILE,IN-BOUNDARY,78576672,445946573,445946573,134449.4548,134449.4548,2023,Hume
AUTOMOBILE,IN-BOUNDARY,78510312,447135934,447135934,134808.038,134808.038,2022,Hume
AUTOMOBILE,IN-BOUNDARY,72665564,382227031,382227031,115238.504,115238.504,2021,Hume
AUTOMOBILE,IN-BOUNDARY,63110733,315175593,315175593,95023.0122,95023.0122,2020,Hume
AUTOMOBILE,IN-BOUNDARY,76012708,492417962,492417962,148460.2205,148460.2205,2019,Hume
AUTOMOBILE,IN-BOUNDARY,69831167,511140528,511140528,154104.944,154104.944,2018,Hume
AUTOMOBILE,INBOUND,47773836,1251979048,625989524,377462.0339,188731.017,2023,Hume
AUTOMOBILE,INBOUND,46645801,1212949149,606474574.5,365694.8202,182847.4101,2022,Hume
AUTOMOBILE,INBOUND,37719511,905673792,452836896,273053.6682,136526.8341,2021,Hume
AUTOMOBILE,INBOUND,33088663,748852783,374426391.5,225773.3426,112886.6713,2020,Hume
AUTOMOBILE,INBOUND,47628224,1294706993,647353496.5,390344.18,195172.09,2019,Hume
AUTOMOBILE,INBOUND,45494603,1278549583,639274791.5,385472.881,192736.4405,2018,Hume
AUTOMOBILE,OUTBOUND,47515120,1264720457,632360228.5,381303.4705,190651.7353,2023,Hume
AUTOMOBILE,OUTBOUND,46262901,1222829847,611414923.5,368673.7745,184336.8872,2022,Hume
AUTOMOBILE,OUTBOUND,37636254,911727906,455863953,274878.9369,137439.4685,2021,Hume
AUTOMOBILE,OUTBOUND,32960077,753467069,376733534.5,227164.5143,113582.2571,2020,Hume
AUTOMOBILE,OUTBOUND,46622683,1289856658,644928329,388881.8414,194440.9207,2019,Hume
AUTOMOBILE,OUTBOUND,43992919,1262285995,631142997.5,380569.5341,190284.7671,2018,Hume
AUTOMOBILE,TOTAL,173865628,2962646078,1704296326,893214.9593,513832.2071,2023,Hume
AUTOMOBILE,TOTAL,171419014,2882914930,1665025432,869176.6326,501992.3353,2022,Hume
AUTOMOBILE,TOTAL,148021329,2199628729,1290927880,663171.1092,389204.8066,2021,Hume
AUTOMOBILE,TOTAL,129159473,1817495445,1066335519,547960.8692,321491.9407,2020,Hume
AUTOMOBILE,TOTAL,170263615,3076981613,1784699788,927686.2419,538073.2312,2019,Hume
AUTOMOBILE,TOTAL,159318689,3051976106,1781558317,920147.3592,537126.1516,2018,Hume
BUS,IN-BOUNDARY,1209355,6181291,6181291,4698.5343,4698.5343,2023,Hume
BUS,IN-BOUNDARY,937371,4870726,4870726,3702.3452,3702.3452,2022,Hume
BUS,IN-BOUNDARY,640199,3285144,3285144,2497.1097,2497.1097,2021,Hume
BUS,IN-BOUNDARY,775775,4042550,4042550,3072.8305,3072.8305,2020,Hume
BUS,IN-BOUNDARY,831752,4204005,4204005,3195.556,3195.556,2019,Hume
BUS,IN-BOUNDARY,570865,2885423,2885423,2193.273,2193.273,2018,Hume
BUS,INBOUND,559186,10912495,5456247.5,8294.8258,4147.4129,2023,Hume
BUS,INBOUND,441097,8498030,4249015,6459.5382,3229.7691,2022,Hume
BUS,INBOUND,218481,3403888,1701944,2587.3696,1293.6848,2021,Hume
BUS,INBOUND,343570,6163376,3081688,4684.9167,2342.4584,2020,Hume
BUS,INBOUND,699934,15973542,7986771,12141.8382,6070.9191,2019,Hume
BUS,INBOUND,456285,10233042,5116521,7778.358,3889.179,2018,Hume
BUS,OUTBOUND,529191,9660961,4830480.5,7343.5075,3671.7537,2023,Hume
BUS,OUTBOUND,421594,7919504,3959752,6019.788,3009.894,2022,Hume
BUS,OUTBOUND,200319,3156943,1578471.5,2399.6613,1199.8307,2021,Hume
BUS,OUTBOUND,320689,5778586,2889293,4392.4294,2196.2147,2020,Hume
BUS,OUTBOUND,669642,15077007,7538503.5,11460.3623,5730.1812,2019,Hume
BUS,OUTBOUND,527963,11773091,5886545.5,8948.9828,4474.4914,2018,Hume
BUS,TOTAL,2297732,26754747,16468019,20336.8675,12517.7009,2023,Hume
BUS,TOTAL,1800062,21288260,13079493,16181.6714,9942.0083,2022,Hume
BUS,TOTAL,1058999,9845975,6565559.5,7484.1406,4990.6252,2021,Hume
BUS,TOTAL,1440034,15984512,10013531,12150.1767,7611.5036,2020,Hume
BUS,TOTAL,2201328,35254554,19729279.5,26797.7565,14996.6563,2019,Hume
BUS,TOTAL,1555113,24891556,13888489.5,18920.6139,10556.9435,2018,Hume
CYCLING,IN-BOUNDARY,809993,2189734,2189734,0,0,2023,Hume
CYCLING,IN-BOUNDARY,701448,2084720,2084720,0,0,2022,Hume
CYCLING,IN-BOUNDARY,741590,2341317,2341317,0,0,2021,Hume
CYCLING,IN-BOUNDARY,751406,2252537,2252537,0,0,2020,Hume
CYCLING,IN-BOUNDARY,851401,2044795,2044795,0,0,2019,Hume
CYCLING,IN-BOUNDARY,824577,2119337,2119337,0,0,2018,Hume
CYCLING,TOTAL,809993,2189734,2189734,0,0,2023,Hume
CYCLING,TOTAL,701448,2084720,2084720,0,0,2022,Hume
CYCLING,TOTAL,741590,2341317,2341317,0,0,2021,Hume
CYCLING,TOTAL,751406,2252537,2252537,0,0,2020,Hume
CYCLING,TOTAL,851401,2044795,2044795,0,0,2019,Hume
CYCLING,TOTAL,824577,2119337,2119337,0,0,2018,Hume
MOTORCYCLE,INBOUND,294755,7263614,3631807,1367.2685,683.6343,2020,Hume
MOTORCYCLE,INBOUND,502705,14666345,7333172.5,2760.7238,1380.3619,2019,Hume
MOTORCYCLE,INBOUND,336106,10925849,5462924.5,2056.6299,1028.3149,2018,Hume
MOTORCYCLE,OUTBOUND,297278,7337637,3668818.5,1381.2023,690.6011,2020,Hume
MOTORCYCLE,OUTBOUND,506913,14841907,7420953.5,2793.7707,1396.8854,2019,Hume
MOTORCYCLE,OUTBOUND,340891,11054466,5527233,2080.841,1040.4205,2018,Hume
MOTORCYCLE,TOTAL,592033,14601251,7300625.5,2748.4708,1374.2354,2020,Hume
MOTORCYCLE,TOTAL,1009618,29508252,14754126,5554.4945,2777.2472,2019,Hume
MOTORCYCLE,TOTAL,676997,21980315,10990157.5,4137.4709,2068.7354,2018,Hume
ON FOOT,IN-BOUNDARY,10227741,11094867,11094867,0,0,2023,Hume
ON FOOT,IN-BOUNDARY,9720519,11263477,11263477,0,0,2022,Hume
ON FOOT,IN-BOUNDARY,10392125,13285955,13285955,0,0,2021,Hume
ON FOOT,IN-BOUNDARY,11030397,14289790,14289790,0,0,2020,Hume
ON FOOT,IN-BOUNDARY,17389735,14296724,14296724,0,0,2019,Hume
ON FOOT,IN-BOUNDARY,17305843,14004591,14004591,0,0,2018,Hume
ON FOOT,INBOUND,162621,477778,238889,0,0,2020,Hume
ON FOOT,INBOUND,349243,1470521,735260.5,0,0,2019,Hume
ON FOOT,INBOUND,352756,1198831,599415.5,0,0,2018,Hume
ON FOOT,OUTBOUND,178638,482749,241374.5,0,0,2020,Hume
ON FOOT,OUTBOUND,350210,1311734,655867,0,0,2019,Hume
ON FOOT,OUTBOUND,338194,1028803,514401.5,0,0,2018,Hume
ON FOOT,TOTAL,10227741,11094867,11094867,0,0,2023,Hume
ON FOOT,TOTAL,9720519,11263477,11263477,0,0,2022,Hume
ON FOOT,TOTAL,10392125,13285955,13285955,0,0,2021,Hume
ON FOOT,TOTAL,11371656,15250317,14770053.5,0,0,2020,Hume
ON FOOT,TOTAL,18089188,17078979,15687851.5,0,0,2019,Hume
ON FOOT,TOTAL,17996793,16232225,15118408,0,0,2018,Hume
RAIL,INBOUND,2547604,64532238,32266119,0,0,2023,Hume
RAIL,INBOUND,1915039,46498808,23249404,0,0,2022,Hume
RAIL,INBOUND,1369468,32977859,16488929.5,0,0,2021,Hume
