mode,travel_bounds,trips,full_distance_km,gpc_distance_km,full_co2e_tons,gpc_co2e_tons,year,lga
AUTOMOBILE,IN-BOUNDARY,54520398,220537009,220537009,66490.2085,66490.2085,2023,Knox
AUTOMOBILE,IN-BOUNDARY,54333881,222043933,222043933,66944.5345,66944.5345,2022,Knox
AUTOMOBILE,IN-BOUNDARY,52276421,206300493,206300493,62198.0087,62198.0087,2021,Knox
AUTOMOBILE,IN-BOUNDARY,46213619,175190368,175190368,52818.5458,52818.5458,2020,Knox
AUTOMOBILE,IN-BOUNDARY,54499282,257981835,257981835,77779.535,77779.535,2019,Knox
AUTOMOBILE,IN-BOUNDARY,48691395,266238322,266238322,80268.8096,80268.8096,2018,Knox
AUTOMOBILE,INBOUND,43907611,808484172,404242086,243751.7468,121875.8734,2023,Knox
AUTOMOBILE,INBOUND,43579745,804936599,402468299.5,242682.1809,121341.0905,2022,Knox
AUTOMOBILE,INBOUND,38581960,691904427,345952213.5,208603.8522,104301.9261,2021,Knox
AUTOMOBILE,INBOUND,32973257,564610822,282305411,170225.8114,85112.9057,2020,Knox
AUTOMOBILE,INBOUND,43327456,848036201,424018100.5,255676.3787,127838.1894,2019,Knox
AUTOMOBILE,INBOUND,39893781,811465954,405732977,244650.7537,122325.3769,2018,Knox
AUTOMOBILE,OUTBOUND,43870332,807765542,403882771,243535.0854,121767.5427,2023,Knox
AUTOMOBILE,OUTBOUND,43553871,804613726,402306863,242584.8372,121292.4186,2022,Knox
AUTOMOBILE,OUTBOUND,38598743,693534986,346767493,209095.4532,104547.7266,2021,Knox
AUTOMOBILE,OUTBOUND,32935552,564174313,282087156.5,170094.2073,85047.1036,2020,Knox
AUTOMOBILE,OUTBOUND,43306768,847303939,423651969.5,255455.6074,127727.8037,2019,Knox
AUTOMOBILE,OUTBOUND,39874961,809977036,404988518,244201.8564,122100.9282,2018,Knox
AUTOMOBILE,TOTAL,142298341,1836786723,1028661866,553777.0408,310133.6247,2023,Knox
AUTOMOBILE,TOTAL,141467497,1831594258,1026819096,552211.5526,309578.0436,2022,Knox
