mode,travel_bounds,trips,full_distance_km,gpc_distance_km,full_co2e_tons,gpc_co2e_tons,year,lga
AUTOMOBILE,IN-BOUNDARY,33591228,125451238,125451238,37822.5814,37822.5814,2023,Manningham
AUTOMOBILE,IN-BOUNDARY,33475679,126848679,126848679,38243.8991,38243.8991,2022,Manningham
AUTOMOBILE,IN-BOUNDARY,31316472,115590015,115590015,34849.4987,34849.4987,2021,Manningham
AUTOMOBILE,IN-BOUNDARY,27431476,97172449,97172449,29296.7445,29296.7445,2020,Manningham
AUTOMOBILE,IN-BOUNDARY,32533881,145185762,145185762,43772.3883,43772.3883,2019,Manningham
AUTOMOBILE,IN-BOUNDARY,29464142,154413223,154413223,46554.401,46554.401,2018,Manningham
AUTOMOBILE,INBOUND,33079097,514601692,257300846,155148.4441,77574.222,2023,Manningham
AUTOMOBILE,INBOUND,32976288,514203638,257101819,155028.4339,77514.2169,2022,Manningham
AUTOMOBILE,INBOUND,29174168,437427036,218713518,131880.8801,65940.44,2021,Manningham
AUTOMOBILE,INBOUND,24521571,352401842,176200921,106246.4394,53123.2197,2020,Manningham
AUTOMOBILE,INBOUND,33190686,553148324,276574162,166769.9565,83384.9783,2019,Manningham
AUTOMOBILE,INBOUND,31077037,538214244,269107122,162267.4615,81133.7308,2018,Manningham
AUTOMOBILE,OUTBOUND,33040393,511910144,255955072,154336.9631,77168.4816,2023,Manningham
AUTOMOBILE,OUTBOUND,33003834,512184676,256092338,154419.7324,77209.8662,2022,Manningham
AUTOMOBILE,OUTBOUND,29157118,436227193,218113596.5,131519.1367,65759.5683,2021,Manningham
AUTOMOBILE,OUTBOUND,24446128,349216794,174608397,105286.172,52643.086,2020,Manningham
AUTOMOBILE,OUTBOUND,33076565,548742692,274371346,165441.6925,82720.8462,2019,Manningham
AUTOMOBILE,OUTBOUND,31019905,535124137,267562068.5,161335.818,80667.909,2018,Manningham
AUTOMOBILE,TOTAL,99710718,1151963074,638707156,347307.9886,192565.285,2023,Manningham
AUTOMOBILE,TOTAL,99455801,1153236993,640042836,347692.0653,192967.9822,2022,Manningham
