mode,travel_bounds,trips,full_distance_km,gpc_distance_km,full_co2e_tons,gpc_co2e_tons,year,lga
AUTOMOBILE,IN-BOUNDARY,20767934,63004142,63004142,18995.2632,18995.2632,2023,Maribyrnong
AUTOMOBILE,IN-BOUNDARY,21848855,68431940,68431940,20631.7025,20631.7025,2022,Maribyrnong
AUTOMOBILE,IN-BOUNDARY,20623321,63357004,63357004,19101.6484,19101.6484,2021,Maribyrnong
AUTOMOBILE,IN-BOUNDARY,18531151,55321864,55321864,16679.1156,16679.1156,2020,Maribyrnong
AUTOMOBILE,IN-BOUNDARY,21183930,76972434,76972434,23206.5956,23206.5956,2019,Maribyrnong
AUTOMOBILE,IN-BOUNDARY,18748573,80878550,80878550,24384.2617,24384.2617,2018,Maribyrnong
AUTOMOBILE,INBOUND,26742053,415820016,207910008,125366.5301,62683.265,2023,Maribyrnong
AUTOMOBILE,INBOUND,28457507,444581433,222290716.5,134037.8756,67018.9378,2022,Maribyrnong
AUTOMOBILE,INBOUND,25541099,380243336,190121668,114640.4353,57320.2176,2021,Maribyrnong
AUTOMOBILE,INBOUND,21672506,303404864,151702432,91474.2281,45737.1141,2020,Maribyrnong
AUTOMOBILE,INBOUND,27214510,439379683,219689841.5,132469.5881,66234.7941,2019,Maribyrnong
AUTOMOBILE,INBOUND,25146441,427432426,213716213,128867.5941,64433.797,2018,Maribyrnong
AUTOMOBILE,OUTBOUND,26687281,407958830,203979415,122996.4431,61498.2215,2023,Maribyrnong
AUTOMOBILE,OUTBOUND,28388607,434760402,217380201,131076.9105,65538.4552,2022,Maribyrnong
AUTOMOBILE,OUTBOUND,25536498,372469732,186234866,112296.7536,56148.3768,2021,Maribyrnong
AUTOMOBILE,OUTBOUND,21693671,299745485,149872742.5,90370.9536,45185.4768,2020,Maribyrnong
AUTOMOBILE,OUTBOUND,27219637,432945733,216472866.5,130529.8018,65264.9009,2019,Maribyrnong
AUTOMOBILE,OUTBOUND,25145080,421247475,210623737.5,127002.8789,63501.4394,2018,Maribyrnong
AUTOMOBILE,TOTAL,74197268,886782988,474893565,267358.2364,143176.7498,2023,Maribyrnong
AUTOMOBILE,TOTAL,78694969,947773775,508102857.5,285746.4886,153189.0956,2022,Maribyrnong
AUTOMOBILE,TOTAL,71700918,816070072,439713538,246038.8372,132570.2428,2021,Maribyrnong
AUTOMOBILE,TOTAL,61897328,658472213,356897038.5,198524.2973,107601.7065,2020,Maribyrnong
AUTOMOBILE,TOTAL,75618077,949297850,513135142,286205.9855,154706.2906,2019,Maribyrnong
AUTOMOBILE,TOTAL,69040094,929558451,505218500.5,280254.7347,152319.4982,2018,Maribyrnong
BUS,IN-BOUNDARY,994471,2940022,2940022,2234.7749,2234.7749,2023,Maribyrnong
BUS,IN-BOUNDARY,676262,2084784,2084784,1584.6899,1584.6899,2022,Maribyrnong
BUS,IN-BOUNDARY,492069,1600513,1600513,1216.5849,1216.5849,2021,Maribyrnong
BUS,IN-BOUNDARY,544861,1785789,1785789,1357.4172,1357.4172,2020,Maribyrnong
BUS,IN-BOUNDARY,747523,2485691,2485691,1889.428,1889.428,2019,Maribyrnong
BUS,IN-BOUNDARY,586828,1857821,1857821,1412.17,1412.17,2018,Maribyrnong
BUS,INBOUND,750340,5721282,2860641,4348.8714,2174.4357,2023,Maribyrnong
BUS,INBOUND,563799,4359894,2179947,3314.0507,1657.0253,2022,Maribyrnong
BUS,INBOUND,407233,3234377,1617188.5,2458.5206,1229.2603,2021,Maribyrnong
BUS,INBOUND,451514,3824729,1912364.5,2907.26,1453.63,2020,Maribyrnong
BUS,INBOUND,481837,4053778,2026889,3081.3649,1540.6825,2018,Maribyrnong
BUS,OUTBOUND,788811,6002549,3001274.5,4562.6686,2281.3343,2023,Maribyrnong
BUS,OUTBOUND,570583,4441682,2220841,3376.2195,1688.1097,2022,Maribyrnong
BUS,OUTBOUND,408021,3254475,1627237.5,2473.7975,1236.8988,2021,Maribyrnong
BUS,OUTBOUND,470317,4010098,2005049,3048.1631,1524.0815,2020,Maribyrnong
BUS,OUTBOUND,558295,4743362,2371681,3605.5331,1802.7665,2018,Maribyrnong
BUS,TOTAL,2533622,14663853,8801937.5,11146.3149,6690.5449,2023,Maribyrnong
BUS,TOTAL,1810644,10886360,6485572,8274.96,4929.8249,2022,Maribyrnong
BUS,TOTAL,1307323,8089365,4844939,6148.903,3682.744,2021,Maribyrnong
BUS,TOTAL,1466692,9620616,5703202.5,7312.8403,4335.1288,2020,Maribyrnong
BUS,TOTAL,747523,2485691,2485691,1889.428,1889.428,2019,Maribyrnong
BUS,TOTAL,1626960,10654961,6256391,8099.068,4755.619,2018,Maribyrnong
CYCLING,IN-BOUNDARY,1175096,3162654,3162654,0,0,2023,Maribyrnong
CYCLING,IN-BOUNDARY,1093058,3162308,3162308,0,0,2022,Maribyrnong
CYCLING,IN-BOUNDARY,1102350,3676541,3676541,0,0,2021,Maribyrnong
CYCLING,IN-BOUNDARY,1213044,3668618,3668618,0,0,2020,Maribyrnong
CYCLING,IN-BOUNDARY,1081582,2161548,2161548,0,0,2019,Maribyrnong
CYCLING,IN-BOUNDARY,978834,2060959,2060959,0,0,2018,Maribyrnong
CYCLING,INBOUND,483657,3873449,1936724.5,0,0,2023,Maribyrnong
CYCLING,INBOUND,414058,3345758,1672879,0,0,2022,Maribyrnong
CYCLING,INBOUND,425722,3350478,1675239,0,0,2021,Maribyrnong
CYCLING,INBOUND,427638,3268591,1634295.5,0,0,2020,Maribyrnong
CYCLING,INBOUND,539706,4059887,2029943.5,0,0,2019,Maribyrnong
CYCLING,INBOUND,524611,3872280,1936140,0,0,2018,Maribyrnong
CYCLING,OUTBOUND,484367,3871624,1935812,0,0,2023,Maribyrnong
CYCLING,OUTBOUND,416677,3395174,1697587,0,0,2022,Maribyrnong
CYCLING,OUTBOUND,425902,3383346,1691673,0,0,2021,Maribyrnong
CYCLING,OUTBOUND,432860,3343599,1671799.5,0,0,2020,Maribyrnong
CYCLING,OUTBOUND,542194,4091595,2045797.5,0,0,2019,Maribyrnong
CYCLING,OUTBOUND,525897,3878172,1939086,0,0,2018,Maribyrnong
CYCLING,TOTAL,2143120,10907727,7035190.5,0,0,2023,Maribyrnong
CYCLING,TOTAL,1923793,9903240,6532774,0,0,2022,Maribyrnong
CYCLING,TOTAL,1953974,10410365,7043453,0,0,2021,Maribyrnong
CYCLING,TOTAL,2073542,10280808,6974713,0,0,2020,Maribyrnong
CYCLING,TOTAL,2163482,10313030,6237289,0,0,2019,Maribyrnong
CYCLING,TOTAL,2029342,9811411,5936185,0,0,2018,Maribyrnong
MOTORCYCLE,INBOUND,268565,3821763,1910881.5,719.3907,359.6953,2021,Maribyrnong
