mode,travel_bounds,trips,full_distance_km,gpc_distance_km,full_co2e_tons,gpc_co2e_tons,year,lga
AUTOMOBILE,IN-BOUNDARY,33929355,125088270,125088270,37713.1493,37713.1493,2023,Maroondah
AUTOMOBILE,IN-BOUNDARY,34186591,128042551,128042551,38603.8423,38603.8423,2022,Maroondah
AUTOMOBILE,IN-BOUNDARY,32127264,116641472,116641472,35166.5048,35166.5048,2021,Maroondah
AUTOMOBILE,IN-BOUNDARY,28313500,99033383,99033383,29857.8017,29857.8017,2020,Maroondah
AUTOMOBILE,IN-BOUNDARY,33706447,147837838,147837838,44571.9688,44571.9688,2019,Maroondah
AUTOMOBILE,IN-BOUNDARY,30214916,156117133,156117133,47068.1167,47068.1167,2018,Maroondah
AUTOMOBILE,INBOUND,36775944,581197036,290598518,175226.427,87613.2135,2023,Maroondah
AUTOMOBILE,INBOUND,36658966,580446482,290223241,175000.1408,87500.0704,2022,Maroondah
AUTOMOBILE,INBOUND,32480782,494776929,247388464.5,149171.4308,74585.7154,2021,Maroondah
AUTOMOBILE,INBOUND,27603038,400931670,200465835,120877.8085,60438.9043,2020,Maroondah
AUTOMOBILE,INBOUND,35223302,595766899,297883449.5,179619.1284,89809.5642,2019,Maroondah
AUTOMOBILE,INBOUND,32405136,576864377,288432188.5,173920.1798,86960.0899,2018,Maroondah
AUTOMOBILE,OUTBOUND,36687689,576648275,288324137.5,173855.0107,86927.5053,2023,Maroondah
AUTOMOBILE,OUTBOUND,36541607,576004340,288002170,173660.8692,86830.4346,2022,Maroondah
AUTOMOBILE,OUTBOUND,32396112,491107845,245553922.5,148065.2303,74032.6151,2021,Maroondah
AUTOMOBILE,OUTBOUND,27553285,397626056,198813028,119881.1914,59940.5957,2020,Maroondah
AUTOMOBILE,OUTBOUND,35044240,591230098,295615049,178251.3179,89125.659,2019,Maroondah
AUTOMOBILE,OUTBOUND,32331094,573851427,286925713.5,173011.7985,86505.8993,2018,Maroondah
AUTOMOBILE,TOTAL,107392988,1282933581,704010925.5,386794.587,212253.8682,2023,Maroondah
AUTOMOBILE,TOTAL,107387164,1284493373,706267962,387264.8523,212934.3473,2022,Maroondah
AUTOMOBILE,TOTAL,97004158,1102526246,609583859,332403.166,183784.8354,2021,Maroondah
AUTOMOBILE,TOTAL,83469823,897591109,498312246,270616.8016,150237.3017,2020,Maroondah
AUTOMOBILE,TOTAL,103973989,1334834835,741336336.5,402442.4151,223507.1919,2019,Maroondah
AUTOMOBILE,TOTAL,94951146,1306832937,731475035,394000.0951,220534.1059,2018,Maroondah
BUS,IN-BOUNDARY,496331,2076312,2076312,1578.2501,1578.2501,2023,Maroondah
BUS,IN-BOUNDARY,425917,1859379,1859379,1413.3546,1413.3546,2022,Maroondah
BUS,IN-BOUNDARY,320057,1427063,1427063,1084.7418,1084.7418,2021,Maroondah
BUS,IN-BOUNDARY,338772,1439788,1439788,1094.4143,1094.4143,2019,Maroondah
BUS,IN-BOUNDARY,243204,1101830,1101830,837.525,837.525,2018,Maroondah
BUS,INBOUND,494324,6255191,3127595.5,4754.7073,2377.3536,2023,Maroondah
BUS,INBOUND,351683,4043464,2021732,3073.5253,1536.7626,2022,Maroondah
BUS,INBOUND,264629,3104189,1552094.5,2359.5619,1179.7809,2021,Maroondah
