mode,travel_bounds,trips,full_distance_km,gpc_distance_km,full_co2e_tons,gpc_co2e_tons,year,lga
AUTOMOBILE,IN-BOUNDARY,16788859,60503729,60503729,18241.408,18241.408,2023,Melbourne
AUTOMOBILE,IN-BOUNDARY,16839130,62212866,62212866,18756.6996,18756.6996,2022,Melbourne
AUTOMOBILE,IN-BOUNDARY,14680918,54630111,54630111,16470.5574,16470.5574,2021,Melbourne
AUTOMOBILE,IN-BOUNDARY,12789117,46935705,46935705,14150.7533,14150.7533,2020,Melbourne
AUTOMOBILE,IN-BOUNDARY,20359470,100290439,100290439,30236.7944,30236.7944,2019,Melbourne
AUTOMOBILE,IN-BOUNDARY,17772714,105476833,105476833,31800.4552,31800.4552,2018,Melbourne
AUTOMOBILE,INBOUND,38943833,832290631,416145315.5,250929.2107,125464.6054,2023,Melbourne
AUTOMOBILE,INBOUND,38975468,807510134,403755067,243458.0819,121729.0409,2022,Melbourne
AUTOMOBILE,INBOUND,34028836,642790552,321395276,193796.3974,96898.1987,2021,Melbourne
AUTOMOBILE,INBOUND,28258912,506839467,253419733.5,152808.1931,76404.0965,2020,Melbourne
AUTOMOBILE,INBOUND,42167451,926535092,463267546,279343.1894,139671.5947,2019,Melbourne
AUTOMOBILE,INBOUND,43028654,1000909772,500454886,301766.6101,150883.305,2018,Melbourne
AUTOMOBILE,OUTBOUND,39574235,817923024,408961512,246597.488,123298.744,2023,Melbourne
AUTOMOBILE,OUTBOUND,39471783,792210956,396105478,238845.4976,119422.7488,2022,Melbourne
AUTOMOBILE,OUTBOUND,34255628,633501052,316750526,190995.6848,95497.8424,2021,Melbourne
AUTOMOBILE,OUTBOUND,28913883,515241894,257620947,155341.46,77670.73,2020,Melbourne
AUTOMOBILE,OUTBOUND,44736412,974632304,487316152,293844.1281,146922.0641,2019,Melbourne
AUTOMOBILE,OUTBOUND,45834029,1052569945,526284972.5,317341.7555,158670.8778,2018,Melbourne
AUTOMOBILE,TOTAL,95306927,1710717384,885610556.5,515768.1067,267004.7573,2023,Melbourne
AUTOMOBILE,TOTAL,95286381,1661933956,862073411,501060.2791,259908.4894,2022,Melbourne
AUTOMOBILE,TOTAL,82965382,1330921715,692775913,401262.6396,208866.5985,2021,Melbourne
AUTOMOBILE,TOTAL,69961912,1069017066,557976385.5,322300.4064,168225.5799,2020,Melbourne
AUTOMOBILE,TOTAL,107263333,2001457835,1050874137,603424.1119,316830.4532,2019,Melbourne
AUTOMOBILE,TOTAL,106635397,2158956550,1132216692,650908.8208,341354.638,2018,Melbourne
BUS,IN-BOUNDARY,839039,2101863,2101863,1597.672,1597.672,2023,Melbourne
BUS,IN-BOUNDARY,781812,1893848,1893848,1439.5552,1439.5552,2022,Melbourne
BUS,IN-BOUNDARY,474110,1229631,1229631,934.6694,934.6694,2021,Melbourne
BUS,IN-BOUNDARY,403137,1254123,1254123,953.2863,953.2863,2020,Melbourne
BUS,IN-BOUNDARY,789143,2365348,2365348,1797.9527,1797.9527,2019,Melbourne
BUS,INBOUND,1261043,20149557,10074778.5,15316.1184,7658.0592,2022,Melbourne
BUS,INBOUND,769624,11547823,5773911.5,8777.7525,4388.8762,2021,Melbourne
BUS,INBOUND,971711,17588379,8794189.5,13369.311,6684.6555,2020,Melbourne
BUS,INBOUND,2060867,41102651,20551325.5,31243.0227,15621.5114,2019,Melbourne
BUS,INBOUND,1718850,31896772,15948386,24245.4331,12122.7165,2018,Melbourne
BUS,OUTBOUND,1160964,17355023,8677511.5,13191.932,6595.966,2022,Melbourne
BUS,OUTBOUND,753012,11278103,5639051.5,8572.7324,4286.3662,2021,Melbourne
BUS,OUTBOUND,903841,16574957,8287478.5,12598.9868,6299.4934,2020,Melbourne
BUS,OUTBOUND,1871542,38348135,19174067.5,29149.255,14574.6275,2019,Melbourne
BUS,OUTBOUND,1410945,27528671,13764335.5,20925.1441,10462.572,2018,Melbourne
BUS,TOTAL,839039,2101863,2101863,1597.672,1597.672,2023,Melbourne
BUS,TOTAL,3203819,39398428,20646138,29947.6056,15693.5804,2022,Melbourne
BUS,TOTAL,1996746,24055557,12642594,18285.1543,9609.9118,2021,Melbourne
BUS,TOTAL,2278689,35417459,18335791,26921.5841,13937.4352,2020,Melbourne
BUS,TOTAL,4721552,81816134,42090741,62190.2304,31994.0915,2019,Melbourne
BUS,TOTAL,3129795,59425443,29712721.5,45170.5771,22585.2886,2018,Melbourne
CYCLING,IN-BOUNDARY,4490327,13757711,13757711,0,0,2023,Melbourne
CYCLING,IN-BOUNDARY,3869440,11530186,11530186,0,0,2022,Melbourne
CYCLING,IN-BOUNDARY,4049128,11282622,11282622,0,0,2021,Melbourne
CYCLING,IN-BOUNDARY,4613866,10801212,10801212,0,0,2020,Melbourne
CYCLING,IN-BOUNDARY,5968740,12220350,12220350,0,0,2019,Melbourne
CYCLING,IN-BOUNDARY,4876692,11050246,11050246,0,0,2018,Melbourne
CYCLING,INBOUND,2567259,17281436,8640718,0,0,2023,Melbourne
CYCLING,INBOUND,2241646,14617924,7308962,0,0,2022,Melbourne
CYCLING,INBOUND,2267546,14006864,7003432,0,0,2021,Melbourne
CYCLING,INBOUND,2289626,13657183,6828591.5,0,0,2020,Melbourne
CYCLING,INBOUND,3671279,23262966,11631483,0,0,2019,Melbourne
CYCLING,INBOUND,3731716,23942913,11971456.5,0,0,2018,Melbourne
CYCLING,OUTBOUND,2542029,16891717,8445858.5,0,0,2023,Melbourne
CYCLING,OUTBOUND,2224511,14281866,7140933,0,0,2022,Melbourne
CYCLING,OUTBOUND,2236257,13708078,6854039,0,0,2021,Melbourne
CYCLING,OUTBOUND,2232415,13312392,6656196,0,0,2020,Melbourne
CYCLING,OUTBOUND,3635937,23041976,11520988,0,0,2019,Melbourne
CYCLING,OUTBOUND,3678641,23778259,11889129.5,0,0,2018,Melbourne
CYCLING,TOTAL,9599615,47930864,30844287.5,0,0,2023,Melbourne
CYCLING,TOTAL,8335597,40429976,25980081,0,0,2022,Melbourne
