mode,travel_bounds,trips,full_distance_km,gpc_distance_km,full_co2e_tons,gpc_co2e_tons,year,lga
AUTOMOBILE,IN-BOUNDARY,32465903,109420549,109420549.0,32989.4522,32989.4522,2023,Banyule
AUTOMOBILE,IN-BOUNDARY,32433477,111312573,111312573.0,33559.8829,33559.8829,2022,Banyule
AUTOMOBILE,IN-BOUNDARY,30796987,104006839,104006839.0,31357.2604,31357.2604,2021,Banyule
AUTOMOBILE,IN-BOUNDARY,26809789,88757698,88757698.0,26759.7619,26759.7619,2020,Banyule
AUTOMOBILE,IN-BOUNDARY,30945342,125267456,125267456.0,37767.1725,37767.1725,2019,Banyule
AUTOMOBILE,IN-BOUNDARY,27435971,131951611,131951611.0,39782.3974,39782.3974,2018,Banyule
AUTOMOBILE,INBOUND,36034697,541822809,270911404.5,163355.4011,81677.7005,2023,Banyule
AUTOMOBILE,INBOUND,36190125,543045186,271522593.0,163723.9383,81861.9692,2022,Banyule
AUTOMOBILE,INBOUND,32821342,473854951,236927475.5,142863.6157,71431.8079,2021,Banyule
AUTOMOBILE,INBOUND,28118574,381658977,190829488.5,115067.2401,57533.6201,2020,Banyule
AUTOMOBILE,INBOUND,35150779,551618874,275809437.0,166308.8392,83154.4196,2019,Banyule
AUTOMOBILE,INBOUND,32341793,531655807,265827903.5,160290.1431,80145.0716,2018,Banyule
AUTOMOBILE,OUTBOUND,35944088,533739941,266869970.5,160918.4787,80459.2393,2023,Banyule
AUTOMOBILE,OUTBOUND,36169211,536284904,268142452.0,161685.7654,80842.8827,2022,Banyule
AUTOMOBILE,OUTBOUND,32738360,466900735,233450367.5,140766.9732,70383.4866,2021,Banyule
AUTOMOBILE,OUTBOUND,27990597,376740442,188370221.0,113584.3397,56792.1699,2020,Banyule
AUTOMOBILE,OUTBOUND,35140972,546468984,273234492.0,164756.187,82378.0935,2019,Banyule
AUTOMOBILE,OUTBOUND,32323949,527479654,263739827.0,159031.0651,79515.5325,2018,Banyule
AUTOMOBILE,TOTAL,104444688,1184983299,647201924.0,357263.3319,195126.3921,2023,Banyule
AUTOMOBILE,TOTAL,104792813,1190642663,650977618.0,358969.5866,196264.7347,2022,Banyule
AUTOMOBILE,TOTAL,96356689,1044762525,574384682.0,314987.8493,173172.5548,2021,Banyule
AUTOMOBILE,TOTAL,82918960,847157117,467957407.5,255411.3417,141085.5518,2020,Banyule
AUTOMOBILE,TOTAL,101237093,1223355314,674311385.0,368832.1987,203299.6856,2019,Banyule
AUTOMOBILE,TOTAL,92101713,1191087072,661519341.5,359103.6056,199443.0015,2018,Banyule
BUS,IN-BOUNDARY,667149,2377965,2377965.0,1807.5431,1807.5431,2023,Banyule
BUS,IN-BOUNDARY,466885,1668517,1668517.0,1268.2762,1268.2762,2022,Banyule
BUS,IN-BOUNDARY,308648,1107285,1107285.0,841.6715,841.6715,2021,Banyule
BUS,IN-BOUNDARY,335825,1173491,1173491.0,891.9961,891.9961,2020,Banyule
BUS,IN-BOUNDARY,403785,1414599,1414599.0,1075.2676,1075.2676,2019,Banyule
BUS,IN-BOUNDARY,391673,1301684,1301684.0,989.438,989.438,2018,Banyule
BUS,INBOUND,755699,6677515,3338757.5,5075.725,2537.8625,2023,Banyule
BUS,INBOUND,605545,5381020,2690510.0,4090.2308,2045.1154,2022,Banyule
BUS,INBOUND,462974,4148512,2074256.0,3153.3746,1576.6873,2021,Banyule
BUS,INBOUND,511357,4564108,2282054.0,3469.2782,1734.6391,2020,Banyule
BUS,INBOUND,617298,6392039,3196019.5,4858.7285,2429.3642,2019,Banyule
BUS,INBOUND,569755,5483998,2741999.0,4168.5069,2084.2534,2018,Banyule
BUS,OUTBOUND,781715,7037577,3518788.5,5349.416,2674.708,2023,Banyule
BUS,OUTBOUND,629846,5694291,2847145.5,4328.355,2164.1775,2022,Banyule
BUS,OUTBOUND,478407,4374173,2187086.5,3324.9044,1662.4522,2021,Banyule
BUS,OUTBOUND,531852,4844288,2422144.0,3682.2491,1841.1246,2020,Banyule
BUS,OUTBOUND,651300,6830938,3415469.0,5192.3452,2596.1726,2019,Banyule
BUS,OUTBOUND,599346,5675319,2837659.5,4313.9339,2156.967,2018,Banyule
BUS,TOTAL,2204563,16093057,9235511.0,12232.6841,7020.1136,2023,Banyule
BUS,TOTAL,1702276,12743828,7206172.5,9686.862,5477.5691,2022,Banyule
BUS,TOTAL,1250029,9629970,5368627.5,7319.9505,4080.811,2021,Banyule
BUS,TOTAL,1379034,10581887,5877689.0,8043.5234,4467.7598,2020,Banyule
BUS,TOTAL,1672383,14637576,8026087.5,11126.3412,6100.8044,2019,Banyule
BUS,TOTAL,1560774,12461001,6881342.5,9471.8788,5230.6584,2018,Banyule
CYCLING,IN-BOUNDARY,873873,3055573,3055573.0,0.0,0.0,2023,Banyule
CYCLING,IN-BOUNDARY,830842,3129327,3129327.0,0.0,0.0,2022,Banyule
CYCLING,IN-BOUNDARY,931960,4026103,4026103.0,0.0,0.0,2021,Banyule
