mode,travel_bounds,trips,full_distance_km,gpc_distance_km,full_co2e_tons,gpc_co2e_tons,year,lga
AUTOMOBILE,IN-BOUNDARY,37629497,119384325,119384325,35993.4539,35993.4539,2023,Merri-Bek
AUTOMOBILE,IN-BOUNDARY,37993788,124130822,124130822,37424.4862,37424.4862,2022,Merri-Bek
AUTOMOBILE,IN-BOUNDARY,36165756,117849009,117849009,35530.5679,35530.5679,2021,Merri-Bek
AUTOMOBILE,IN-BOUNDARY,33064051,104675501,104675501,31558.8568,31558.8568,2020,Merri-Bek
AUTOMOBILE,IN-BOUNDARY,35023439,134313015,134313015,40494.3389,40494.3389,2019,Merri-Bek
AUTOMOBILE,IN-BOUNDARY,31187815,142566282,142566282,42982.6392,42982.6392,2018,Merri-Bek
AUTOMOBILE,INBOUND,38426117,581905573,290952786.5,175440.0455,87720.0227,2023,Merri-Bek
AUTOMOBILE,INBOUND,39546284,600696172,300348086,181105.2663,90552.6331,2022,Merri-Bek
AUTOMOBILE,INBOUND,35617352,516500709,258250354.5,155720.9831,77860.4915,2021,Merri-Bek
AUTOMOBILE,INBOUND,30635201,416385449,208192724.5,125537.0038,62768.5019,2020,Merri-Bek
AUTOMOBILE,INBOUND,37306550,592814530,296407265,178729.0119,89364.506,2019,Merri-Bek
AUTOMOBILE,INBOUND,34208343,566319305,283159652.5,170740.9216,85370.4608,2018,Merri-Bek
AUTOMOBILE,OUTBOUND,38338709,572285743,286142871.5,172539.7409,86269.8704,2023,Merri-Bek
AUTOMOBILE,OUTBOUND,39494329,592350123,296175061.5,178588.9968,89294.4984,2022,Merri-Bek
AUTOMOBILE,OUTBOUND,35566269,511232130,255616065,154132.5471,77066.2736,2021,Merri-Bek
AUTOMOBILE,OUTBOUND,30520505,410716114,205358057,123827.743,61913.8715,2020,Merri-Bek
AUTOMOBILE,OUTBOUND,36884566,579148615,289574307.5,174608.8439,87304.4219,2019,Merri-Bek
AUTOMOBILE,OUTBOUND,33777764,553477323,276738661.5,166869.1626,83434.5813,2018,Merri-Bek
AUTOMOBILE,TOTAL,114394323,1273575641,696479983,383973.2403,209983.3471,2023,Merri-Bek
AUTOMOBILE,TOTAL,117034401,1317177117,720653969.5,397118.7492,217271.6177,2022,Merri-Bek
AUTOMOBILE,TOTAL,107349377,1145581848,631715428.5,345384.0981,190457.333,2021,Merri-Bek
AUTOMOBILE,TOTAL,94219757,931777064,518226282.5,280923.6035,156241.2302,2020,Merri-Bek
AUTOMOBILE,TOTAL,109214555,1306276160,720294587.5,393832.1947,217163.2668,2019,Merri-Bek
AUTOMOBILE,TOTAL,99173922,1262362910,702464596,380592.7234,211787.6813,2018,Merri-Bek
BUS,IN-BOUNDARY,705557,2216843,2216843,1685.0708,1685.0708,2023,Merri-Bek
BUS,IN-BOUNDARY,528200,1772516,1772516,1347.3281,1347.3281,2022,Merri-Bek
BUS,IN-BOUNDARY,380085,1374582,1374582,1044.8498,1044.8498,2021,Merri-Bek
BUS,IN-BOUNDARY,470392,1695286,1695286,1288.6239,1288.6239,2020,Merri-Bek
BUS,IN-BOUNDARY,583278,2048507,2048507,1557.1149,1557.1149,2019,Merri-Bek
BUS,IN-BOUNDARY,397739,1439676,1439676,1094.33,1094.33,2018,Merri-Bek
BUS,INBOUND,614427,4325971,2162985.5,3288.265,1644.1325,2023,Merri-Bek
BUS,INBOUND,512279,3631420,1815710,2760.3217,1380.1608,2022,Merri-Bek
BUS,INBOUND,364446,2642965,1321482.5,2008.9754,1004.4877,2021,Merri-Bek
BUS,INBOUND,405852,3216407,1608203.5,2444.8612,1222.4306,2020,Merri-Bek
BUS,INBOUND,616873,4890825,2445412.5,3717.6229,1858.8115,2019,Merri-Bek
