mode,travel_bounds,trips,full_distance_km,gpc_distance_km,full_co2e_tons,gpc_co2e_tons,year,lga
AUTOMOBILE,IN-BOUNDARY,30320184,98437694,98437694,29678.2061,29678.2061,2023,Moonee Valley
AUTOMOBILE,IN-BOUNDARY,30991546,102788670,102788670,30989.9918,30989.9918,2022,Moonee Valley
AUTOMOBILE,IN-BOUNDARY,29110482,94928705,94928705,28620.2729,28620.2729,2021,Moonee Valley
AUTOMOBILE,IN-BOUNDARY,25682866,81139150,81139150,24462.8284,24462.8284,2020,Moonee Valley
AUTOMOBILE,IN-BOUNDARY,29232988,113558498,113558498,34237.0119,34237.0119,2019,Moonee Valley
AUTOMOBILE,IN-BOUNDARY,26641428,121412685,121412685,36604.9922,36604.9922,2018,Moonee Valley
AUTOMOBILE,INBOUND,37931559,570446970,285223485,171985.365,85992.6825,2023,Moonee Valley
AUTOMOBILE,INBOUND,39003576,587133338,293566669,177016.1763,88508.0882,2022,Moonee Valley
AUTOMOBILE,INBOUND,34062979,481992859,240996429.5,145317.1322,72658.5661,2021,Moonee Valley
AUTOMOBILE,INBOUND,28782058,381979786,190989893,115163.9615,57581.9808,2020,Moonee Valley
AUTOMOBILE,INBOUND,36611445,576536993,288268496.5,173821.46,86910.73,2019,Moonee Valley
AUTOMOBILE,INBOUND,33930723,555383345,277691672.5,167443.8136,83721.9068,2018,Moonee Valley
AUTOMOBILE,OUTBOUND,37810681,559642253,279821126.5,168727.8261,84363.913,2023,Moonee Valley
AUTOMOBILE,OUTBOUND,38945330,577508210,288754105,174114.2744,87057.1372,2022,Moonee Valley
AUTOMOBILE,OUTBOUND,33967284,475557469,237778734.5,143376.9118,71688.4559,2021,Moonee Valley
AUTOMOBILE,OUTBOUND,28717585,377461310,188730655,113801.6759,56900.8379,2020,Moonee Valley
AUTOMOBILE,OUTBOUND,36356215,563218921,281609460.5,169806.1639,84903.082,2019,Moonee Valley
AUTOMOBILE,OUTBOUND,33727199,545225085,272612542.5,164381.1762,82190.5881,2018,Moonee Valley
AUTOMOBILE,TOTAL,106062424,1228526917,663482305.5,370391.3972,200034.8016,2023,Moonee Valley
AUTOMOBILE,TOTAL,108940452,1267430218,685109444,382120.4426,206555.2172,2022,Moonee Valley
AUTOMOBILE,TOTAL,97140745,1052479033,573703869,317314.3169,172967.2949,2021,Moonee Valley
AUTOMOBILE,TOTAL,83182509,840580246,460859698,253428.4658,138945.6471,2020,Moonee Valley
AUTOMOBILE,TOTAL,102200648,1253314412,683436455,377864.6359,206050.8239,2019,Moonee Valley
AUTOMOBILE,TOTAL,94299350,1222021115,671716900,368429.982,202517.4871,2018,Moonee Valley
BUS,IN-BOUNDARY,558692,2122659,2122659,1613.4795,1613.4795,2023,Moonee Valley
BUS,IN-BOUNDARY,430700,1703858,1703858,1295.1397,1295.1397,2022,Moonee Valley
BUS,IN-BOUNDARY,299779,1244207,1244207,945.7489,945.7489,2021,Moonee Valley
BUS,IN-BOUNDARY,349836,1412928,1412928,1073.9974,1073.9974,2020,Moonee Valley
