mode,travel_bounds,trips,full_distance_km,gpc_distance_km,full_co2e_tons,gpc_co2e_tons,year,lga
AUTOMOBILE,IN-BOUNDARY,85095484,620605127,620605127,187107.6628,187107.6628,2023,Mornington Peninsula
AUTOMOBILE,IN-BOUNDARY,85034523,624717289,624717289,188347.4479,188347.4479,2022,Mornington Peninsula
AUTOMOBILE,IN-BOUNDARY,78589650,553333302,553333302,166825.726,166825.726,2021,Mornington Peninsula
AUTOMOBILE,IN-BOUNDARY,65913330,443969469,443969469,133853.3732,133853.3732,2020,Mornington Peninsula
AUTOMOBILE,IN-BOUNDARY,78433696,631818736,631818736,190488.4794,190488.4794,2019,Mornington Peninsula
AUTOMOBILE,IN-BOUNDARY,71153135,610182715,610182715,183965.4029,183965.4029,2018,Mornington Peninsula
AUTOMOBILE,INBOUND,24222431,942733411,471366705.5,284226.8577,142113.4289,2023,Mornington Peninsula
AUTOMOBILE,INBOUND,23924898,935119074,467559537,281931.1938,140965.5969,2022,Mornington Peninsula
AUTOMOBILE,INBOUND,20449971,771408628,385704314,232573.7561,116286.878,2021,Mornington Peninsula
AUTOMOBILE,INBOUND,16739954,600440443,300220221.5,181028.1659,90514.083,2020,Mornington Peninsula
AUTOMOBILE,INBOUND,22260029,895632661,447816330.5,270026.3446,135013.1723,2019,Mornington Peninsula
AUTOMOBILE,INBOUND,20998262,865605502,432802751,260973.4117,130486.7058,2018,Mornington Peninsula
AUTOMOBILE,OUTBOUND,24222127,945282418,472641209,284995.3637,142497.6818,2023,Mornington Peninsula
AUTOMOBILE,OUTBOUND,23852223,933033518,466516759,281302.4147,140651.2074,2022,Mornington Peninsula
AUTOMOBILE,OUTBOUND,20427370,770740841,385370420.5,232372.4234,116186.2117,2021,Mornington Peninsula
AUTOMOBILE,OUTBOUND,16780097,604214847,302107423.5,182166.1197,91083.0598,2020,Mornington Peninsula
AUTOMOBILE,OUTBOUND,22321033,899168330,449584165,271092.3216,135546.1608,2019,Mornington Peninsula
AUTOMOBILE,OUTBOUND,21038708,866426562,433213281,261220.955,130610.4775,2018,Mornington Peninsula
AUTOMOBILE,TOTAL,133540042,2508620956,1564613042,756329.8842,471718.7735,2023,Mornington Peninsula
AUTOMOBILE,TOTAL,132811644,2492869881,1558793585,751581.0565,469964.2522,2022,Mornington Peninsula
AUTOMOBILE,TOTAL,119466991,2095482771,1324408037,631771.9055,399298.8157,2021,Mornington Peninsula
AUTOMOBILE,TOTAL,99433381,1648624759,1046297114,497047.6588,315450.516,2020,Mornington Peninsula
AUTOMOBILE,TOTAL,123014758,2426619727,1529219232,731607.1456,461047.8125,2019,Mornington Peninsula
AUTOMOBILE,TOTAL,113190105,2342214779,1476198747,706159.7695,445062.5862,2018,Mornington Peninsula
CYCLING,IN-BOUNDARY,1358927,6703321,6703321,0,0,2023,Mornington Peninsula
CYCLING,IN-BOUNDARY,1355472,7087698,7087698,0,0,2022,Mornington Peninsula
CYCLING,IN-BOUNDARY,1572579,8098042,8098042,0,0,2021,Mornington Peninsula
CYCLING,IN-BOUNDARY,1591651,7920252,7920252,0,0,2020,Mornington Peninsula
CYCLING,IN-BOUNDARY,1622217,6299741,6299741,0,0,2019,Mornington Peninsula
CYCLING,IN-BOUNDARY,1313305,5303857,5303857,0,0,2018,Mornington Peninsula
CYCLING,TOTAL,1358927,6703321,6703321,0,0,2023,Mornington Peninsula
CYCLING,TOTAL,1355472,7087698,7087698,0,0,2022,Mornington Peninsula
CYCLING,TOTAL,1572579,8098042,8098042,0,0,2021,Mornington Peninsula
CYCLING,TOTAL,1591651,7920252,7920252,0,0,2020,Mornington Peninsula
CYCLING,TOTAL,1622217,6299741,6299741,0,0,2019,Mornington Peninsula
CYCLING,TOTAL,1313305,5303857,5303857,0,0,2018,Mornington Peninsula
