mode,travel_bounds,trips,full_distance_km,gpc_distance_km,full_co2e_tons,gpc_co2e_tons,year,lga
AUTOMOBILE,IN-BOUNDARY,16772352,73070564,73070564,22030.2119,22030.2119,2023,Nillumbik
AUTOMOBILE,IN-BOUNDARY,16685289,73844771,73844771,22263.6293,22263.6293,2022,Nillumbik
AUTOMOBILE,IN-BOUNDARY,15807862,67862600,67862600,20460.0509,20460.0509,2021,Nillumbik
AUTOMOBILE,IN-BOUNDARY,13887998,57902008,57902008,17457.0092,17457.0092,2020,Nillumbik
AUTOMOBILE,IN-BOUNDARY,15831809,80524015,80524015,24277.3699,24277.3699,2019,Nillumbik
AUTOMOBILE,IN-BOUNDARY,13823566,79921532,79921532,24095.7282,24095.7282,2018,Nillumbik
AUTOMOBILE,INBOUND,18168409,313590906,156795453,94545.2413,47272.6207,2023,Nillumbik
AUTOMOBILE,INBOUND,17964294,312135847,156067923.5,94106.5522,47053.2761,2022,Nillumbik
AUTOMOBILE,INBOUND,15848116,264396431,132198215.5,79713.4862,39856.7431,2021,Nillumbik
AUTOMOBILE,INBOUND,13423662,211160856,105580428,63663.3707,31831.6853,2020,Nillumbik
AUTOMOBILE,INBOUND,17248132,315835117,157917558.5,95221.8536,47610.9268,2019,Nillumbik
AUTOMOBILE,INBOUND,15841274,300726293,150363146.5,90666.668,45333.334,2018,Nillumbik
AUTOMOBILE,OUTBOUND,18204258,316583132,158291566,95447.3744,47723.6872,2023,Nillumbik
AUTOMOBILE,OUTBOUND,18005378,316477850,158238925,95415.6327,47707.8163,2022,Nillumbik
AUTOMOBILE,OUTBOUND,15880851,267182855,133591427.5,80553.5716,40276.7858,2021,Nillumbik
AUTOMOBILE,OUTBOUND,13442413,212522568,106261284,64073.9163,32036.9582,2020,Nillumbik
AUTOMOBILE,OUTBOUND,17031628,313338039,156669019.5,94469.0038,47234.5019,2019,Nillumbik
AUTOMOBILE,OUTBOUND,15667097,299415747,149707873.5,90271.5484,45135.7742,2018,Nillumbik
AUTOMOBILE,TOTAL,53145019,703244602,388157583,212022.8276,117026.5197,2023,Nillumbik
AUTOMOBILE,TOTAL,52654961,702458468,388151619.5,211785.8142,117024.7218,2022,Nillumbik
AUTOMOBILE,TOTAL,47536829,599441886,333652243,180727.1087,100593.5798,2021,Nillumbik
AUTOMOBILE,TOTAL,40754073,481585432,269743720,145194.2961,81325.6527,2020,Nillumbik
AUTOMOBILE,TOTAL,50111569,709697171,395110593,213968.2274,119122.7987,2019,Nillumbik
AUTOMOBILE,TOTAL,45331937,680063572,379992552,205033.9446,114564.8364,2018,Nillumbik
BUS,INBOUND,181990,2074285,1037142.5,1576.7093,788.3547,2023,Nillumbik
BUS,INBOUND,121826,1681270,840635,1277.97,638.985,2019,Nillumbik
BUS,INBOUND,88450,1095226,547613,832.505,416.2525,2018,Nillumbik
BUS,OUTBOUND,179486,2116167,1058083.5,1608.5448,804.2724,2023,Nillumbik
BUS,OUTBOUND,122336,1790129,895064.5,1360.7162,680.3581,2019,Nillumbik
BUS,OUTBOUND,91206,1144715,572357.5,870.123,435.0615,2018,Nillumbik
BUS,TOTAL,361476,4190452,2095226,3185.2541,1592.627,2023,Nillumbik
BUS,TOTAL,244162,3471399,1735699.5,2638.6862,1319.3431,2019,Nillumbik
BUS,TOTAL,179656,2239941,1119970.5,1702.628,851.314,2018,Nillumbik
CYCLING,IN-BOUNDARY,446529,2705852,2705852,0,0,2021,Nillumbik
CYCLING,IN-BOUNDARY,454841,2460229,2460229,0,0,2020,Nillumbik
CYCLING,IN-BOUNDARY,358089,1594146,1594146,0,0,2019,Nillumbik
CYCLING,IN-BOUNDARY,296196,1489944,1489944,0,0,2018,Nillumbik
CYCLING,INBOUND,132350,1724634,862317,0,0,2018,Nillumbik
CYCLING,OUTBOUND,130104,1647144,823572,0,0,2018,Nillumbik
CYCLING,TOTAL,446529,2705852,2705852,0,0,2021,Nillumbik
CYCLING,TOTAL,454841,2460229,2460229,0,0,2020,Nillumbik
CYCLING,TOTAL,358089,1594146,1594146,0,0,2019,Nillumbik
CYCLING,TOTAL,558650,4861722,3175833,0,0,2018,Nillumbik
MOTORCYCLE,INBOUND,90364,2753707,1376853.5,518.345,259.1725,2018,Nillumbik
MOTORCYCLE,OUTBOUND,98429,2976363,1488181.5,560.257,280.1285,2018,Nillumbik
MOTORCYCLE,TOTAL,188793,5730070,2865035,1078.602,539.301,2018,Nillumbik
ON FOOT,IN-BOUNDARY,4074018,5554914,5554914,0,0,2023,Nillumbik
ON FOOT,IN-BOUNDARY,4009943,5861311,5861311,0,0,2022,Nillumbik
ON FOOT,IN-BOUNDARY,4683805,7158458,7158458,0,0,2021,Nillumbik
ON FOOT,IN-BOUNDARY,4643887,7164012,7164012,0,0,2020,Nillumbik
ON FOOT,IN-BOUNDARY,4550152,4528956,4528956,0,0,2019,Nillumbik
ON FOOT,IN-BOUNDARY,4094204,4164825,4164825,0,0,2018,Nillumbik
ON FOOT,INBOUND,213078,433268,216634,0,0,2023,Nillumbik
ON FOOT,INBOUND,222971,470895,235447.5,0,0,2022,Nillumbik
ON FOOT,INBOUND,298487,646242,323121,0,0,2021,Nillumbik
ON FOOT,INBOUND,312861,687864,343932,0,0,2020,Nillumbik
ON FOOT,INBOUND,305716,654122,327061,0,0,2019,Nillumbik
ON FOOT,INBOUND,299109,600261,300130.5,0,0,2018,Nillumbik
ON FOOT,OUTBOUND,216812,456378,228189,0,0,2023,Nillumbik
ON FOOT,OUTBOUND,228804,487643,243821.5,0,0,2022,Nillumbik
ON FOOT,OUTBOUND,306423,664981,332490.5,0,0,2021,Nillumbik
ON FOOT,OUTBOUND,314243,690959,345479.5,0,0,2020,Nillumbik
ON FOOT,OUTBOUND,302742,690971,345485.5,0,0,2019,Nillumbik
ON FOOT,OUTBOUND,298626,611830,305915,0,0,2018,Nillumbik
ON FOOT,TOTAL,4503908,6444560,5999737,0,0,2023,Nillumbik
ON FOOT,TOTAL,4461718,6819849,6340580,0,0,2022,Nillumbik
ON FOOT,TOTAL,5288715,8469681,7814069.5,0,0,2021,Nillumbik
ON FOOT,TOTAL,5270991,8542835,7853423.5,0,0,2020,Nillumbik
ON FOOT,TOTAL,5158610,5874049,5201502.5,0,0,2019,Nillumbik
ON FOOT,TOTAL,4691939,5376916,4770870.5,0,0,2018,Nillumbik
RAIL,IN-BOUNDARY,106577,981936,981936,0,0,2018,Nillumbik
RAIL,INBOUND,474963,10207695,5103847.5,0,0,2022,Nillumbik
RAIL,INBOUND,1058889,27781235,13890617.5,0,0,2019,Nillumbik
RAIL,INBOUND,808313,20837616,10418808,0,0,2018,Nillumbik
RAIL,OUTBOUND,503509,11084061,5542030.5,0,0,2022,Nillumbik
RAIL,OUTBOUND,1106673,28606640,14303320,0,0,2019,Nillumbik
RAIL,OUTBOUND,865443,22270309,11135154.5,0,0,2018,Nillumbik
RAIL,TOTAL,978472,21291756,10645878,0,0,2022,Nillumbik
RAIL,TOTAL,2165562,56387875,28193937.5,0,0,2019,Nillumbik
RAIL,TOTAL,1780333,44089861,22535898.5,0,0,2018,Nillumbik
