mode,travel_bounds,trips,full_distance_km,gpc_distance_km,full_co2e_tons,gpc_co2e_tons,year,lga
AUTOMOBILE,IN-BOUNDARY,18889385,53924286,53924286,16257.7566,16257.7566,2023,Port Phillip
AUTOMOBILE,IN-BOUNDARY,20159584,59220142,59220142,17854.4164,17854.4164,2022,Port Phillip
AUTOMOBILE,IN-BOUNDARY,19368323,56556071,56556071,17051.2195,17051.2195,2021,Port Phillip
AUTOMOBILE,IN-BOUNDARY,16927348,49110597,49110597,14806.4665,14806.4665,2020,Port Phillip
AUTOMOBILE,IN-BOUNDARY,19254537,68854902,68854902,20759.2223,20759.2223,2019,Port Phillip
AUTOMOBILE,IN-BOUNDARY,16996403,69875085,69875085,21066.8015,21066.8015,2018,Port Phillip
AUTOMOBILE,INBOUND,31546068,511429553,255714776.5,154192.0686,77096.0343,2023,Port Phillip
AUTOMOBILE,INBOUND,33893113,550046219,275023109.5,165834.6958,82917.3479,2022,Port Phillip
AUTOMOBILE,INBOUND,30317687,464286526,232143263,139978.8093,69989.4047,2021,Port Phillip
AUTOMOBILE,INBOUND,25341617,366377731,183188865.5,110460.0622,55230.0311,2020,Port Phillip
AUTOMOBILE,INBOUND,32809548,565702636,282851318,170554.9849,85277.4924,2019,Port Phillip
AUTOMOBILE,INBOUND,29882035,544134943,272067471.5,164052.5068,82026.2534,2018,Port Phillip
AUTOMOBILE,OUTBOUND,31512956,501597253,250798626.5,151227.7059,75613.853,2023,Port Phillip
AUTOMOBILE,OUTBOUND,33806848,536792457,268396228.5,161838.7887,80919.3944,2022,Port Phillip
AUTOMOBILE,OUTBOUND,30311294,457868572,228934286,138043.8456,69021.9228,2021,Port Phillip
AUTOMOBILE,OUTBOUND,25489367,368143749,184071874.5,110992.503,55496.2515,2020,Port Phillip
AUTOMOBILE,OUTBOUND,33021472,568405724,284202862,171369.9451,85684.9725,2019,Port Phillip
AUTOMOBILE,OUTBOUND,30004805,542201044,271100522,163469.4511,81734.7255,2018,Port Phillip
AUTOMOBILE,TOTAL,81948409,1066951092,560437689,321677.5312,168967.6439,2023,Port Phillip
AUTOMOBILE,TOTAL,87859545,1146058818,602639480,345527.9009,181691.1587,2022,Port Phillip
AUTOMOBILE,TOTAL,79997304,978711169,517633620,295073.8745,156062.547,2021,Port Phillip
