mode,travel_bounds,trips,full_distance_km,gpc_distance_km,full_co2e_tons,gpc_co2e_tons,year,lga
AUTOMOBILE,IN-BOUNDARY,17892906,56909209,56909209,17157.6879,17157.6879,2023,Stonnington
AUTOMOBILE,IN-BOUNDARY,18761430,61420725,61420725,18517.8752,18517.8752,2022,Stonnington
AUTOMOBILE,IN-BOUNDARY,18524499,59939765,59939765,18071.3772,18071.3772,2021,Stonnington
AUTOMOBILE,IN-BOUNDARY,16872949,53232380,53232380,16049.1523,16049.1523,2020,Stonnington
AUTOMOBILE,IN-BOUNDARY,18280430,70951864,70951864,21391.4402,21391.4402,2019,Stonnington
AUTOMOBILE,IN-BOUNDARY,16219033,72483951,72483951,21853.3546,21853.3546,2018,Stonnington
AUTOMOBILE,INBOUND,42569042,615847665,307923832.5,185673.3246,92836.6623,2023,Stonnington
AUTOMOBILE,INBOUND,44736572,639467871,319733935.5,192794.6347,96397.3173,2022,Stonnington
AUTOMOBILE,INBOUND,39979662,544450232,272225116,164147.5488,82073.7744,2021,Stonnington
AUTOMOBILE,INBOUND,33906537,436125328,218062664,131488.4252,65744.2126,2020,Stonnington
AUTOMOBILE,INBOUND,42053343,632779489,316389744.5,190778.1391,95389.0695,2019,Stonnington
AUTOMOBILE,INBOUND,38015105,590887529,295443764.5,178148.0524,89074.0262,2018,Stonnington
AUTOMOBILE,OUTBOUND,42482656,606926895,303463447.5,182983.7812,91491.8906,2023,Stonnington
AUTOMOBILE,OUTBOUND,44841071,633540000,316770000,191007.4273,95503.7136,2022,Stonnington
AUTOMOBILE,OUTBOUND,39971674,539456015,269728007.5,162641.8309,81320.9155,2021,Stonnington
AUTOMOBILE,OUTBOUND,33878771,434281547,217140773.5,130932.5394,65466.2697,2020,Stonnington
AUTOMOBILE,OUTBOUND,42322320,635924956,317962478,191726.4731,95863.2366,2019,Stonnington
AUTOMOBILE,OUTBOUND,38226170,591399823,295699911.5,178302.5052,89151.2526,2018,Stonnington
AUTOMOBILE,TOTAL,102944604,1279683769,668296489,385814.7938,201486.2408,2023,Stonnington
AUTOMOBILE,TOTAL,108339073,1334428596,697924660.5,402319.9372,210418.9062,2022,Stonnington
AUTOMOBILE,TOTAL,98475835,1143846012,601892888.5,344860.7569,181466.0671,2021,Stonnington
AUTOMOBILE,TOTAL,84658257,923639255,488435817.5,278470.1169,147259.6346,2020,Stonnington
AUTOMOBILE,TOTAL,102656093,1339656309,705304086.5,403896.0524,212643.7463,2019,Stonnington
AUTOMOBILE,TOTAL,92460308,1254771303,663627627,378303.9122,200078.6334,2018,Stonnington
BUS,IN-BOUNDARY,219871,650338,650338,494.3361,494.3361,2023,Stonnington
BUS,INBOUND,1141628,7496259,3748129.5,5698.0702,2849.0351,2023,Stonnington
BUS,INBOUND,922292,5877593,2938796.5,4467.6868,2233.8434,2022,Stonnington
BUS,INBOUND,610416,4068287,2034143.5,3092.3938,1546.1969,2021,Stonnington
BUS,INBOUND,656305,4588360,2294180,3487.7127,1743.8563,2020,Stonnington
BUS,INBOUND,1161177,8539790,4269895,6491.2809,3245.6404,2019,Stonnington
BUS,INBOUND,931601,6540829,3270414.5,4971.827,2485.9135,2018,Stonnington
BUS,OUTBOUND,1214833,7775266,3887633,5910.1495,2955.0748,2023,Stonnington
BUS,OUTBOUND,975695,6061917,3030958.5,4607.7955,2303.8978,2022,Stonnington
BUS,OUTBOUND,612817,3970967,1985483.5,3018.4187,1509.2094,2021,Stonnington
BUS,OUTBOUND,656999,4467432,2233716,3395.7926,1697.8963,2020,Stonnington
BUS,OUTBOUND,1090894,7726973,3863486.5,5873.4409,2936.7205,2019,Stonnington
BUS,OUTBOUND,835657,5740942,2870471,4363.815,2181.9075,2018,Stonnington
BUS,TOTAL,2576332,15921863,8286100.5,12102.5558,6298.446,2023,Stonnington
BUS,TOTAL,1897987,11939510,5969755,9075.4823,4537.7412,2022,Stonnington
BUS,TOTAL,1223233,8039254,4019627,6110.8126,3055.4063,2021,Stonnington
BUS,TOTAL,1313304,9055792,4527896,6883.5053,3441.7526,2020,Stonnington
BUS,TOTAL,2252071,16266763,8133381.5,12364.7218,6182.3609,2019,Stonnington
BUS,TOTAL,1767258,12281771,6140885.5,9335.642,4667.821,2018,Stonnington
CYCLING,IN-BOUNDARY,1533343,5498439,5498439,0,0,2023,Stonnington
CYCLING,IN-BOUNDARY,1439956,5132170,5132170,0,0,2022,Stonnington
CYCLING,IN-BOUNDARY,1843569,6535750,6535750,0,0,2021,Stonnington
CYCLING,IN-BOUNDARY,2940597,8768893,8768893,0,0,2020,Stonnington
CYCLING,IN-BOUNDARY,2005494,4563333,4563333,0,0,2019,Stonnington
CYCLING,IN-BOUNDARY,1563444,3830075,3830075,0,0,2018,Stonnington
CYCLING,INBOUND,1483067,8754021,4377010.5,0,0,2023,Stonnington
CYCLING,INBOUND,1383290,7901386,3950693,0,0,2022,Stonnington
CYCLING,INBOUND,1561219,8674349,4337174.5,0,0,2021,Stonnington
CYCLING,INBOUND,1721842,9025208,4512604,0,0,2020,Stonnington
CYCLING,INBOUND,1796494,9365097,4682548.5,0,0,2019,Stonnington
CYCLING,INBOUND,1569994,8467683,4233841.5,0,0,2018,Stonnington
CYCLING,OUTBOUND,1483250,8991305,4495652.5,0,0,2023,Stonnington
CYCLING,OUTBOUND,1378009,8043499,4021749.5,0,0,2022,Stonnington
CYCLING,OUTBOUND,1555436,8821077,4410538.5,0,0,2021,Stonnington
CYCLING,OUTBOUND,1734754,9262595,4631297.5,0,0,2020,Stonnington
CYCLING,OUTBOUND,1813706,9503679,4751839.5,0,0,2019,Stonnington
CYCLING,OUTBOUND,1587873,8561968,4280984,0,0,2018,Stonnington
CYCLING,TOTAL,4499660,23243765,14371102,0,0,2023,Stonnington
CYCLING,TOTAL,4201255,21077055,13104612.5,0,0,2022,Stonnington
CYCLING,TOTAL,4960224,24031176,15283463,0,0,2021,Stonnington
CYCLING,TOTAL,6397193,27056696,17912794.5,0,0,2020,Stonnington
CYCLING,TOTAL,5615694,23432109,13997721,0,0,2019,Stonnington
CYCLING,TOTAL,4721311,20859726,12344900.5,0,0,2018,Stonnington
MOTORCYCLE,INBOUND,708789,7553119,3776559.5,1421.7636,710.8818,2021,Stonnington
MOTORCYCLE,INBOUND,1153231,10064907,5032453.5,1894.5707,947.2854,2020,Stonnington
MOTORCYCLE,INBOUND,939811,10244805,5122402.5,1928.4339,964.2169,2019,Stonnington
MOTORCYCLE,OUTBOUND,715223,7682526,3841263,1446.1225,723.0613,2021,Stonnington
MOTORCYCLE,OUTBOUND,1156453,10119749,5059874.5,1904.8939,952.447,2020,Stonnington
MOTORCYCLE,OUTBOUND,941122,10115468,5057734,1904.0881,952.044,2019,Stonnington
MOTORCYCLE,TOTAL,1424012,15235645,7617822.5,2867.8861,1433.9431,2021,Stonnington
MOTORCYCLE,TOTAL,2309684,20184656,10092328,3799.4647,1899.7323,2020,Stonnington
MOTORCYCLE,TOTAL,1880933,20360273,10180136.5,3832.522,1916.261,2019,Stonnington
ON FOOT,IN-BOUNDARY,36852008,25199384,25199384,0,0,2023,Stonnington
ON FOOT,IN-BOUNDARY,36850949,26366089,26366089,0,0,2022,Stonnington
ON FOOT,IN-BOUNDARY,35020839,26635082,26635082,0,0,2021,Stonnington
ON FOOT,IN-BOUNDARY,31663018,25716700,25716700,0,0,2020,Stonnington
ON FOOT,IN-BOUNDARY,45656032,28169502,28169502,0,0,2019,Stonnington
ON FOOT,IN-BOUNDARY,42986182,26816162,26816162,0,0,2018,Stonnington
ON FOOT,INBOUND,5188929,8123442,4061721,0,0,2023,Stonnington
ON FOOT,INBOUND,4979089,8111097,4055548.5,0,0,2022,Stonnington
ON FOOT,INBOUND,4727651,8143703,4071851.5,0,0,2021,Stonnington
ON FOOT,INBOUND,4828638,8594570,4297285,0,0,2020,Stonnington
ON FOOT,INBOUND,7572301,13441575,6720787.5,0,0,2019,Stonnington
ON FOOT,INBOUND,7791212,13403898,6701949,0,0,2018,Stonnington
ON FOOT,OUTBOUND,5056719,8482496,4241248,0,0,2023,Stonnington
ON FOOT,OUTBOUND,4907307,8430787,4215393.5,0,0,2022,Stonnington
ON FOOT,OUTBOUND,4610163,8217994,4108997,0,0,2021,Stonnington
ON FOOT,OUTBOUND,4699982,8765349,4382674.5,0,0,2020,Stonnington
ON FOOT,OUTBOUND,7260130,12909016,6454508,0,0,2019,Stonnington
ON FOOT,OUTBOUND,7508696,12826623,6413311.5,0,0,2018,Stonnington
ON FOOT,TOTAL,47097656,41805322,33502353,0,0,2023,Stonnington
ON FOOT,TOTAL,46737345,42907973,34637031,0,0,2022,Stonnington
ON FOOT,TOTAL,44358653,42996779,34815930.5,0,0,2021,Stonnington
ON FOOT,TOTAL,41191638,43076619,34396659.5,0,0,2020,Stonnington
ON FOOT,TOTAL,60488463,54520093,41344797.5,0,0,2019,Stonnington
ON FOOT,TOTAL,58286090,53046683,39931422.5,0,0,2018,Stonnington
RAIL,IN-BOUNDARY,462734,1745649,1745649,0,0,2023,Stonnington
RAIL,IN-BOUNDARY,434343,1583339,1583339,0,0,2022,Stonnington
RAIL,IN-BOUNDARY,786911,3888131,3888131,0,0,2019,Stonnington
RAIL,IN-BOUNDARY,1010654,3852356,3852356,0,0,2018,Stonnington
RAIL,INBOUND,7433246,79916160,39958080,0,0,2023,Stonnington
RAIL,INBOUND,6623464,72259060,36129530,0,0,2022,Stonnington
RAIL,INBOUND,4332993,51978608,25989304,0,0,2021,Stonnington
RAIL,INBOUND,4287153,49960190,24980095,0,0,2020,Stonnington
RAIL,INBOUND,10728849,132192472,66096236,0,0,2019,Stonnington
RAIL,INBOUND,11285626,111453647,55726823.5,0,0,2018,Stonnington
RAIL,OUTBOUND,7553281,74124920,37062460,0,0,2023,Stonnington
RAIL,OUTBOUND,6809575,66792532,33396266,0,0,2022,Stonnington
RAIL,OUTBOUND,4470123,48121434,24060717,0,0,2021,Stonnington
RAIL,OUTBOUND,4461502,47067682,23533841,0,0,2020,Stonnington
RAIL,OUTBOUND,11264333,127438489,63719244.5,0,0,2019,Stonnington
RAIL,OUTBOUND,11427430,106765375,53382687.5,0,0,2018,Stonnington
RAIL,TOTAL,15449261,155786729,78766189,0,0,2023,Stonnington
RAIL,TOTAL,13867382,140634931,71109135,0,0,2022,Stonnington
RAIL,TOTAL,8803116,100100042,50050021,0,0,2021,Stonnington
RAIL,TOTAL,8748655,97027872,48513936,0,0,2020,Stonnington
RAIL,TOTAL,22780093,263519092,133703611.5,0,0,2019,Stonnington
RAIL,TOTAL,23723710,222071378,112961867,0,0,2018,Stonnington
TRAM,IN-BOUNDARY,2175989,6517335,6517335,0,0,2023,Stonnington
TRAM,IN-BOUNDARY,1571647,5005544,5005544,0,0,2022,Stonnington
TRAM,IN-BOUNDARY,1313626,4347026,4347026,0,0,2021,Stonnington
TRAM,IN-BOUNDARY,1496141,4229364,4229364,0,0,2020,Stonnington
TRAM,IN-BOUNDARY,4088773,11030384,11030384,0,0,2019,Stonnington
TRAM,IN-BOUNDARY,4216854,9001066,9001066,0,0,2018,Stonnington
TRAM,INBOUND,5183615,33875137,16937568.5,0,0,2023,Stonnington
TRAM,INBOUND,3887457,25184909,12592454.5,0,0,2022,Stonnington
TRAM,INBOUND,3066793,21162928,10581464,0,0,2021,Stonnington
TRAM,INBOUND,3267998,24349715,12174857.5,0,0,2020,Stonnington
TRAM,INBOUND,7175116,42740451,21370225.5,0,0,2019,Stonnington
TRAM,INBOUND,6947323,32460027,16230013.5,0,0,2018,Stonnington
TRAM,OUTBOUND,5078477,32346696,16173348,0,0,2023,Stonnington
TRAM,OUTBOUND,3704465,22933414,11466707,0,0,2022,Stonnington
TRAM,OUTBOUND,2977491,19685855,9842927.5,0,0,2021,Stonnington
TRAM,OUTBOUND,3285892,22202825,11101412.5,0,0,2020,Stonnington
TRAM,OUTBOUND,7318535,47555493,23777746.5,0,0,2019,Stonnington
TRAM,OUTBOUND,7266162,34731481,17365740.5,0,0,2018,Stonnington
TRAM,TOTAL,12438081,72739168,39628251.5,0,0,2023,Stonnington
TRAM,TOTAL,9163569,53123867,29064705.5,0,0,2022,Stonnington
TRAM,TOTAL,7357910,45195809,24771417.5,0,0,2021,Stonnington
TRAM,TOTAL,8050031,50781904,27505634,0,0,2020,Stonnington
TRAM,TOTAL,18582424,101326328,56178356,0,0,2019,Stonnington
TRAM,TOTAL,18430339,76192574,42596820,0,0,2018,Stonnington
