mode,travel_bounds,trips,full_distance_km,gpc_distance_km,full_co2e_tons,gpc_co2e_tons,year,lga
AUTOMOBILE,IN-BOUNDARY,44781833,159617533,159617533,48123.456,48123.456,2023,Whitehorse
AUTOMOBILE,IN-BOUNDARY,45188245,163503365,163503365,49295.0044,49295.0044,2022,Whitehorse
AUTOMOBILE,IN-BOUNDARY,41682513,147643198,147643198,44513.2863,44513.2863,2021,Whitehorse
AUTOMOBILE,IN-BOUNDARY,36627589,124629287,124629287,37574.7695,37574.7695,2020,Whitehorse
AUTOMOBILE,IN-BOUNDARY,44375637,188436191,188436191,56812.0593,56812.0593,2019,Whitehorse
AUTOMOBILE,IN-BOUNDARY,40125195,197119222,197119222,59429.9317,59429.9317,2018,Whitehorse
AUTOMOBILE,INBOUND,48484598,722296250,361148125,217766.7526,108883.3763,2023,Whitehorse
AUTOMOBILE,INBOUND,48672140,726651831,363325915.5,219079.9267,109539.9634,2022,Whitehorse
AUTOMOBILE,INBOUND,42847621,619124625,309562312.5,186661.3028,93330.6514,2021,Whitehorse
AUTOMOBILE,INBOUND,36204155,500644157,250322078.5,150940.3548,75470.1774,2020,Whitehorse
AUTOMOBILE,INBOUND,48465945,779487110,389743555,235009.3561,117504.6781,2019,Whitehorse
AUTOMOBILE,INBOUND,44774380,749156548,374578274,225864.9463,112932.4731,2018,Whitehorse
AUTOMOBILE,OUTBOUND,48500338,708854867,354427433.5,213714.2792,106857.1396,2023,Whitehorse
AUTOMOBILE,OUTBOUND,48689202,713004547,356502273.5,214965.3758,107482.6879,2022,Whitehorse
AUTOMOBILE,OUTBOUND,42846030,607048032,303524016,183020.3031,91510.1516,2021,Whitehorse
AUTOMOBILE,OUTBOUND,36182371,491476802,245738401,148176.468,74088.234,2020,Whitehorse
AUTOMOBILE,OUTBOUND,48569594,767069917,383534958.5,231265.6681,115632.8341,2019,Whitehorse
AUTOMOBILE,OUTBOUND,44800684,737436044,368718022,222331.3043,111165.6522,2018,Whitehorse
AUTOMOBILE,TOTAL,141766769,1590768650,875193091.5,479604.4879,263863.9719,2023,Whitehorse
AUTOMOBILE,TOTAL,142549587,1603159743,883331554,483340.3069,266317.6557,2022,Whitehorse
