mode,travel_bounds,trips,full_distance_km,gpc_distance_km,full_co2e_tons,gpc_co2e_tons,year,lga
AUTOMOBILE,IN-BOUNDARY,14625694,37161824,37161824,11204.0035,11204.0035,2023,Yarra
AUTOMOBILE,IN-BOUNDARY,15242706,40118166,40118166,12095.3179,12095.3179,2022,Yarra
AUTOMOBILE,IN-BOUNDARY,14544583,39103313,39103313,11789.3475,11789.3475,2021,Yarra
AUTOMOBILE,IN-BOUNDARY,12969368,34665517,34665517,10451.3862,10451.3862,2020,Yarra
AUTOMOBILE,IN-BOUNDARY,14408364,46506614,46506614,14021.3857,14021.3857,2019,Yarra
AUTOMOBILE,IN-BOUNDARY,12640291,48286877,48286877,14558.1226,14558.1226,2018,Yarra
AUTOMOBILE,INBOUND,31465676,482528606,241264303,145478.6558,72739.3279,2023,Yarra
AUTOMOBILE,INBOUND,32686800,498008582,249004291,150145.7493,75072.8746,2022,Yarra
AUTOMOBILE,INBOUND,29057493,422302777,211151388.5,127321.0326,63660.5163,2021,Yarra
AUTOMOBILE,INBOUND,24204560,331764613,165882306.5,100024.4739,50012.2369,2020,Yarra
AUTOMOBILE,INBOUND,30500784,486495639,243247819.5,146674.6857,73337.3429,2019,Yarra
AUTOMOBILE,INBOUND,28070581,471169753,235584876.5,142054.0623,71027.0312,2018,Yarra
AUTOMOBILE,OUTBOUND,31828509,476040665,238020332.5,143522.5916,71761.2958,2023,Yarra
AUTOMOBILE,OUTBOUND,33054303,493090427,246545213.5,148662.9635,74331.4817,2022,Yarra
AUTOMOBILE,OUTBOUND,29265856,418524751,209262375.5,126181.9868,63090.9934,2021,Yarra
AUTOMOBILE,OUTBOUND,24521341,334187974,167093987,100755.0986,50377.5493,2020,Yarra
AUTOMOBILE,OUTBOUND,31209333,493523969,246761984.5,148793.673,74396.8365,2019,Yarra
AUTOMOBILE,OUTBOUND,28705401,476974320,238487160,143804.0947,71902.0473,2018,Yarra
AUTOMOBILE,TOTAL,77919879,995731095,516446459.5,300205.251,155704.6273,2023,Yarra
