mode,travel_bounds,trips,full_distance_km,gpc_distance_km,full_co2e_tons,gpc_co2e_tons,year,lga
AUTOMOBILE,IN-BOUNDARY,55948729,367685260,367685260,110854.2721,110854.2721,2023,Yarra Ranges
AUTOMOBILE,IN-BOUNDARY,55725659,371415865,371415865,111979.0208,111979.0208,2022,Yarra Ranges
AUTOMOBILE,IN-BOUNDARY,52484621,334585917,334585917,100875.0753,100875.0753,2021,Yarra Ranges
AUTOMOBILE,IN-BOUNDARY,46231414,282333180,282333180,85121.2778,85121.2778,2020,Yarra Ranges
AUTOMOBILE,IN-BOUNDARY,54241802,401133199,401133199,120938.5679,120938.5679,2019,Yarra Ranges
AUTOMOBILE,IN-BOUNDARY,48019387,386772806,386772806,116609.0309,116609.0309,2018,Yarra Ranges
AUTOMOBILE,INBOUND,31531851,741793641,370896820.5,223645.0657,111822.5329,2023,Yarra Ranges
AUTOMOBILE,INBOUND,31235792,739738206,369869103,223025.3679,111512.684,2022,Yarra Ranges
AUTOMOBILE,INBOUND,27724505,623150619,311575309.5,187875.109,93937.5545,2021,Yarra Ranges
AUTOMOBILE,INBOUND,23386023,497068808,248534404,149862.4147,74931.2073,2020,Yarra Ranges
AUTOMOBILE,INBOUND,30766430,770144188,385072094,232192.5371,116096.2686,2019,Yarra Ranges
AUTOMOBILE,INBOUND,28494247,737746143,368873071.5,222424.7968,111212.3984,2018,Yarra Ranges
AUTOMOBILE,OUTBOUND,31567677,756937172,378468586,228210.7236,114105.3618,2023,Yarra Ranges
AUTOMOBILE,OUTBOUND,31230942,752097959,376048979.5,226751.7382,113375.8691,2022,Yarra Ranges
AUTOMOBILE,OUTBOUND,27790918,635540063,317770031.5,191610.4309,95805.2154,2021,Yarra Ranges
AUTOMOBILE,OUTBOUND,23378188,506930867,253465433.5,152835.7495,76417.8747,2020,Yarra Ranges
AUTOMOBILE,OUTBOUND,30624616,777900111,388950055.5,234530.8882,117265.4441,2019,Yarra Ranges
AUTOMOBILE,OUTBOUND,28314013,746313776,373156888,225007.8724,112503.9362,2018,Yarra Ranges
AUTOMOBILE,TOTAL,119048257,1866416073,1117050667,562710.0615,336782.1668,2023,Yarra Ranges
AUTOMOBILE,TOTAL,118192393,1863252030,1117333948,561756.1269,336867.5738,2022,Yarra Ranges
AUTOMOBILE,TOTAL,108000044,1593276599,963931258,480360.6151,290617.8452,2021,Yarra Ranges
AUTOMOBILE,TOTAL,92995625,1286332855,784333017.5,387819.442,236470.3599,2020,Yarra Ranges
AUTOMOBILE,TOTAL,115632848,1949177498,1175155349,587661.9933,354300.2806,2019,Yarra Ranges
AUTOMOBILE,TOTAL,104827647,1870832725,1128802766,564041.7001,340325.3655,2018,Yarra Ranges
BUS,IN-BOUNDARY,316476,2957368,2957368,2247.96,2247.96,2023,Yarra Ranges
BUS,INBOUND,201736,2920656,1460328,2220.0544,1110.0272,2023,Yarra Ranges
BUS,OUTBOUND,203230,3004426,1502213,2283.7298,1141.8649,2023,Yarra Ranges
BUS,TOTAL,721442,8882450,5919909,6751.7442,4499.8521,2023,Yarra Ranges
CYCLING,IN-BOUNDARY,718108,4609095,4609095,0,0,2023,Yarra Ranges
CYCLING,IN-BOUNDARY,720778,4670795,4670795,0,0,2022,Yarra Ranges
CYCLING,IN-BOUNDARY,863732,5603400,5603400,0,0,2021,Yarra Ranges
CYCLING,IN-BOUNDARY,897250,5284812,5284812,0,0,2020,Yarra Ranges
