mode,travel_bounds,full_co2e_tons,gpc_co2e_tons,year,lga
AUTOMOBILE,TOTAL,357263.3319,195126.3921,2023,Banyule
AUTOMOBILE,TOTAL,358969.5866,196264.7347,2022,Banyule
AUTOMOBILE,TOTAL,314987.8493,173172.5548,2021,Banyule
AUTOMOBILE,TOTAL,255411.3417,141085.5518,2020,Banyule
AUTOMOBILE,TOTAL,368832.1987,203299.6856,2019,Banyule
AUTOMOBILE,TOTAL,359103.6056,199443.0015,2018,Banyule
BUS,TOTAL,12232.6841,7020.1136,2023,Banyule
BUS,TOTAL,9686.862,5477.5691,2022,Banyule
BUS,TOTAL,7319.9505,4080.811,2021,Banyule
BUS,TOTAL,8043.5234,4467.7598,2020,Banyule
BUS,TOTAL,11126.3412,6100.8044,2019,Banyule
BUS,TOTAL,9471.8788,5230.6584,2018,Banyule
MOTORCYCLE,TOTAL,1846.4561,923.228,2020,Banyule
MOTORCYCLE,TOTAL,2516.8247,1258.4123,2019,Banyule
AUTOMOBILE,TOTAL,326657.473,176262.4896,2023,Bayside
AUTOMOBILE,TOTAL,322024.7731,174015.1845,2022,Bayside
AUTOMOBILE,TOTAL,281959.3351,153650.9576,2021,Bayside
AUTOMOBILE,TOTAL,230009.2279,125821.0249,2020,Bayside
AUTOMOBILE,TOTAL,318294.9357,173501.3153,2019,Bayside
AUTOMOBILE,TOTAL,310135.6745,170395.781,2018,Bayside
BUS,TOTAL,10228.4868,5724.1097,2023,Bayside
BUS,TOTAL,6102.5888,3051.2944,2022,Bayside
BUS,TOTAL,4829.0335,2414.5168,2021,Bayside
BUS,TOTAL,10219.0894,5645.7293,2019,Bayside
BUS,TOTAL,6420.3799,3620.4105,2018,Bayside
MOTORCYCLE,TOTAL,1948.8424,974.4212,2021,Bayside
MOTORCYCLE,TOTAL,2149.3485,1074.6743,2020,Bayside
AUTOMOBILE,TOTAL,506404.1896,273668.8963,2023,Boroondara
AUTOMOBILE,TOTAL,512151.6439,277444.4218,2022,Boroondara
AUTOMOBILE,TOTAL,436399.5732,238223.2881,2021,Boroondara
AUTOMOBILE,TOTAL,352915.8589,193608.8715,2020,Boroondara
AUTOMOBILE,TOTAL,520005.5929,283035.1751,2019,Boroondara
AUTOMOBILE,TOTAL,499430.8761,273570.9321,2018,Boroondara
BUS,TOTAL,12148.4778,6074.2389,2023,Boroondara
BUS,TOTAL,7805.4236,3902.7118,2022,Boroondara
BUS,TOTAL,4513.7183,2256.8591,2021,Boroondara
BUS,TOTAL,5405.0333,2702.5167,2020,Boroondara
BUS,TOTAL,12377.1552,6188.5776,2019,Boroondara
BUS,TOTAL,8416.877,4208.4385,2018,Boroondara
MOTORCYCLE,TOTAL,2626.8002,1313.4001,2021,Boroondara
MOTORCYCLE,TOTAL,3443.7798,1721.8899,2020,Boroondara
MOTORCYCLE,TOTAL,4299.3139,2149.6569,2019,Boroondara
MOTORCYCLE,TOTAL,2461.9509,1230.9755,2018,Boroondara
AUTOMOBILE,TOTAL,784941.8558,436839.7741,2023,Brimbank
AUTOMOBILE,TOTAL,799587.9037,445866.5964,2022,Brimbank
AUTOMOBILE,TOTAL,678078.0169,380715.0299,2021,Brimbank
AUTOMOBILE,TOTAL,535809.2756,302259.0988,2020,Brimbank
AUTOMOBILE,TOTAL,745743.6248,422422.6207,2019,Brimbank
AUTOMOBILE,TOTAL,721557.2902,414110.1751,2018,Brimbank
BUS,TOTAL,17368.1342,11156.0627,2023,Brimbank
BUS,TOTAL,14379.7691,9596.2859,2022,Brimbank
BUS,TOTAL,10422.8241,6771.3113,2021,Brimbank
BUS,TOTAL,12003.2421,7699.1943,2020,Brimbank
BUS,TOTAL,14892.0,9403.2081,2019,Brimbank
BUS,TOTAL,8995.0569,5805.6834,2018,Brimbank
MOTORCYCLE,TOTAL,3713.0421,1856.521,2020,Brimbank
MOTORCYCLE,TOTAL,5325.6789,2662.8394,2019,Brimbank
MOTORCYCLE,TOTAL,3321.3598,1660.6799,2018,Brimbank
AUTOMOBILE,TOTAL,363814.9615,205912.3966,2023,Cardinia
AUTOMOBILE,TOTAL,359078.8136,203570.1198,2022,Cardinia
AUTOMOBILE,TOTAL,309858.9139,176821.9837,2021,Cardinia
AUTOMOBILE,TOTAL,259838.4865,148595.0835,2020,Cardinia
AUTOMOBILE,TOTAL,380324.0553,216787.6299,2019,Cardinia
AUTOMOBILE,TOTAL,360365.1034,206542.0992,2018,Cardinia
BUS,TOTAL,3437.6579,1718.8289,2023,Cardinia
MOTORCYCLE,TOTAL,886.6959,443.348,2021,Cardinia
MOTORCYCLE,TOTAL,3536.681,1768.3405,2019,Cardinia
MOTORCYCLE,TOTAL,2880.4739,1646.1275,2018,Cardinia
AUTOMOBILE,TOTAL,827556.5478,491980.0265,2023,Casey
AUTOMOBILE,TOTAL,831125.4115,494768.005,2022,Casey
AUTOMOBILE,TOTAL,725968.9386,435101.5807,2021,Casey
AUTOMOBILE,TOTAL,594272.3661,355482.8176,2020,Casey
AUTOMOBILE,TOTAL,875410.113,522674.4598,2019,Casey
AUTOMOBILE,TOTAL,856907.2758,515416.2377,2018,Casey
BUS,TOTAL,10056.9532,7102.6872,2023,Casey
BUS,TOTAL,8192.1098,5730.6635,2022,Casey
BUS,TOTAL,5964.8083,4127.1218,2021,Casey
BUS,TOTAL,8140.74,5440.5766,2020,Casey
BUS,TOTAL,7918.4591,5068.5821,2019,Casey
AUTOMOBILE,TOTAL,316195.6804,173486.5013,2023,Glen Eira
AUTOMOBILE,TOTAL,323069.557,177177.9891,2022,Glen Eira
AUTOMOBILE,TOTAL,283154.2127,156324.8379,2021,Glen Eira
AUTOMOBILE,TOTAL,234107.8194,129781.0841,2020,Glen Eira
AUTOMOBILE,TOTAL,335684.6771,185199.0839,2019,Glen Eira
AUTOMOBILE,TOTAL,329633.8178,183530.1382,2018,Glen Eira
BUS,TOTAL,11009.2315,6156.3606,2023,Glen Eira
BUS,TOTAL,8395.5913,4648.4769,2022,Glen Eira
BUS,TOTAL,5598.422,3063.277,2021,Glen Eira
BUS,TOTAL,7050.0655,3820.1402,2020,Glen Eira
BUS,TOTAL,14593.5465,7899.0493,2019,Glen Eira
BUS,TOTAL,12381.098,6629.4245,2018,Glen Eira
MOTORCYCLE,TOTAL,1991.2169,995.6085,2021,Glen Eira
MOTORCYCLE,TOTAL,2630.0849,1315.0424,2020,Glen Eira
