MONTH,YEAR,VEHICLE_TYPE,SCENARIO,LGA,VALUE
Jun,2021,RES_SMALL,LOW,Melbourne,22.0
Jun,2021,RES_SMALL,LOW,Melbourne,4.0
Jun,2021,RES_SMALL,LOW,Melbourne,2.0
Jun,2021,RES_SMALL,LOW,Port Phillip,11.0
Jun,2021,RES_SMALL,LOW,Melbourne,7.0
Jun,2021,RES_SMALL,LOW,Melbourne,8.0
Jun,2021,RES_SMALL,LOW,Maribyrnong,4.0
Jun,2021,RES_SMALL,LOW,Maribyrnong,3.0
Jun,2021,RES_SMALL,LOW,Maribyrnong,3.0
Jun,2021,RES_SMALL,LOW,Hobsons Bay,2.0
Jun,2021,RES_SMALL,LOW,Hobsons Bay,2.0
Jun,2021,RES_SMALL,LOW,Brimbank,4.0
Jun,2021,RES_SMALL,LOW,Brimbank,3.0
Jun,2021,RES_SMALL,LOW,Hobsons Bay,2.0
Jun,2021,RES_SMALL,LOW,Moonee Valley,2.0
Jun,2021,RES_SMALL,LOW,Moonee Valley,5.0
Jun,2021,RES_SMALL,LOW,Brimbank,2.0
Jun,2021,RES_SMALL,LOW,Brimbank,3.0
Jun,2021,RES_SMALL,LOW,Moonee Valley,5.0
Jun,2021,RES_SMALL,LOW,Moonee Valley,3.0
Jun,2021,RES_SMALL,LOW,Moonee Valley,3.0
Jun,2021,RES_SMALL,LOW,Moonee Valley,14.0
Jun,2021,RES_SMALL,LOW,Moonee Valley,5.0
Jun,2021,RES_SMALL,LOW,Hume,1.0
Jun,2021,RES_SMALL,LOW,Hume,2.0
Jun,2021,RES_SMALL,LOW,Hume,1.0
Jun,2021,RES_SMALL,LOW,Melbourne,6.0
Jun,2021,RES_SMALL,LOW,Merri-Bek,1.0
Jun,2021,RES_SMALL,LOW,Merri-Bek,5.0
Jun,2021,RES_SMALL,LOW,Merri-Bek,2.0
Jun,2021,RES_SMALL,LOW,Merri-Bek,11.0
Jun,2021,RES_SMALL,LOW,Merri-Bek,2.0
Jun,2021,RES_SMALL,LOW,Merri-Bek,3.0
Jun,2021,RES_SMALL,LOW,Merri-Bek,3.0
Jun,2021,RES_SMALL,LOW,Hume,12.0
Jun,2021,RES_SMALL,LOW,Yarra,3.0
Jun,2021,RES_SMALL,LOW,Yarra,4.0
Jun,2021,RES_SMALL,LOW,Yarra,2.0
Jun,2021,RES_SMALL,LOW,Yarra,3.0
Jun,2021,RES_SMALL,LOW,Darebin,5.0
Jun,2021,RES_SMALL,LOW,Darebin,2.0
Jun,2021,RES_SMALL,LOW,Darebin,6.0
Jun,2021,RES_SMALL,LOW,Darebin,5.0
Jun,2021,RES_SMALL,LOW,Whittlesea,3.0
Jun,2021,RES_SMALL,LOW,Whittlesea,2.0
Jun,2021,RES_SMALL,LOW,Whittlesea,17.0
Jun,2021,RES_SMALL,LOW,Darebin,3.0
Jun,2021,RES_SMALL,LOW,Banyule,1.0
Jun,2021,RES_SMALL,LOW,Darebin,3.0
Jun,2021,RES_SMALL,LOW,Banyule,4.0
Jun,2021,RES_SMALL,LOW,Banyule,2.0
Jun,2021,RES_SMALL,LOW,Banyule,1.0
Jun,2021,RES_SMALL,LOW,Nillumbik,1.0
Jun,2021,RES_SMALL,LOW,Banyule,1.0
Jun,2021,RES_SMALL,LOW,Nillumbik,1.0
Jun,2021,RES_SMALL,LOW,Nillumbik,5.0
Jun,2021,RES_SMALL,LOW,Nillumbik,1.0
Jun,2021,RES_SMALL,LOW,Boroondara,11.0
Jun,2021,RES_SMALL,LOW,Boroondara,2.0
